datetime,open,high,low,close,volume,return
20230718,114.6051,115.4577,113.6119,115.111,7481200,-0.0043761612743810074
20230719,117.4346,119.0836,116.4602,116.5726,8866700,0.012697317944685427
20230720,115.7294,116.7413,112.6469,113.106,9148600,-0.029737868753676122
20230721,114.2397,118.6714,113.7244,116.8537,23704100,0.03313450293186593
20230724,116.8537,117.6782,115.4015,116.2728,5859300,-0.0049712560189341115
20230725,116.3665,118.0342,116.3665,117.1816,5592100,0.007816413911475362
20230726,115.4296,117.3409,114.6238,116.1978,5291800,-0.008395471856926129
20230727,118.5777,119.7113,117.0411,117.9124,7917900,0.014755798381697938
20230728,120.2079,121.7257,119.5146,121.3135,11762200,0.028843769134156316
20230731,121.7913,124.5834,120.9575,123.8338,11029600,0.020775621352384865
20230801,123.5996,124.04,122.0256,123.7495,7128700,-0.000680851367946933
20230802,121.9881,123.2811,120.7045,121.1168,13711100,-0.021275025588624707
20230803,109.5925,111.5975,107.6437,111.2134,29239600,-0.08176710384210661
20230804,110.3327,114.3053,110.3327,113.8368,12658700,0.02358914179711391
20230807,114.502,114.9986,110.4826,111.813,7706500,-0.017777911520808654
20230808,109.6206,110.4451,108.6462,110.239,8934600,-0.014077389615598346
20230809,109.8361,110.6606,109.1709,109.2177,5642500,-0.009264082015075337
20230810,110.2577,110.923,107.8123,108.3183,6224500,-0.008235334469127498
20230811,106.9316,108.1778,106.5475,107.3814,5712500,-0.008649765328320291
20230814,106.6974,107.297,105.6949,106.8286,8537500,-0.0051479641825148414
20230815,106.1915,106.3508,104.3738,104.6362,6843600,-0.020522582325077532
20230816,104.327,104.861,103.109,103.2027,6426700,-0.013699872663776924
20230817,103.2401,104.1208,102.7436,103.1371,6250500,-0.0006355446670284204
20230818,101.9566,103.5493,101.6567,103.1558,6384700,0.0001817525069380821
20230821,102.9122,103.9616,102.1252,103.6992,6539800,0.005267941932601827
20230822,104.4394,104.7861,102.2563,102.5655,4587000,-0.010932627097850478
20230823,102.4437,104.4956,101.9846,104.1583,6873900,0.015529398287793317
20230824,105.0859,105.47,101.3382,101.6661,8698100,-0.023927210767406004
20230825,102.0221,103.5493,100.9634,103.3619,6669900,0.0166804009041559
20230828,104.2801,105.114,103.643,104.6362,4316400,0.012327929402846438
20230829,103.5493,106.8005,103.5493,106.6037,6971400,0.018803602395997654
20230830,106.2074,107.0566,105.3676,106.8773,6490300,0.0025668513187908637
20230831,106.0848,108.6607,106.0848,108.0662,7962500,0.011124002373680053
20230901,109.1702,109.1702,107.953,108.8777,5310700,0.00750872306524375
20230905,108.4248,110.4534,108.4248,109.9722,7294800,0.010052964035133005
20230906,109.4533,110.1326,107.217,108.2078,7411900,-0.016044644616311055
20230907,104.358,104.4524,100.0837,100.3951,17947800,-0.07220090406774082
20230908,100.178,101.0273,99.5553,100.1497,9819300,-0.002443578082255926
20230911,104.9902,105.528,102.6785,104.0561,18771700,0.039005008598041346
20230912,103.3956,106.3772,103.3295,104.9525,9250100,0.008614442915559017
20230913,105.2827,107.1887,105.2355,106.2829,8131500,0.012676491477014551
20230914,107.3491,108.2644,106.6226,107.6039,7138100,0.012429012960715857
20230915,107.5379,108.689,106.1131,106.7547,12247400,-0.007891883759173157
20230918,106.5188,107.4057,106.1131,106.3867,5065100,-0.0034471198282571835
20230919,105.8677,105.9998,103.707,104.4713,5658800,-0.01800446733963379
20230920,105.4337,105.4903,102.9993,103.0559,7073800,-0.013547689932351337
20230921,101.8859,103.405,101.7632,101.867,7007200,-0.011536492582588709
20230922,102.6313,103.5843,101.3009,101.6028,6965500,-0.0025934111464027687
20230925,100.8102,104.2448,100.6876,104.1976,6782500,0.02553868708684348
20230926,103.6503,104.3958,103.1691,103.5277,6559800,-0.006429558439854377
20230927,104.4807,104.5562,101.3669,103.0276,7225000,-0.004830362853503023
20230928,103.5654,105.5941,103.0182,104.8298,4851300,0.01749240134522756
20230929,105.5658,105.896,104.3958,104.7921,4869300,-0.00036010981748302306
20231002,104.1693,105.4809,103.4145,104.8298,5751500,0.0003602395432791283
20231003,104.5562,105.9243,103.2069,103.9712,7750700,-0.0081908244338732
20231004,104.5467,104.8015,102.6596,103.6504,7189400,-0.003085625030590289
20231005,103.5088,104.2259,102.8011,103.6032,5089700,-0.00045518586915804793
20231006,104.6128,105.0468,101.952,104.6222,7930600,0.009836168187650873
