datetime,open,high,low,close,volume,return
20230829,95.5949,98.3956,94.2334,97.7635,2478700,0.022477561098803056
20230830,97.7344,98.2206,96.0033,96.2173,1794500,-0.015816140112323462
20230831,96.1978,97.1217,95.6922,96.2173,2025500,0.0
20230901,96.4799,97.005,94.3793,95.0114,1856600,-0.012532794751539345
20230905,95.0211,96.4701,91.9578,96.2367,3053600,0.012896543312045594
20230906,95.0114,96.3729,93.718,96.1395,3085700,-0.0010105484867458658
20230907,95.381,95.6241,93.3193,94.5057,3173100,-0.016993705755684263
20230908,94.4766,95.8866,93.2707,94.671,2783000,0.0017493263531425107
20230911,95.5463,95.6533,92.269,94.9725,2331600,0.0031844533881528747
20230912,94.5544,97.5982,94.4085,96.2756,2646200,0.013721058353800775
20230913,95.0795,95.945,94.1362,94.671,3310400,-0.016666718176127637
20230914,95.4976,97.6468,95.274,97.0244,4112300,0.024858722368127584
20230915,96.0617,96.7035,94.0584,94.7391,5411600,-0.023554185091861468
20230918,94.0097,94.7002,93.2512,93.2804,2523000,-0.015397283462363465
20230919,95.5268,96.2562,94.6613,95.6144,2991100,0.025021005693641074
20230920,95.9547,96.2562,93.5624,93.5624,1505100,-0.02146043464262337
20230921,92.3857,92.8136,91.0048,91.7244,2314200,-0.019644691140273784
20230922,92.6775,92.6775,88.5347,88.7292,3585800,-0.03265467826003632
20230925,87.9609,89.7503,87.0954,88.4666,3065800,-0.0029592654734390544
20230926,87.5233,89.1571,87.3969,87.9706,2407200,-0.00560631424422775
20230927,88.5639,89.8767,87.7178,89.4294,2248000,0.016581950687434066
20230928,88.9529,92.162,88.8653,91.5396,2889100,0.02359711532990083
20230929,91.2285,93.3193,88.6417,89.6044,3992100,-0.02114093805906425
20231002,89.2252,90.6547,88.6125,89.1765,2685500,-0.0047752887915583075
20231003,88.0193,88.4472,83.8181,84.3919,5288900,-0.053653379984131444
20231004,84.7615,87.0857,84.7615,86.9009,3436100,0.02973046127186607
20231005,87.3483,88.2235,86.2202,86.3272,2762000,-0.006602473320007962
20231006,85.6659,89.1376,85.4227,88.3791,2185800,0.023769179394600437
20231009,85.5784,86.2883,84.0418,85.802,3089300,-0.02915912718750646
20231010,86.5314,88.7486,86.4536,86.8717,2351900,0.012467274626735358
20231011,86.8718,88.029,85.4422,86.7453,1759800,-0.0014552380798480424
20231012,86.9495,87.7859,85.1796,86.4244,2326600,-0.0036995103643546745
20231013,85.6756,86.4244,82.9721,83.7404,3201900,-0.0310565492742646
20231016,84.2947,85.5589,84.1877,84.3141,2011600,0.006851392449556126
20231017,84.1196,85.6561,83.4097,84.1196,2335600,-0.002306623577600253
20231018,83.293,83.5167,80.4631,80.5506,4635600,-0.042427678465102536
20231019,80.5701,81.5328,79.7143,79.8213,4056200,-0.009054709677492667
20231020,79.5003,80.0449,77.7012,77.8374,4008900,-0.024853827999340883
20231023,77.9833,80.1616,77.2053,79.0433,3863500,0.015492188381388106
20231024,79.7435,81.0077,79.6657,80.2103,3259400,0.014763870634212584
20231025,79.2669,80.2297,78.9363,79.9574,5235200,-0.0031523825304247133
20231026,81.5815,83.1471,76.1939,80.5992,9953800,0.008027346105637934
20231027,81.8537,82.9429,80.0255,80.5312,5109500,-0.0008445421487303095
20231030,81.3578,83.7793,81.2605,83.4972,4435700,0.036831163476603646
20231031,83.6917,83.8668,80.9591,82.3983,3394200,-0.013160730907446516
20231101,82.4178,83.4292,81.6982,82.9235,3712700,0.00637307969655132
20231102,84.5378,86.6967,84.3627,85.8895,3182400,0.035768693670941154
20231103,87.6011,90.2171,87.6011,89.8184,3884300,0.045742768025551106
20231106,89.8281,90.4408,87.2802,87.9512,2298200,-0.020788227108660906
20231107,87.8345,90.4991,87.5233,90.4019,2189800,0.027863781386787245
20231108,90.8784,94.0098,90.5769,92.7942,3787500,0.0264630751635222
20231109,92.872,93.7083,89.6141,90.0518,2604400,-0.0295536762057359
20231110,90.4116,92.4538,90.0031,92.2982,1606000,0.024946065766215275
20231113,91.4521,95.9644,91.2187,95.1184,3907400,0.03055520677510093
20231114,97.9872,100.399,97.7344,99.9808,3618600,0.05111949549531625
20231115,100.5254,101.1089,98.2206,99.2903,3286800,-0.006905928736004374
20231116,98.9694,100.9436,98.2595,100.8366,3124500,0.015573011042876228
20231117,101.4201,102.7426,100.8463,102.6357,2727000,0.017841540481803086
20231120,102.519,103.3553,101.7993,102.8982,1769000,0.0025583042641155185
20231121,101.7507,102.13,99.9419,101.9452,2626700,-0.009261828934468141
20231122,103.6276,104.7946,101.7507,102.0716,2531500,0.0012400687852758274
20231124,101.4006,102.13,100.7588,101.5757,969700,-0.004859055402260837
20231127,101.2742,104.1819,101.1283,103.5012,2369100,0.01895660447820613
20231128,103.3553,104.357,102.6551,102.7815,3011300,-0.006952989534875442
20231129,103.6957,105.7573,102.4703,102.9955,2611300,0.0020815360581101228
20231130,103.579,104.9599,103.1997,104.5028,3220500,0.014635079686964758
20231201,104.5223,107.6926,104.1527,107.6828,2783300,0.03042994671614574
20231204,107.7023,111.281,107.6148,111.0671,4200900,0.03142776859002905
20231205,110.0071,111.1935,109.5597,111.1449,2137500,0.0007004500135461278
20231206,111.8353,115.7739,111.8256,114.9181,3987900,0.033948767505943334
20231207,114.9181,116.5324,114.7236,116.2018,2329100,0.011170289538037004
20231208,116.017,117.2618,115.5794,117.1548,2650600,0.008201539525273693
20231211,116.9214,117.4563,115.9392,117.0965,1978800,-0.0004980556099145605
20231212,117.184,117.6313,116.2699,116.9895,2227100,-0.0009134700806296969
20231213,116.9895,117.4757,115.2001,117.1548,3285600,0.0014130646658381263
20231214,117.6702,119.8583,117.2229,118.0495,3363500,0.007636765855578931
20231215,117.5243,120.3154,117.3785,119.1484,4568100,0.009308806194642694
20231218,119.304,119.3623,117.748,117.7675,2210400,-0.01158985665509249
20231219,117.9911,120.8113,117.6994,120.471,2999500,0.02295617801455152
20231220,119.8097,120.8891,117.4368,117.4855,1858000,-0.024782001638846918
20231221,119.6152,123.6996,119.6152,123.6218,3089700,0.052230740927332375
20231222,123.6607,125.4015,123.3204,124.6818,1856200,0.008574765798546213
20231226,124.1859,125.4793,123.3203,125.4306,2039700,0.006005581344802335
20231227,125.4501,126.374,124.5749,126.3448,1701300,0.007288124778632721
20231228,126.3739,127.2006,125.2653,126.3934,1527200,0.0003848368833272442
20231229,126.0919,127.3659,125.6251,125.9266,2006300,-0.0036932060316892112
20240102,123.758,123.9135,115.6864,116.8339,4642500,-0.07220650485669822
20240103,114.3638,115.9003,112.7689,114.2179,3638500,-0.022390480232310384
20240104,114.7625,117.8161,114.393,115.7253,2737400,0.013197182696869758
20240105,115.2974,119.7222,115.239,119.2748,2773900,0.030672302175656307
20240108,120.4418,121.3073,118.74,120.7044,2146700,0.011985282204197256
20240109,119.1776,120.7919,118.9831,120.1695,1347600,-0.00443127232954954
20240110,119.3721,121.3851,118.915,120.1987,1440500,0.00024284392906359642
20240111,120.1501,120.2084,117.9522,120.0236,1329200,-0.0014563924552714047
20240112,119.6444,119.9166,116.4741,117.8744,1572800,-0.017906414275804416
20240116,116.6297,120.2862,115.9878,119.4207,1888600,0.013117896538506812
20240117,117.6411,120.2084,117.3785,119.0511,1653100,-0.003094544011867595
20240118,120.3834,123.1258,119.1873,121.8324,2868000,0.023362128012123895
20240119,122.5424,123.5051,120.4515,123.5051,2394400,0.013729379269765696
20240122,124.2248,124.7304,122.4548,123.2523,2197500,-0.0020472492601493197
20240123,122.6201,124.5748,121.3851,121.7546,2306400,-0.01215097169766588
20240124,123.7191,123.7288,121.4921,122.0367,1485800,0.002316365120200947
20240125,123.1064,124.2345,122.3479,124.1956,1909200,0.017690688496016627
20240126,123.7774,124.0302,119.6638,120.0625,2857900,-0.033278613106083155
20240129,120.2279,124.0594,120.1792,123.8844,2587200,0.03183232206476072
20240130,124.4776,125.9169,122.3576,122.8827,2317500,-0.008085467374686517
20240131,122.3576,125.5668,121.1225,123.9913,3840800,0.009021769802660229
20240201,126.6657,130.0888,118.9344,123.4662,7838000,-0.004235347802218015
20240202,122.7368,122.7757,116.9895,120.0431,5004300,-0.027725208772040655
20240205,118.5454,120.3932,116.9603,117.8744,3007500,-0.01806551628717057
20240206,117.8842,118.8469,116.2698,117.2521,2963800,-0.005280051738384084
20240207,117.6897,118.137,116.0948,116.1434,3007800,-0.009454948026350829
20240208,116.9311,119.6249,115.5989,117.6411,3149600,0.012894569213092621
20240209,117.5146,117.6702,112.3994,113.7511,4447200,-0.03306603238546335
20240212,113.4302,115.8031,113.401,113.7997,3140800,0.0004273088949668935
20240213,112.0007,114.568,111.3394,113.3621,3045600,-0.0038453441816684863
20240214,114.3832,114.9765,111.3491,113.4205,2598600,0.0005146513437366274
20240215,114.8111,116.8436,114.2763,114.568,2223300,0.010117413604641357
20240216,113.7025,114.3249,112.5355,112.8953,2080000,-0.014599719857773974
20240220,112.5258,112.6717,109.9876,111.9715,2265000,-0.008183386575726481
20240221,111.3588,112.3994,110.435,111.7381,1578300,-0.0020843772480932943
20240222,120.2473,121.4824,117.8939,119.1873,6059800,0.0666667121861757
