datetime,open,high,low,close,volume,return
20230718,714.102,720.8661,709.6785,720.5983,481900,0.006845893333860875
20230719,721.6199,726.0036,712.7432,713.1201,581100,-0.010377864057637742
20230720,714.1019,725.3193,714.1019,717.0972,628800,0.005577143451863442
20230721,722.8199,732.4802,715.669,728.6121,1813600,0.01605764478286975
20230724,724.4664,727.5807,717.9799,721.1736,543600,-0.010209187271692621
20230725,717.2956,726.6583,715.5996,723.9011,444600,0.003781999352048926
20230726,723.901,727.2037,718.327,724.9722,399300,0.0014796303158537416
20230727,725.2202,745.6315,725.2202,738.5599,884300,0.01874246923541656
20230728,733.9381,742.547,717.6328,739.9881,744800,0.0019337111999553347
20230731,739.3634,739.3634,728.8304,735.8325,445000,-0.0056157370959087904
20230801,738.5599,738.5599,726.4499,733.0157,334300,-0.0038280905251213415
20230802,734.6522,738.679,720.1718,726.1227,623600,-0.009403626010212274
20230803,755.758,781.3863,752.9313,765.1306,1068800,0.053720775529945364
20230804,769.3853,778.4009,758.7928,760.1615,501000,-0.0064943886353902025
20230807,763.3848,775.8618,759.011,768.3934,474000,0.010829190381682618
20230808,769.5639,774.8899,764.3371,773.9279,441800,0.007202591267958303
20230809,775.5941,789.3207,773.6105,779.1745,430100,0.006779240497304606
20230810,782.5367,792.8912,782.5367,786.5139,387300,0.009419398957934755
20230811,788.1802,803.0275,788.1802,800.3398,526100,0.017578746574932635
20230814,803.2258,803.3151,794.24,801.7579,354500,0.0017719372272839706
20230815,797.8304,803.8606,794.3293,799.3082,269200,-0.0030554958807100796
20230816,797.3543,802.3629,790.4315,790.8084,345100,-0.0106338909266398
20230817,793.5557,793.5557,788.1603,790.2034,320600,-0.0007650152181069014
20230818,788.3388,814.2746,783.8658,805.7451,1065900,0.01966787966625927
20230821,818.2417,839.2482,813.8877,837.4531,1082900,0.03935240752691005
20230822,835.4299,840.5576,829.0823,833.7438,765900,-0.004429177795426509
20230823,838.078,840.5576,830.9668,833.9224,540500,0.00021412791848107737
20230824,835.9159,838.1673,823.4389,824.401,457800,-0.011417564420773685
20230825,825.71,828.1499,819.6996,823.5479,404500,-0.0010348718803736556
20230828,826.5829,826.5829,821.2172,824.0836,249600,0.0006504850512205618
20230829,826.5432,829.7765,817.845,823.3893,407200,-0.0008424811978564595
