datetime,open,high,low,close,volume,return
20230725,122.7441,122.7441,121.0631,122.3907,708400,-0.0028791710950888394
20230726,121.9132,123.766,121.8559,122.5053,585200,0.000936666834975064
20230727,123.3171,123.4604,120.28,120.7862,590100,-0.014032993427919638
20230728,122.3238,122.6677,121.2351,121.9418,590000,0.009567520532238971
20230731,123.5272,126.5165,123.3457,125.4278,733100,0.02858709148717664
20230801,125.0171,126.5643,124.6446,125.8767,526000,0.0035788168785169105
20230802,124.7306,126.4879,123.766,125.571,718900,-0.0024279185541150605
20230803,125.2081,126.8031,124.4632,126.2682,671900,0.005552211187562994
20230804,126.7171,129.6587,125.657,125.8194,851900,-0.00355493527552575
20230807,126.316,127.5767,125.0744,125.7047,823600,-0.0009110811480119718
20230808,124.1575,124.5778,122.4575,124.3008,726200,-0.011168539479961992
20230809,123.9761,124.9407,121.5311,122.7154,1224500,-0.01275444911152801
20230810,117.7778,123.3076,116.689,116.8036,2069000,-0.04817478930407393
20230811,116.7463,119.2008,115.8868,116.0014,1362700,-0.006868332488116691
20230814,115.7053,116.3261,114.0339,115.6289,1079500,-0.003211082064216164
20230815,114.3778,115.5907,113.4991,114.2536,1053700,-0.01189393383047932
20230816,114.0817,114.8935,112.3148,112.4581,1112100,-0.015715189288494025
20230817,113.1362,114.0148,111.1592,111.4744,985600,-0.008747291233862198
20230818,110.4716,112.2384,109.698,110.2424,995600,-0.011052023896785834
20230821,110.7963,111.1592,109.125,109.8795,681000,-0.003291905215663138
20230822,108.3991,109.2013,107.3199,108.0171,849600,-0.016949449108881187
20230823,107.1862,109.698,106.0401,108.5901,1150400,0.005305123346413421
20230824,108.4755,109.3924,107.3485,107.4345,802600,-0.010642078385894482
20230825,108.8098,109.1631,106.3553,106.8232,570700,-0.0056893182703279255
20230828,107.2817,109.0676,106.9761,108.6761,968000,0.01734459581115977
20230829,108.848,110.7008,107.807,110.6626,778800,0.01827947960979448
20230830,110.739,111.6941,109.9272,110.9682,694600,0.002761712562379559
20230831,110.7963,112.439,110.08,111.3884,805500,0.0037867073830928355
20230901,112.1525,113.1266,111.3502,113.012,743600,0.014576124238633748
20230905,112.4008,114.607,110.8632,112.0665,783300,-0.008366461970875982
20230906,111.3407,112.8592,111.2929,112.3817,765300,0.002812281997766508
20230907,111.6176,111.78,109.7648,111.0637,742400,-0.011727693214679147
20230908,111.3502,112.2862,110.4143,111.694,423800,0.005675417943742822
20230911,112.2862,112.6969,110.8823,111.2547,649100,-0.003933138892924681
20230912,111.016,112.9261,111.016,112.1334,548700,0.007897681997040218
20230913,111.8564,111.9997,108.8098,109.0772,525200,-0.027255024256768845
