datetime,open,high,low,close,volume,return
20230725,211.8584,215.3351,211.5961,213.6453,674600,0.008388413815355156
20230726,214.6262,216.1994,214.1503,215.238,612600,0.007454937907180881
20230727,218.268,219.8898,215.0049,215.1117,833500,-0.0005866365401332452
20230728,216.4811,217.4231,214.9272,216.7336,540000,0.00753938819071065
20230731,217.763,220.7639,215.0437,215.9372,913600,-0.003674215089570776
20230801,217.6561,223.3374,217.6561,218.8507,745700,0.013492125518543396
20230802,217.6173,218.9867,215.0729,215.743,618800,-0.01420007728028072
20230803,214.228,215.4225,213.4122,213.6064,704600,-0.009903223242038406
20230804,192.7751,193.8531,173.0217,174.0803,2885000,-0.18504203648412365
20230807,184.7727,186.4528,179.3925,181.2863,2997600,0.041394750100889555
20230808,179.2177,179.6644,171.06,174.0997,2661300,-0.03964210421591108
20230809,174.0026,176.2654,171.1959,171.8175,1529200,-0.013108733388619176
20230810,173.3228,176.1003,171.9243,172.0214,2083100,0.0011870983097148624
20230811,172.9634,174.7698,172.4779,174.2939,1120700,0.01321051302437004
20230814,174.8183,176.3528,173.517,175.6341,1217800,0.007689191717384469
20230815,176.3625,178.7127,175.5855,178.062,1177700,0.013823550390313688
20230816,177.0299,178.3444,168.6755,169.1429,1746400,-0.05009010262761693
20230817,167.5752,168.6073,158.2081,160.4671,2873700,-0.05129244653063714
20230818,161.9277,163.2616,159.951,161.3142,1868200,0.005279101956454202
20230821,162.2003,164.2548,160.6423,161.5284,1874500,0.0013278610851854555
20230822,161.3045,161.509,158.1594,158.3055,1657000,-0.019952622004667186
20230823,159.0942,159.9023,157.6239,157.7407,1614800,-0.0035678105701267837
20230824,158.0523,158.286,154.7028,155.5402,1677600,-0.01395030516957596
20230825,156.0952,158.101,155.881,156.7476,1063800,0.007762510176847259
20230828,157.9063,159.9121,156.4944,157.6239,1313300,0.005590693229995836
20230829,158.286,159.6784,156.7281,159.62,798100,0.012663843766707927
20230830,159.8147,162.6872,159.7661,159.8634,1017500,0.0015249228624385491
20230831,160.4866,161.2071,155.2091,155.3941,2035800,-0.027957176655601934
20230901,156.9131,157.1176,153.583,155.0046,2015600,-0.002506307255162432
20230905,151.6453,152.9501,148.2568,149.8439,2422300,-0.03329368463465099
20230906,151.324,151.324,147.4778,149.2987,3292000,-0.00363893792909753
20230907,149.3181,149.9024,145.2675,146.5431,1816700,-0.018456961963477125
20230908,145.5012,145.6667,142.5898,144.0601,1506600,-0.016943522736253547
20230911,146.0562,150.7105,145.6083,147.5265,2525900,0.024062177342443647
20230912,147.5265,148.1984,143.6122,145.0533,1447500,-0.016764481194104675
20230913,143.174,144.7612,142.2101,142.4924,1665200,-0.01765476771299279
20230914,143.3591,144.1478,142.3367,143.7583,2186700,0.008883656958206032
20230915,144.0699,144.2256,141.1877,141.5674,2391100,-0.015239971626125892
20230918,141.8304,143.583,141.8304,142.2101,1579100,0.004539780175434549
20230919,141.6259,142.4146,138.9384,139.9122,1436000,-0.016158790010301627
20230920,140.5743,141.6648,137.3026,137.4097,1202700,-0.017885913216987626
20230921,136.1049,136.6405,132.6385,132.7067,1526800,-0.0342262463296541
20230922,134.1283,134.917,132.843,133.0183,1805600,0.00234803350325663
20230925,132.6191,134.771,132.6191,134.6541,1843200,0.0122979262599332
20230926,136.3192,140.1264,136.3192,139.435,1841900,0.03550503116652326
20230927,141.7816,146.6794,141.7816,144.7417,2996900,0.03805848841991266
20230928,147.6726,148.7729,145.0825,146.1049,1891000,0.009418189918333653
20230929,146.9326,147.7894,143.5246,143.9822,1693900,-0.01452846811929065
20231002,142.0835,144.0407,141.2461,141.918,1231500,-0.014336764864847695
20231003,140.8858,141.8109,139.6005,140.7885,1133400,-0.007959045830556621
20231004,141.1974,144.3815,140.4671,144.1185,1945800,0.023653060412738514
20231005,142.1809,142.9793,138.656,141.694,2048900,-0.016823164710295546
20231006,143.0572,145.4817,141.4214,142.7359,2190500,0.007352957804812599
20231009,140.3211,143.3591,138.4808,142.6872,1668700,-0.0003411251185144737
20231010,144.4691,146.8644,143.4369,146.4554,1566100,0.026409056941457898
20231011,145.1994,146.2802,136.5918,140.4379,2365100,-0.0410875982472787
20231012,137.7894,139.3376,132.4438,132.7164,1455200,-0.05498167049482061
20231013,132.5412,136.7379,132.5022,136.5626,1568900,0.02898041011517649
20231016,136.7768,137.9453,135.5207,137.5266,1763700,0.007058955507887044
20231017,136.027,138.6268,135.5305,138.1108,1101800,0.004247891531977022
20231018,138.2471,141.9277,138.2276,138.6853,1530800,0.004159546085901189
20231019,138.4029,140.993,137.8673,138.5489,1001000,-0.0009829597209863872
20231020,138.7534,141.8498,138.0815,140.4087,1065300,0.013423212017960928
