datetime,open,high,low,close,volume,return
20230829,116.3358,117.8298,116.035,117.4127,2451600,0.009088642161057647
20230830,117.4127,118.4023,117.4127,118.0239,1613000,0.005205752774632977
20230831,117.9366,118.7321,117.4127,118.1791,2396200,0.001315157760429564
20230901,118.6899,118.9915,117.503,118.398,1996000,0.001852230591507853
20230905,118.0283,118.3202,117.143,117.3376,1730100,-0.008956506111383433
20230906,117.1527,117.4738,116.1118,116.6955,1896900,-0.005472159025518786
20230907,117.1236,117.396,116.0048,116.1799,1592800,-0.004418420830688219
20230908,116.1215,116.7733,115.8686,116.1215,1189600,-0.0005024321102647944
20230911,116.7733,116.7733,115.0124,115.1778,1809100,-0.008126856035537311
20230912,115.8686,116.2285,114.993,115.1875,1508800,8.465491266096414e-05
20230913,115.1681,115.2946,113.5045,113.6504,2385800,-0.013344670920955592
20230914,113.8158,114.993,113.6601,114.6038,2446200,0.008389081754460515
20230915,114.7206,115.207,113.9812,114.9638,3672900,0.003140729067481418
20230918,114.847,115.4113,114.312,114.4773,1993200,-0.0042311357357927015
20230919,113.9715,114.4579,113.0764,113.1445,1938900,-0.011642627872968991
20230920,113.1542,113.271,111.7825,111.8311,2267800,-0.011607962439040276
20230921,111.3934,111.7728,109.4184,110.0605,2424100,-0.015832929229034454
20230922,110.3135,110.401,108.5039,108.6304,2050500,-0.01299396209056325
20230925,107.6965,108.0662,106.4317,106.6944,2283400,-0.017821869795106915
20230926,106.2663,107.3851,106.1009,106.5777,1887900,-0.0010943427257743554
20230927,106.675,107.2003,105.4102,105.9648,2378400,-0.005750591330474619
20230928,106.4804,108.9417,106.2274,108.7763,2419900,0.02653312898957405
20230929,109.1752,111.0626,109.1752,109.8854,2476100,0.010195803158933536
20231002,109.8854,111.7339,109.7881,111.3642,2663100,0.013457289851349419
20231003,111.2766,111.8409,108.3677,108.8736,2474300,-0.02236385369758309
20231004,109.0001,110.0119,107.6478,108.9515,1845900,0.0007147719894873283
20231005,109.4865,109.6325,108.0856,108.6888,1813500,-0.0024109125145259647
20231006,107.9689,110.1675,107.0349,109.3309,1752800,0.0059075297752584355
20231009,109.1752,110.294,107.8132,110.0022,1431100,0.006140033488680974
20231010,110.1092,110.9069,109.72,110.0313,1914900,0.00026528964809280353
20231011,109.9049,110.6637,108.8542,110.5859,2251700,0.005039721182069634
20231012,111.0334,111.0334,109.2628,110.1286,1946800,-0.0041347495648584864
20231013,110.08,110.294,108.611,109.0001,1789300,-0.010247333887134724
20231016,109.9049,113.6115,109.9049,113.2321,2965400,0.03882546348004645
20231017,112.9208,115.314,112.9208,114.7984,2127900,0.013832714968209148
20231018,114.6524,115.0319,113.7477,114.059,1908300,-0.0064407483451357495
20231019,114.4968,114.6038,112.5122,113.1056,2102700,-0.00835876208474673
20231020,113.1056,113.6212,111.9771,112.5219,4154700,-0.005160884555781453
20231023,112.5219,112.5316,110.1578,111.3058,1929400,-0.010807563199106474
20231024,111.3155,113.6018,111.3155,112.6678,2327800,0.012236692488960754
20231025,112.4732,113.1542,111.4615,112.4051,1827500,-0.002331320705910467
20231026,112.5608,113.2223,110.8194,111.1891,1901100,-0.01081878729807384
