datetime,open,high,low,close,volume,return
20230725,148.4265,149.5568,147.4894,148.726,729400,-0.0022684866150998184
20230726,147.0257,149.0448,146.5427,147.6826,1380200,-0.00701525109452672
20230727,147.9145,148.3686,144.5043,146.4557,1528900,-0.008307666556801485
20230728,147.3735,147.8662,145.9148,146.3592,1249300,-0.0006595038780494722
20230731,146.0693,146.0887,144.8811,145.9824,1575400,-0.002574283809681499
20230801,148.243,151.3344,146.4944,146.9291,1909600,0.006485244957145753
20230802,147.132,148.3009,146.7263,147.3929,1244100,0.003156146645180602
20230803,146.7746,147.3252,143.9344,144.0599,1632500,-0.022612468629452098
20230804,144.0599,144.8424,143.1808,143.4899,1320900,-0.003956843219315664
20230807,143.6928,144.7652,143.5286,143.8377,1017300,0.002424031676707905
20230808,144.0019,144.1565,141.8573,142.2727,992600,-0.010880650927433733
20230809,142.0312,143.973,141.9056,143.4513,1002100,0.008284120638143655
20230810,143.374,144.0599,141.7414,142.4079,1145400,-0.007273201872437074
20230811,142.6012,142.862,141.8573,142.5625,766200,0.0010854137006639508
20230814,142.4756,143.403,142.1664,142.9973,793400,0.00304945629214326
20230815,142.7074,142.9103,141.0747,141.1134,750300,-0.01317413664540068
20230816,141.1134,143.5962,141.0941,142.7461,1461000,0.01156995231513136
20230817,142.5818,142.9296,140.7946,140.8429,885500,-0.01333264778237453
20230818,140.6111,142.379,140.4275,141.3163,1386300,0.003361220175468249
20230821,141.1907,142.1857,140.8139,141.7607,958200,0.003144697550150566
20230822,141.5192,142.5142,141.326,141.4322,992300,-0.00231690079294522
20230823,142.0602,142.2823,140.9878,141.3356,813900,-0.0006832523762521081
20230824,141.1231,141.8863,140.0797,140.0894,855000,-0.00881731528074825
20230825,140.6304,141.693,140.5241,141.0941,690300,0.007171737756836327
20230828,141.0554,141.6834,140.1473,140.5048,545200,-0.004176714349767741
20230829,140.1473,141.0361,139.2392,140.9878,1045500,0.0034377263287483917
20230830,141.6931,142.1858,140.4469,140.9492,794100,-0.00027370793404513094
20230831,141.3936,141.3936,139.2296,139.2392,1190800,-0.012131753107825327
20230901,139.5291,140.4855,139.2875,139.9831,947600,0.005342358613520393
20230905,139.8382,140.5531,138.9494,140.1474,1209800,0.0011734334663224821
20230906,139.7706,139.9638,138.9108,139.2586,811800,-0.006341961379677352
20230907,139.7513,141.8959,139.529,141.78,1131500,0.01810605636430984
20230908,142.7461,143.0359,140.8816,141.2583,816800,-0.003679415581207879
20230911,141.2293,142.6591,141.2293,142.3307,842100,0.007591354257977745
20230912,142.6591,143.7894,142.2727,143.5286,974700,0.008416577488624899
20230913,143.857,146.0113,143.4416,145.8954,1381900,0.016490242167740865
20230914,146.1562,146.6393,144.6492,145.3351,1208500,-0.0038405455601594474
20230915,145.2965,146.6007,144.7555,145.0453,1494100,-0.0019940825314779254
20230918,144.9101,145.2675,143.5093,143.9053,867500,-0.007859189150748458
20230919,143.9053,144.2918,143.1808,144.1855,655700,0.0019467752082207301
20230920,144.3497,145.509,143.5672,144.2338,712500,0.0003350498198764207
20230921,144.2628,145.026,142.1761,142.35,1024000,-0.013060873692026909
20230922,141.7124,142.8427,141.2197,141.3936,717200,-0.0067187984541617896
20230925,141.2003,142.0408,140.9202,141.3839,1147700,-6.841946397773135e-05
20230926,141.2487,141.722,140.3406,140.7366,1163100,-0.004578050203248862
20230927,140.8719,141.1038,139.104,139.8189,874800,-0.006520973584771439
20230928,140.2632,140.7559,139.9638,140.0604,829400,0.0017270222284404557
20230929,139.6774,140.3755,137.9417,138.1841,1093100,-0.013396018475223204
20231002,137.9126,138.1163,136.0606,136.8751,1455700,-0.00947291054781818
20231003,136.5454,138.3587,135.9733,138.1744,1128800,0.009492826674672328
20231004,138.3587,139.2411,137.263,138.8241,1647700,0.004701724937606233
20231005,138.8823,139.7744,138.6108,139.1441,1062900,0.0023050181710744244
20231006,138.6496,140.2592,137.4957,140.0071,1164700,0.006202141541123085
20231009,140.0168,142.247,139.7259,142.1694,854100,0.015444274232783384
20231010,142.2081,142.5863,140.9282,141.9463,1160600,-0.0015689240977961871
20231011,141.8882,142.2567,140.424,142.0239,1035000,0.0005467291653564743
20231012,143.1875,143.5366,140.8313,141.5585,1249500,-0.003276970923262179
20231013,141.7427,142.8772,141.3548,142.8772,1015600,0.009315330736279881
20231016,142.7512,144.1281,142.4021,143.7305,918400,0.005972275620487855
20231017,143.5172,144.4868,143.0033,143.5947,1054600,-0.0009445277584149148
20231018,143.8371,144.0699,142.3536,142.7511,878300,-0.005874848907484909
20231019,141.956,143.3135,140.9185,141.3645,900000,-0.009713490874034614
20231020,141.5682,142.2954,140.5889,140.7343,1140200,-0.004458217019739696
20231023,141.3646,142.6348,139.978,140.0361,1433500,-0.004960771050018353
20231024,140.2786,141.2579,138.3199,138.9501,1467700,-0.007755130015454248
20231025,139.1926,143.8372,139.1926,143.1002,1648200,0.029867441403073514
20231026,142.6348,143.1972,140.9088,141.5876,2502000,-0.01057066604451573
20231027,143.5754,145.185,141.1803,141.5682,1865200,-0.00013686697273862514
20231030,141.9754,143.0614,141.7136,142.7802,1092700,0.008561608215212013
20231031,143.5172,144.1668,142.3633,143.9826,865800,0.008421174349803273
20231101,144.2056,145.1074,142.8869,144.225,1071900,0.0016835443239195946
20231102,143.8566,147.2018,143.8566,147.1049,1363500,0.019967771664858747
20231103,148.0939,148.9181,147.5994,148.7921,1263300,0.011469333287693395
20231106,148.5981,149.9847,148.4818,149.9556,1317500,0.007820033499339685
20231107,150.295,150.6247,149.8102,150.2077,1284000,0.0016812020808565364
20231108,150.7992,151.0513,149.8005,150.8865,901200,0.004518888331528137
20231109,150.9931,151.9919,150.2174,151.604,1276300,0.004755322800287676
20231110,152.021,153.0973,151.4392,153.0003,1381100,0.009210085711660154
20231113,152.4767,153.7275,152.3604,153.5918,924300,0.0038659511073471098
20231114,153.2039,155.182,152.6221,154.2318,1417000,0.004166587189562421
20231115,154.1154,155.0462,152.0694,152.2537,1947500,-0.012825330153193648
20231116,152.7967,154.0863,152.6804,154.0573,1334900,0.011845845956398371
20231117,154.1445,154.3578,153.5433,153.9021,1321500,-0.0010072010567043765
20231120,153.5821,154.8523,153.1167,154.6584,723700,0.004914274825212894
20231121,154.4354,155.376,153.873,155.182,1207200,0.0033856589776348756
20231122,155.3275,155.8802,154.8814,155.1529,726700,-0.00018751212511214366
20231124,155.0657,155.5408,154.3966,155.5311,371700,0.0024374263751485437
20231127,156.4523,156.4523,155.2402,155.3857,792200,-0.0009351620335987798
20231128,155.0172,155.6184,154.5227,154.9881,1012600,-0.002558489079334758
20231129,154.9105,155.2014,154.2706,155.0754,1200600,0.000563043328443591
20231130,154.9299,156.9371,154.542,156.9274,1621900,0.01194261272167263
20231201,157.0437,158.9733,156.9274,158.9442,976400,0.012852193887592067
20231204,158.217,158.8085,157.2183,157.6255,1505000,-0.008296589788825859
20231205,157.5479,157.9164,156.2777,156.5589,1286500,-0.006766796251786111
20231206,156.4328,157.2861,155.5214,156.9371,1233800,0.0024153419338426296
