datetime,open,high,low,close,volume,return
20230829,80.7807,81.1387,80.3192,80.3945,5130900,-0.004548717118370571
20230830,80.6677,81.6944,80.5829,81.4118,4469800,0.01265398500266346
20230831,81.6661,81.9676,81.0351,81.0445,4914500,-0.004512402617532718
20230901,81.5814,81.6567,80.9032,81.2705,2583000,0.002789414064893858
20230905,81.2423,81.2894,80.0837,80.112,4973800,-0.014255899106032754
20230906,79.9424,80.0366,78.4165,78.6614,7528800,-0.018107061098617483
20230907,78.9439,79.5091,78.8403,79.4338,6376700,0.009819208011559777
20230908,79.4338,79.4997,78.1245,78.6331,5984000,-0.010079007516754723
20230911,75.5435,75.8261,71.578,72.4351,24520700,-0.07882170294130864
20230912,70.3629,71.3142,69.3833,71.1729,17931800,-0.017425235293182073
20230913,71.1729,72.2091,71.0788,71.1729,11613000,0.0
20230914,69.4021,71.2483,69.3456,71.1164,15600400,-0.0007938873035916449
20230915,70.7397,71.9642,70.7208,71.399,16049800,0.003973555829859476
20230918,71.5026,72.0678,70.7585,70.815,9847200,-0.00817937827706472
20230919,70.6266,71.0505,70.0991,70.7208,11389300,-0.0013302280672627953
20230920,71.5403,71.7381,70.0615,70.1086,10817900,-0.008657514089186913
20230921,69.9673,70.1274,68.2341,68.4225,12456600,-0.024049355830153663
20230922,68.3942,68.4696,67.2827,67.424,9673000,-0.01459244159940265
20230925,67.1603,67.9138,66.8965,67.8667,10430100,0.00656595534163662
20230926,67.2827,68.2153,67.1791,68.0646,10323600,0.002914642687312563
20230927,68.5261,69.0724,68.2435,68.6486,9391800,0.008580084845836833
20230928,68.0269,68.8369,67.7725,67.8196,8490600,-0.012074702294523565
20230929,68.1022,68.3094,67.4052,67.7914,6366300,-0.00041668279100071093
20231002,67.5747,67.7631,66.7835,67.198,6791300,-0.008753648619691856
20231003,67.2639,68.0551,66.3502,66.4821,8175800,-0.010653206128996784
20231004,66.0582,66.1336,65.2011,66.0488,10264000,-0.006517029036233857
