datetime,open,high,low,close,volume,return
20230718,120.2807,122.0167,120.1616,121.3025,533400,0.010578388279459228
20230719,122.5226,125.8359,122.1854,125.5185,1095900,0.034756441377653324
20230720,125.7964,126.253,123.9006,125.7865,409500,0.002134943192178884
20230721,125.8262,130.6996,124.6649,129.8956,726100,0.03266775373983655
20230724,129.6971,130.253,128.119,129.0421,893000,-0.006571250017620489
20230725,127.5036,130.5209,127.2257,128.6053,556500,-0.0033844552968581576
20230726,127.8411,128.8832,125.588,128.8634,844700,0.0020066969789083178
20230727,129.5284,130.9775,127.6425,127.6723,592200,-0.009242893381570694
20230728,128.1091,128.1091,123.4341,125.1512,1583400,-0.019746429272726962
20230731,125.0024,125.0421,121.6177,122.0346,2257600,-0.024902912881776817
20230801,123.8609,126.9279,119.851,121.717,2010900,-0.0026026361083969496
20230802,120.0694,126.5408,120.0694,124.1885,1356400,0.020305081751928133
20230803,122.9378,124.0594,121.2803,122.253,725500,-0.015585129335765835
20230804,122.1537,123.454,121.6475,122.3224,570400,0.0005682122059471606
20230807,122.4416,122.9279,120.8039,121.8857,498600,-0.003570125904943322
20230808,121.7567,122.3522,119.8907,122.2629,504000,0.0030944913709529676
20230809,121.9651,123.0371,120.1984,120.2778,507000,-0.016236506836556974
20230810,120.4167,121.7567,119.2753,119.9701,464300,-0.002558190265290028
20230811,118.7989,119.2654,117.0421,117.9552,769300,-0.01679482898297524
20230814,116.7443,118.5706,115.8709,116.923,517500,-0.008751262157737805
20230815,116.0198,116.8138,115.1364,116.2282,892000,-0.005942189683782906
20230816,115.6227,115.6227,113.6078,113.9056,514900,-0.019982984406004323
20230817,114.5011,115.2654,113.6078,113.6277,487600,-0.002439946590166553
20230818,112.6748,113.8262,111.4441,112.3771,662000,-0.011006212346174382
20230821,112.5061,113.2207,111.8312,113.0421,456700,0.005917653479717178
20230822,112.4962,113.985,112.1785,113.1711,375700,0.0011414185297338175
20230823,114.0942,115.4341,113.7071,115.4242,482800,0.019908770401285247
20230824,115.1761,116.655,114.6996,115.3349,616300,-0.000773950168555082
20230825,115.9403,116.4068,113.9254,114.0843,428800,-0.010843364089526797
20230828,115.2455,116.8436,115.047,116.4962,585300,0.02114148956638262
20230829,116.9031,118.6698,116.0495,118.0942,384700,0.013717251873601954
20230830,118.0743,118.6699,117.2009,118.0644,441600,-0.0002521506942477769
20230831,118.1438,118.7592,116.0495,116.1587,530800,-0.01614106837016971
20230901,117.4391,118.2927,115.6823,116.0495,437600,-0.0009400890132211792
20230905,115.6823,115.6823,112.3771,112.4267,608000,-0.031217931999946602
20230906,112.1289,112.1289,107.8212,110.6004,1336100,-0.016244310697822173
20230907,110.2629,110.2629,108.6947,109.3994,793500,-0.010858673618542869
20230908,109.0421,109.0421,105.181,106.0346,1034900,-0.030756876255300103
20230911,106.2927,107.6723,105.0421,106.8882,1117400,0.008050195957439277
20230912,106.4714,108.7741,105.6972,108.3572,807100,0.013743201846331266
20230913,107.2456,111.5235,106.8386,111.0867,912300,0.02519004094814492
20230914,112.1587,112.6649,110.6401,111.8709,547700,0.007058616197771483
20230915,111.4242,115.7121,111.4044,112.5954,1100600,0.006476922366612348
20230918,111.98,112.0495,110.5408,110.6599,803800,-0.017189871683425006
20230919,110.3126,111.454,109.7269,110.3225,447500,-0.0030494844364328255
20230920,111.3547,111.3547,109.5582,109.588,469000,-0.006657658946066292
20230921,109.4292,109.4589,106.9974,107.6823,604100,-0.017389894413898377
20230922,107.9304,109.5582,107.1562,108.6848,747000,0.009309748457751121
20230925,108.9924,110.1736,108.6252,110.0545,445100,0.012602690991678767
20230926,109.7766,109.9949,108.119,108.119,455200,-0.017586476757360026
20230927,108.5359,109.1215,107.454,108.2381,425300,0.0011015162607721507
20230928,108.9924,110.0545,108.7344,109.4292,561200,0.011004099884506902
20230929,109.8957,110.8982,109.3795,109.8758,561900,0.0040816141559356645
20231002,109.0619,109.0619,105.9552,107.0073,635100,-0.026106535205740022
20231003,106.4118,107.2257,106.2133,106.4317,486400,-0.005379780182987348
20231004,106.8783,107.454,104.8932,106.6401,768800,0.0019584650009953908
20231005,106.2034,106.5111,103.9602,105.8063,572000,-0.007818476108657824
20231006,104.9627,107.315,104.4366,106.7393,558100,0.008818056266512109
20231009,105.985,107.5731,105.3498,107.2952,520500,0.005207375841103978
20231010,107.5929,109.6475,106.8287,109.2505,595200,0.0182237658989004
20231011,109.4193,109.5681,107.7815,108.1686,356300,-0.009902594205653426
20231012,107.6624,108.1091,103.315,104.7642,747300,-0.03147381695994045
20231013,104.3771,105.5284,103.6426,105.0619,556900,0.0028421934497593337
20231016,105.8758,106.8188,104.0892,105.7667,540800,0.006707804322750643
20231017,103.851,105.6873,102.918,104.8535,462300,-0.008633671948165555
20231018,103.722,103.722,100.7344,100.8237,604800,-0.038432383119176516
20231019,100.923,102.3036,100.3072,100.7443,662000,-0.0007881852126283562
20231020,101.0422,101.6084,100.5357,100.9826,774200,0.002366117894527564
20231023,100.3072,103.3962,99.9695,101.5885,786000,0.005999699607041276
20231024,100.5257,102.1149,100.0689,101.1912,678800,-0.003910732588892518
20231025,99.5126,99.6418,96.0462,99.016,747800,-0.02149587566023181
20231026,98.7479,100.3172,97.8341,98.281,972000,-0.00742297022367
20231027,98.7379,99.3239,96.6124,97.2083,1928700,-0.010914546629838706
20231030,80.4623,84.2565,78.9625,81.5251,4228600,-0.16133647681384877
20231031,81.9224,84.4253,80.4226,82.2899,2138200,0.009380986997896912
20231101,83.1341,83.1341,80.6312,81.982,1667400,-0.0037416448774131306
20231102,83.0447,83.9089,82.3693,83.3824,1155500,0.017082527533978986
20231103,85.6967,88.2394,84.912,87.564,1032500,0.05014904243733831
20231106,87.2561,87.3256,84.6538,84.9617,1092300,-0.029718782983912617
20231107,84.6439,87.3057,84.326,84.8028,949500,-0.0018704935965900837
20231108,85.1703,85.8159,83.0745,84.6339,845600,-0.0019909551438616058
20231109,84.6637,84.8624,83.3328,83.591,1256600,-0.012322392455588305
20231110,83.1242,84.028,81.6145,83.9188,862800,0.003920980201240543
20231113,83.3725,84.0479,82.1906,83.452,1566200,-0.0055628468597025416
20231114,85.5676,87.8222,85.5676,87.2561,801400,0.04558430734957142
20231115,87.8918,90.1166,87.3951,88.5473,790400,0.014798160363884039
20231116,88.4877,89.1929,87.2163,87.6037,427900,-0.010656319438335338
20231117,88.4777,88.4777,87.1071,87.3753,631000,-0.002607818770878123
20231120,87.3753,87.5342,86.2032,87.5243,663000,0.0017053121127192927
20231121,89.2028,90.2259,88.1798,88.3188,519600,0.009078468501380721
20231122,89.1035,89.5107,88.299,88.8751,322700,0.006297788543612182
20231124,88.587,89.4809,88.1897,89.4809,149200,0.006817047701220824
20231127,88.8254,89.0538,87.6136,87.6534,432800,-0.02042393862510139
20231128,87.6732,87.7527,85.7166,87.1568,438500,-0.005665641503426522
20231129,87.9116,89.2227,87.6633,88.8055,500900,0.018917331433208284
20231130,88.8055,89.034,87.2561,88.299,993600,-0.005703992072796371
20231201,88.1202,90.6828,86.9879,90.6629,720700,0.02677162115877585
20231204,89.9577,91.9839,89.9577,91.1396,515300,0.005258611070297681
20231205,90.5338,90.5338,88.0209,88.7459,483400,-0.026264254315471414
20231206,89.3816,91.3979,88.6367,90.0272,505000,0.014437625100938378
20231207,90.057,91.1098,89.6398,91.0602,666200,0.011473852604146462
20231208,90.8119,91.7753,89.759,90.4046,550500,-0.0071988973342329565
20231211,90.355,90.8516,89.471,90.0769,628300,-0.0036255486194078923
20231212,90.3152,90.3152,88.299,88.8552,726900,-0.013562718882627611
20231213,89.0141,98.2016,88.8353,98.0129,1937300,0.10306293938905031
20231214,98.8273,101.807,98.5194,100.6251,1920500,0.026651815689923586
20231215,101.6382,101.9957,99.5424,100.4761,1809400,-0.0014806889096787845
20231218,101.3601,102.6513,99.5822,100.635,969300,0.0015816727035486977
20231219,101.0919,104.5583,100.6648,104.0219,1175800,0.033655531524668714
20231220,104.0021,106.9123,103.1181,103.3465,1079600,-0.0064927859115970765
20231221,104.1014,106.6838,103.575,105.045,975500,0.016434494491961216
20231222,105.9786,108.72,105.9389,106.9818,1102900,0.018437941157821713
20231226,107.25,109.4252,106.9917,108.8988,898300,0.017918434176258602
20231227,108.9782,110.5773,108.71,109.9417,673300,0.009576786533606718
20231228,110.19,110.6568,109.1769,110.0211,360900,0.0007228871183000418
20231229,109.455,110.5078,108.1439,108.571,385100,-0.013180507533308572
20240102,108.1538,110.8058,107.4089,109.6834,622200,0.010246077172901158
20240103,109.0676,109.0676,103.9326,104.31,706200,-0.04899034356594212
20240104,104.9755,107.3791,104.8662,106.9917,756600,0.02570940173940861
20240105,105.8793,108.3723,105.0251,106.6342,453900,-0.003342146796465717
20240108,106.0978,109.0378,105.7502,108.273,624500,0.015369021357751755
20240109,110.5873,114.2225,109.0875,110.5078,1038300,0.02064029460888772
20240110,108.9981,111.5507,107.7963,110.925,806500,0.003774937296674663
20240111,110.3688,111.3223,109.0279,110.0807,718100,-0.007611032744195501
20240112,111.0144,111.4812,109.5245,110.0509,393700,-0.00027064492294037734
20240116,108.273,108.71,107.2102,107.4586,788900,-0.02355601828377285
20240117,106.7037,107.6373,104.5086,105.0351,908300,-0.022552881090036836
20240118,105.2438,105.9892,104.2896,105.2736,607900,0.0022709848185773485
20240119,105.6215,106.1283,104.1505,105.7805,627900,0.004814971569208737
20240122,107.1322,107.321,106.029,106.0588,629900,0.0026308237249292876
20240123,107.1322,107.3409,105.1245,106.834,1467400,0.007309441862957788
20240124,107.5695,108.2354,105.3432,106.2576,727400,-0.005395721728841951
20240125,107.3409,108.6628,106.5855,108.0267,812400,0.016649494269924237
