datetime,open,high,low,close,volume,return
20230718,213.032,218.0369,211.5805,214.9642,1307100,0.008489977482757816
20230719,220.676,225.7468,219.7994,220.8079,1038800,0.02718468778938843
20230720,211.7219,212.212,202.1834,210.0536,2850600,-0.04870446964864372
20230721,211.1658,214.9265,209.6954,213.6164,1539900,0.01696133675885636
20230724,214.7097,215.2753,212.2686,214.5307,1084500,0.004279919003191912
20230725,214.0971,215.8691,207.4522,207.5842,1689200,-0.03237992924489885
20230726,207.3579,215.3883,207.3579,213.3901,1461000,0.027969229584079658
20230727,215.0868,216.8399,208.9603,209.62,1016200,-0.017667619896435616
20230728,213.0697,213.0697,205.9347,206.3023,1001100,-0.015827441924421093
20230731,206.4626,208.8378,205.275,206.3683,1048500,0.0003200390052622293
20230801,212.8718,218.4893,211.6936,214.9925,1908900,0.04179013962308842
20230802,212.5419,215.8879,210.2044,215.426,1123800,0.00201664373391508
20230803,215.0679,215.0679,207.3579,209.7803,1162600,-0.02620752093703993
20230804,210.0347,216.2743,209.0639,210.0724,928400,0.001392768297195257
20230807,210.4118,211.0716,206.3306,207.4617,766200,-0.012427993361374123
20230808,206.5851,210.5343,206.3494,210.2233,722700,0.01331135955785312
20230809,209.8085,214.9642,208.3287,214.6249,730900,0.02093794010694916
20230810,212.0329,219.2622,211.7502,215.1999,1121700,0.002678936362517481
20230811,214.4175,218.3667,214.3421,216.8398,749800,0.007620749073729893
20230814,216.5477,217.9049,215.3507,217.7447,838000,0.00417294826701009
20230815,215.935,218.6213,214.7757,216.7173,781400,-0.0047182514340982085
20230816,216.8493,217.7729,207.2354,207.8103,748500,-0.04109960953438219
20230817,207.9518,210.1761,207.4616,208.2439,769100,0.0020865613466070076
20230818,207.094,210.1384,206.651,209.7237,595700,0.0071059298514926095
20230821,209.0545,209.0545,203.1448,205.6802,630400,-0.01928006883940747
20230822,205.6991,207.4239,203.682,205.5765,604900,-0.0005041003500214636
20230823,206.712,209.1249,205.7658,208.4247,624100,0.013854498264040505
20230824,209.087,210.355,206.8255,207.9232,456100,-0.002406268949971979
20230825,207.6772,211.5188,207.4311,210.3739,490000,0.011786706342435505
20230828,210.7903,212.5786,210.3077,210.6483,542200,0.0013044111494660005
20230829,210.6672,215.5876,210.0049,215.3037,622200,0.022100394000803103
20230830,215.2848,217.6599,214.2724,214.9063,956200,-0.0018456932937258586
20230831,216.231,216.8461,211.6324,212.4556,735400,-0.011403779949903825
20230901,213.61,214.1777,208.6802,209.7683,495100,-0.012648624734172276
20230905,209.2385,212.4462,208.5856,209.9103,743100,0.0006766381688667611
20230906,209.2574,209.2574,203.9018,206.2673,682900,-0.017354769999358144
20230907,205.4535,210.6389,205.3211,209.3425,764700,0.01490885997010638
20230908,210.0238,210.0427,204.5641,205.2549,670700,-0.019526261652051957
20230911,206.0307,206.3714,202.4351,203.6273,734000,-0.007929401909753109
20230912,203.0501,203.1826,199.5869,202.8325,564800,-0.003903208404636982
