datetime,open,high,low,close,volume,return
20230718,93.4588,94.0896,92.6424,93.4773,5989000,-0.0016843566758888429
20230719,93.3475,94.6092,93.3475,94.47,5556200,0.010619262743543745
20230720,94.4236,95.073,93.4217,93.5887,5466100,-0.009329229542673234
20230721,94.4422,96.0657,94.2659,95.3885,20370300,0.019230683007176674
20230724,95.4441,95.9358,94.9246,95.3514,4746600,-0.00038887429210598956
20230725,95.0266,96.2698,94.9339,95.4812,5627500,0.0013620695904501545
20230726,94.8225,95.2493,93.9783,94.3772,6568300,-0.011562442768293435
20230727,94.6556,95.0266,93.2733,93.4959,5373400,-0.00933840023611554
20230728,94.1639,94.47,93.5237,93.9319,5320700,0.004663600358882913
20230731,93.9876,94.47,93.5701,94.2288,6377400,0.0031604521369095195
20230801,94.136,94.3587,93.1434,93.9412,7784300,-0.003051958677512623
20230802,93.2361,96.9099,92.1136,94.7483,14463100,0.008591607141131385
20230803,94.5999,95.4627,94.1175,94.9339,5547500,0.001958474100504537
20230804,95.5183,95.6946,93.2547,93.4031,5199200,-0.016124503281879643
20230807,94.0896,94.4978,93.6443,94.3865,5222700,0.010528457588927287
20230808,93.9041,94.0897,92.6702,93.4217,4058400,-0.01022202043110787
20230809,93.7,94.2381,92.2806,92.6981,4494300,-0.007745875693591087
20230810,93.7706,95.4774,93.6401,94.8152,6844200,0.02283944520712544
20230811,94.5727,94.5727,93.3976,94.1903,3180600,-0.006590802327267387
20230814,93.7147,94.4048,93.4535,94.209,3239300,0.00019812543851260855
20230815,93.3882,93.8732,93.0618,93.3043,3203700,-0.00960313115476319
20230816,92.9032,93.3509,92.2317,92.3157,3679500,-0.01059570407125221
20230817,92.3343,92.4276,89.9374,90.0679,5291100,-0.02434835113195888
20230818,89.5456,90.926,89.3404,90.6835,4126000,0.006834509308168979
20230821,90.7674,91.0006,89.6855,89.9653,3753200,-0.007919356335447159
20230822,89.9933,90.2265,89.1632,89.6016,3639800,-0.004043186458679404
20230823,89.928,90.0586,87.6803,88.7715,9704500,-0.009264185227506938
20230824,88.3705,89.1912,87.4005,88.4451,7824500,-0.003677035860811362
20230825,89.1073,89.499,88.1466,89.0513,5360400,0.006854328271947541
20230828,89.4804,90.6555,89.3778,90.5063,5098900,0.01633848477592137
20230829,90.8047,92.5488,90.7861,92.4742,5512300,0.021743612827956893
20230830,92.353,93.0058,92.3343,92.5582,4212200,0.0009076147815887392
20230831,92.3343,92.6421,90.7301,90.8793,5624500,-0.01813781355451327
20230901,91.7747,92.1012,90.5063,91.4016,4747100,0.005747188193695907
20230905,90.954,91.2244,90.0866,90.3197,5414300,-0.011836783652222072
20230906,89.928,90.0493,88.9487,89.4897,5428400,-0.0091905233735331
20230907,89.0606,89.3684,88.6223,88.6969,6404100,-0.00885870766656871
20230908,88.8368,89.3964,88.3705,88.8648,4754700,0.0018927925076210883
20230911,89.2099,89.7508,88.8088,89.2285,5577500,0.004093259733586541
20230912,89.07,90.012,88.7902,89.7601,5007600,0.00595783183111398
20230913,89.7228,90.7488,89.5736,90.4037,5830200,0.00716971577064629
20230914,90.2545,91.1965,89.7695,90.6182,6039700,0.002372779770237976
20230915,90.7021,90.9073,89.5829,89.7508,8767600,-0.009571788158611372
20230918,89.8161,90.441,89.6202,90.2451,4477500,0.005507564719623437
20230919,88.7995,89.042,87.9228,88.8741,6803000,-0.015192063987230942
20230920,89.0233,90.1146,88.6503,88.7529,4572100,-0.0013645054657049904
20230921,88.7529,88.9021,86.7663,86.8316,6108800,-0.021647700243462298
