datetime,open,high,low,close,volume,return
20230711,62.25,63.28,62.11,63.15,67581,0.020358700920988904
20230712,64.37,65.94,63.7,65.94,116584,0.04418052256532068
20230713,67.02,70.5,66.81,70.37,189953,0.06718228692751005
20230714,70.61,71.43,68.42,68.45,94637,-0.027284354128179644
20230717,68.6,69.89,67.87,68.68,74437,0.003360116873630359
20230718,68.46,68.46,65.25,67.26,123234,-0.02067559697146193
20230719,67.88,69.13,67.41,68.23,72576,0.014421647338685784
20230720,67.27,68.27,65.02,65.44,87626,-0.040891103620108504
20230721,66.26,66.64,65.19,65.57,58403,0.001986552567237121
20230724,67.0,67.7,65.51,66.17,82558,0.009150526155254024
20230725,66.05,66.48,64.85,64.99,69400,-0.017832854768021877
20230726,64.5,65.9,63.91,64.68,71188,-0.004769964609939836
20230727,66.32,67.79,63.52,63.96,103185,-0.011131725417439786
20230728,65.01,66.26,64.87,66.04,62588,0.03252032520325221
20230731,66.95,68.31,66.76,67.58,73797,0.023319200484554603
20230801,66.77,67.64,65.59,67.45,79640,-0.0019236460491268703
20230802,65.64,66.19,61.99,62.43,181231,-0.07442550037064499
20230803,61.88,64.25,58.33,59.04,298486,-0.054300816914944705
20230804,60.25,61.18,57.67,57.93,142440,-0.01880081300813008
20230807,57.61,58.06,56.51,57.57,90715,-0.006214396685655044
20230808,56.45,57.31,55.73,56.19,101525,-0.023970818134445016
20230809,56.11,57.07,55.09,55.2,80902,-0.017618793379604814
20230810,56.3,57.2,55.38,56.47,97742,0.02300724637681162
20230811,55.59,55.95,54.71,55.27,69302,-0.021250221356472365
20230814,54.54,55.99,54.37,55.98,51616,0.01284602858693673
20230815,55.69,56.2,54.77,55.34,80104,-0.011432654519471175
20230816,55.16,55.95,54.35,55.34,70923,0.0
20230817,55.69,55.97,52.77,53.22,110320,-0.038308637513552624
20230818,51.47,53.25,51.2,53.14,100571,-0.00150319428786172
20230821,53.41,54.27,52.89,53.93,59856,0.014866390666164797
20230822,54.7,55.09,53.84,53.96,55303,0.0005562766549229714
20230823,54.19,57.01,54.11,56.73,111145,0.05133432171979235
20230824,57.1,57.17,54.93,55.46,66880,-0.022386744227040345
20230825,55.42,56.64,54.06,55.54,77559,0.0014424810674360522
20230828,56.24,56.73,55.75,56.31,53948,0.013863881886928331
20230829,56.28,59.15,56.01,58.8,78090,0.04421949920085244
20230830,58.59,60.03,58.37,60.01,65186,0.020578231292517124
20230831,64.86,66.85,63.28,66.49,253953,0.1079820029995
20230901,66.68,67.6,65.89,66.71,115346,0.0033087682358248216
20230905,66.18,66.49,65.27,65.8,72094,-0.01364113326337879
20230906,65.04,66.26,65.0,65.82,64983,0.0003039513677811634
20230907,64.76,65.71,63.57,64.78,69050,-0.015800668489820646
20230908,64.34,64.83,62.78,63.01,72204,-0.027323247916023474
20230911,63.39,64.76,62.81,64.56,64406,0.024599269957149783
20230912,63.73,64.92,62.91,62.93,57693,-0.025247831474597304
20230913,62.34,63.26,61.72,62.62,55933,-0.0049261083743842304
20230914,63.08,63.84,62.65,63.4,55667,0.012456084318109184
20230915,63.31,63.49,61.92,62.38,61738,-0.0160883280757097
20230918,62.04,62.42,59.37,59.5,95149,-0.04616864379608854
20230919,59.17,59.23,56.88,58.33,113696,-0.019663865546218462
20230920,58.63,58.7,56.83,56.97,67657,-0.023315618035316343
20230921,55.37,55.99,53.68,53.7,89184,-0.0573986308583464
20230922,54.74,55.27,52.89,53.08,77168,-0.011545623836126673
20230925,52.71,53.63,52.3,53.58,67415,0.009419743782969059
20230926,52.9,53.63,51.37,51.51,88225,-0.038633818589025815
20230927,51.88,52.5,51.03,51.85,74919,0.0066006600660066805
20230928,51.25,53.88,50.59,53.2,117002,0.026036644165863043
20230929,54.26,55.59,54.1,54.57,110413,0.02575187969924797
20231002,54.22,55.21,53.51,54.0,68331,-0.010445299615173154
20231003,53.0,53.68,51.02,51.38,94499,-0.048518518518518516
20231004,52.16,52.75,51.15,52.58,93246,0.02335539120280261
20231005,52.01,52.55,51.11,52.19,74968,-0.007417268923545106
20231006,51.43,53.91,51.2,53.65,106968,0.02797470779842892
20231009,52.45,53.93,52.06,53.51,82525,-0.002609506057781985
20231010,53.73,55.59,53.56,55.08,82022,0.029340310222388366
20231011,55.51,55.64,53.71,54.24,72522,-0.015250544662309351
20231012,54.5,55.03,52.92,53.33,91392,-0.016777286135693292
20231013,53.4,54.19,50.69,51.55,124087,-0.03337708606787926
20231016,51.92,53.59,51.05,53.28,86391,0.033559650824442455
20231017,52.59,54.46,52.49,54.17,68439,0.016704204204204265
20231018,54.58,56.2,52.42,52.84,129538,-0.024552335240908274
20231019,53.13,53.32,51.54,51.83,86539,-0.019114307342922077
20231020,51.57,52.45,50.62,51.14,69560,-0.013312753231718988
20231023,50.53,51.98,49.64,51.0,72609,-0.0027375831052014465
20231024,51.5,52.88,51.25,52.35,61947,0.026470588235294246
20231025,50.85,51.1,48.35,48.49,104895,-0.07373447946513845
20231026,48.84,49.36,45.81,46.69,149844,-0.037121055887812004
20231027,48.13,48.18,46.06,46.4,101207,-0.006211180124223614
20231030,47.09,47.85,46.25,46.92,88373,0.011206896551724244
20231031,46.65,47.63,45.5,47.19,97908,0.005754475703324768
20231101,47.55,48.86,47.16,48.79,157311,0.0339054884509431
20231102,57.64,60.15,55.5,59.7,328436,0.2236113957778234
20231103,59.86,61.84,58.95,61.47,181724,0.029648241206030157
20231106,61.59,61.78,59.71,60.43,101095,-0.01691882218968599
20231107,60.7,62.34,60.02,61.69,92346,0.020850570908489185
20231108,61.53,63.09,60.7,62.74,97477,0.017020586804992854
20231109,62.52,63.34,60.33,60.37,100953,-0.037774944214217454
20231110,60.27,61.63,59.89,61.34,76715,0.016067583236706984
20231113,61.23,62.41,60.24,62.34,72500,0.01630257580697747
20231114,64.26,66.17,63.97,65.52,103144,0.05101058710298356
20231115,65.82,68.35,65.76,67.85,108349,0.035561660561660435
20231116,67.06,68.26,66.69,67.28,72948,-0.008400884303610856
20231117,66.93,68.89,66.8,68.34,74125,0.015755053507728878
20231120,67.73,70.16,67.73,69.51,80073,0.017120280948200284
20231121,69.0,69.91,68.16,69.73,67991,0.003165012228456332
20231122,70.26,71.58,69.15,70.96,81759,0.017639466513695634
20231124,70.5,71.21,70.23,70.35,43176,-0.008596392333709124
20231127,71.81,74.47,71.07,73.79,205436,0.048898365316276005
20231128,72.42,74.22,72.2,73.51,95033,-0.0037945521073315946
20231129,74.34,75.06,73.0,73.33,77861,-0.002448646442660962
20231130,73.36,73.84,72.12,72.82,57010,-0.0069548615846175554
20231201,72.44,73.99,71.74,73.86,68029,0.014281790716836218
20231204,73.0,73.66,71.37,72.52,77546,-0.018142431627403255
20231205,71.8,75.47,71.15,74.72,132381,0.03033645890788761
20231206,73.77,74.18,71.06,71.14,106809,-0.04791220556745179
20231207,70.7,72.28,70.04,71.86,68115,0.010120888389091975
20231208,71.26,73.02,71.24,72.52,50322,0.009184525466184201
20231211,72.43,73.63,72.18,72.81,57650,0.003998896856039824
20231212,72.0,72.63,71.07,72.5,50733,-0.004257656915258923
20231213,72.53,74.09,71.15,73.86,84539,0.01875862068965506
20231214,75.31,77.64,74.85,77.54,108363,0.04982399133495807
20231215,77.71,77.95,76.35,76.82,82516,-0.009285530049007118
20231218,75.75,77.47,75.63,77.13,62120,0.0040354074459776346
20231219,77.2,79.99,77.18,78.35,94088,0.01581745105665755
20231220,78.1,78.7,75.15,75.42,73692,-0.037396298659859495
20231221,76.7,77.3,75.5,76.14,60975,0.009546539379474916
20231222,76.45,77.17,76.15,76.83,48611,0.009062253743104876
20231226,76.83,78.47,76.44,78.21,42946,0.017961733697774207
20231227,78.19,78.68,77.34,78.34,48746,0.0016621915356094252
20231228,78.29,79.2,77.48,79.11,62623,0.009828950727597707
20231229,79.12,79.73,77.25,77.9,79633,-0.015295158639868411
20240102,76.44,76.63,72.91,73.83,107655,-0.052246469833119424
20240103,72.08,72.99,71.18,71.82,79464,-0.027224705404307215
20240104,71.63,74.02,70.61,73.42,66806,0.02227791701475934
20240105,73.32,75.95,73.0,74.51,79950,0.014846090983383409
20240108,74.78,77.9,74.72,77.69,64425,0.04267883505569703
20240109,77.25,80.24,76.92,80.11,89336,0.031149440082378632
20240110,80.69,81.3,79.37,81.1,77596,0.012358007739358357
20240111,81.15,82.65,79.13,81.3,88660,0.002466091245376223
20240112,81.11,83.19,81.0,81.4,74951,0.0012300123001232066
20240116,80.28,82.14,79.62,81.32,92506,-0.0009828009828011242
20240117,80.03,80.44,77.53,80.32,107261,-0.012297097884899189
20240118,80.0,81.01,77.21,77.52,90248,-0.03486055776892427
20240119,77.31,80.18,76.31,80.01,81916,0.032120743034055765
20240122,80.91,82.83,79.69,80.26,65559,0.003124609423821978
20240123,80.7,81.62,79.53,81.14,44806,0.010964365811113819
20240124,82.28,83.36,80.67,80.73,54455,-0.005052994823761314
