datetime,open,high,low,close,volume,return
20230718,68.46,68.46,65.25,67.26,14971800,-0.020675570218922967
20230719,67.88,69.13,67.41,68.23,9139300,0.014421665029662911
20230720,67.27,68.268,65.025,65.44,10732300,-0.04089111502650722
20230721,66.26,66.635,65.19,65.57,7400900,0.001986510522128615
20230724,67.0,67.7,65.51,66.17,10457300,0.009150502926850823
20230725,65.91,66.48,64.854,64.99,8531200,-0.01783285987348837
20230726,64.5,65.9,63.91,64.68,8663000,-0.004769927200852675
20230727,66.32,67.79,63.525,63.96,12823800,-0.01113174423787855
20230728,65.01,66.26,64.87,66.04,7783200,0.03252035429687239
20230731,66.95,68.31,66.76,67.58,9079000,0.023319214024499768
20230801,66.77,67.64,65.59,67.45,9900400,-0.0019237182493351268
20230802,65.64,66.181,61.99,62.43,25987400,-0.07442545396878975
20230803,61.88,64.25,58.33,59.04,35450300,-0.05430080687293204
20230804,60.25,61.18,57.67,57.93,17069400,-0.018800823054520577
20230807,57.61,58.059,56.51,57.57,10887400,-0.006214407188936177
20230808,56.45,57.31,55.73,56.19,12202300,-0.023970836814843688
20230809,56.1,57.065,55.09,55.2,9709000,-0.017618755792226604
20230810,56.3,57.2,55.38,56.47,11696400,0.023007254351639972
20230811,55.59,55.942,54.71,55.27,8678100,-0.021250234407636404
20230814,54.54,55.99,54.377,55.98,6531000,0.012846011915907729
20230815,55.69,56.2,54.77,55.34,9741000,-0.011432643709930135
20230816,55.16,55.945,54.35,55.34,8530700,0.0
20230817,55.69,55.97,52.775,53.22,13873200,-0.038308618106963066
20230818,51.47,53.25,51.2,53.14,12153800,-0.0015032286587690624
20230821,53.41,54.27,52.899,53.93,7606800,0.014866408065507652
20230822,54.7,55.085,53.84,53.96,6622400,0.0005562540168202457
20230823,54.19,57.005,54.11,56.73,13232000,0.051334331074159634
20230824,57.1,57.17,54.932,55.46,8956200,-0.02238675247684674
20230825,55.43,56.64,54.068,55.54,8956000,0.001442514107020454
20230828,56.24,56.725,55.75,56.31,7511900,0.0138638899004484
20230829,56.28,59.149,56.01,58.8,9897800,0.04421946018546152
20230830,58.59,60.029,58.37,60.01,7972400,0.02057821598932974
20230831,64.71,66.85,63.28,66.49,30505800,0.10798199839161016
20230901,66.68,67.6,65.89,66.71,13850300,0.0033087867013303907
20230905,66.24,66.49,65.27,65.8,8858400,-0.013641073979967278
20230906,65.04,66.26,65.0,65.82,8222700,0.0003039003364586623
20230907,64.76,65.71,63.571,64.78,8711900,-0.015800682472642547
20230908,64.34,64.825,62.785,63.01,9043500,-0.027323255497333387
20230911,63.39,64.76,62.81,64.56,7924300,0.024599258504199195
20230912,63.73,64.92,62.91,62.93,7179900,-0.025247789886277627
20230913,62.34,63.26,61.722,62.62,6920300,-0.004926130173012577
20230914,63.08,63.838,62.65,63.4,7116800,0.012456125954946051
20230915,63.31,63.49,61.92,62.38,8627200,-0.016088334908751167
20230918,62.04,62.42,59.371,59.5,11516400,-0.04616866012827481
20230919,59.17,59.23,56.88,58.33,13471600,-0.019663834772190136
20230920,58.62,58.7,56.835,56.97,8228600,-0.023315627767175995
20230921,55.37,55.99,53.68,53.7,11314400,-0.057398637663629515
20230922,54.74,55.27,52.89,53.08,9870000,-0.011545603781679126
20230925,52.71,53.625,52.3,53.58,8314700,0.009419743458024321
20230926,52.9,53.63,51.37,51.51,10456000,-0.03863388276933055
20230927,51.88,52.495,51.03,51.85,9041700,0.0066006632433874834
20230928,51.25,53.88,50.59,53.2,13608000,0.026036689075162878
20230929,54.26,55.59,54.102,54.57,13705300,0.025751859252587606
20231002,54.22,55.21,53.51,54.0,8265300,-0.010445294081214418
20231003,53.0,53.678,51.02,51.38,11280200,-0.04851849873860681
20231004,52.16,52.75,51.15,52.58,10956700,0.02335540556623572
20231005,52.01,52.55,51.112,52.19,9268600,-0.007417329607534606
20231006,51.43,53.91,51.2,53.65,12447600,0.02797476408483268
20231009,52.41,53.93,52.06,53.51,9709400,-0.0026095657104160397
20231010,53.73,55.589,53.56,55.08,9834000,0.02934037672899148
20231011,55.51,55.638,53.71,54.24,8505700,-0.015250546925622777
20231012,54.5,55.03,52.92,53.33,10730800,-0.016777282803318583
20231013,53.4,54.19,50.69,51.55,14373400,-0.03337713356232486
20231016,51.92,53.59,51.05,53.28,10339500,0.03355964244113108
20231017,52.59,54.46,52.49,54.17,7962000,0.016704193131368283
20231018,54.58,56.196,52.43,52.84,15420800,-0.024552299451985005
20231019,53.13,53.318,51.54,51.83,10438100,-0.019114275522645663
20231020,51.57,52.45,50.62,51.14,8475800,-0.01331279986551781
20231023,50.53,51.98,49.64,51.0,8851700,-0.0027375712029589216
20231024,51.5,52.88,51.255,52.35,7618800,0.02647055831609979
20231025,50.85,51.08,48.35,48.49,12658800,-0.07373442040428069
20231026,48.84,49.36,45.81,46.69,17931300,-0.037121117538693515
20231027,48.13,48.18,46.06,46.4,12207700,-0.0062111182128882225
20231030,47.09,47.85,46.25,46.92,10496200,0.011206823835477442
20231031,46.65,47.625,45.5,47.19,12046900,0.00575448568415271
20231101,47.55,48.86,47.16,48.79,19173700,0.03390553793982898
20231102,57.64,60.15,55.507,59.7,43602900,0.22361138845439155
20231103,59.86,61.84,58.95,61.47,22381200,0.02964824849487191
20231106,61.59,61.78,59.71,60.43,13284900,-0.01691883674759176
20231107,60.7,62.34,60.025,61.69,11180400,0.02085054302780276
20231108,61.87,63.09,60.704,62.74,11987600,0.017020636653138244
