datetime,open,high,low,close,volume,return
20230718,261.1522,264.0834,258.8734,260.6848,1623600,-0.0005225478948609474
20230719,261.162,263.2265,259.9252,260.9964,1385800,0.0011954879111377714
20230720,260.0908,261.6392,258.5911,259.3604,1256000,-0.006268349529502504
20230721,258.4937,262.6811,254.8613,261.6976,2298600,0.009011237218960577
20230724,261.4054,261.7658,258.6787,261.0062,2275500,-0.00264200484507493
20230725,267.9106,275.5747,267.6867,268.7384,4040500,0.029624736192875867
20230726,272.1468,274.0848,270.0725,273.5491,2289000,0.017901163067992165
20230727,274.3087,276.3732,268.417,269.8096,1889700,-0.013670534953475477
20230728,272.5461,274.7274,271.3872,272.7895,1202000,0.011044641402899291
20230731,274.1139,274.6106,265.5345,269.2643,1780000,-0.012923035134487781
20230801,268.9819,274.2405,268.0762,272.8675,2013400,0.013381688903557176
20230802,270.1505,272.1663,268.4463,270.4134,1239800,-0.008993525677022496
20230803,269.7804,270.6471,265.5442,266.0798,1580600,-0.01602578607359273
20230804,268.8358,269.7512,265.3689,266.4012,1218400,0.001207720603415341
20230807,267.8035,269.3324,265.5929,267.1413,1096700,0.0027781869935668
20230808,264.882,265.8364,262.2721,265.6708,964300,-0.005504538316773111
20230809,265.4469,267.1803,264.2783,264.4049,1339800,-0.004765033052089751
20230810,265.1352,268.8552,264.9112,265.7195,1112400,0.004971826585329575
20230811,266.1577,267.2581,264.3951,266.557,1240600,0.0031519123197805143
20230814,266.1967,269.4785,265.3495,269.3909,1359200,0.010631471220175381
20230815,268.0859,270.686,267.8425,268.0567,1026800,-0.004952534155017285
20230816,268.7579,269.4785,265.515,265.924,1662000,-0.007956002960945119
20230817,266.3779,267.4417,261.1465,261.5955,1189100,-0.01627740093614738
20230818,259.9265,264.4747,258.7261,263.6646,1440600,0.007909508687685252
20230821,263.8501,265.5873,261.3613,263.8891,964300,0.000851528184633743
20230822,265.6068,266.5925,261.9371,263.9183,1016000,0.00011078835746203275
20230823,264.8651,267.0513,264.094,265.519,1784700,0.0060648171917083715
20230824,264.9138,266.8365,262.4153,262.7667,929200,-0.010365696322923057
20230825,263.1766,263.567,257.9843,258.2771,1478100,-0.017085624280951617
20230828,258.2186,262.1421,258.0234,259.9656,1731300,0.006537578759869822
20230829,259.8973,264.0648,258.2674,263.9672,1461800,0.015392518495509933
