datetime,open,high,low,close,volume,return
20230718,132.8422,133.4219,131.1478,131.7364,739500,-0.0051184089407888544
20230719,132.2179,133.6983,132.2179,133.4932,613000,0.013335881554067175
20230720,134.171,136.0081,133.4754,135.9813,677700,0.01863861802046274
20230721,135.9992,136.6234,135.3214,135.6514,714900,-0.0024264806873502964
20230724,135.8386,137.2833,135.7405,136.561,664600,0.006705475605981004
20230725,136.8107,136.9266,135.4462,136.4272,548000,-0.0009794785500231162
20230726,136.0616,136.9266,135.259,135.7584,507900,-0.00490252988124007
20230727,135.473,136.2756,133.4308,134.1086,819400,-0.012152664795711754
20230728,134.7417,135.1698,134.1532,134.6526,545200,0.004056576573870485
20230731,134.6526,134.9647,133.7073,134.3493,1392600,-0.002251889067720003
20230801,135.1163,135.152,132.9671,133.4754,572200,-0.006505261553491959
20230802,133.8856,136.445,133.7964,135.3303,593400,0.013897091286801277
20230803,135.152,135.5444,133.5467,133.8143,454500,-0.011202382769839092
20230804,133.7607,134.822,132.8511,133.0116,448900,-0.005998185560840974
20230807,133.083,133.841,132.7441,132.9938,549300,-0.0001338755657016577
20230808,133.5021,133.5021,130.3362,130.6395,906500,-0.017702853514669714
20230809,130.586,132.762,130.5503,132.1199,707200,0.011332011226423244
20230810,132.2269,133.0473,131.121,131.3797,464100,-0.005602517818397379
20230811,131.6561,132.316,131.228,131.9504,556900,0.004344201929432412
20230814,132.5211,133.2881,130.6483,130.7375,783500,-0.009191788471605844
20230815,130.2203,130.7108,128.8826,128.9629,570000,-0.013574205927510685
20230816,129.2839,129.3553,127.9373,128.1067,586600,-0.00663865577041145
20230817,128.1607,128.4571,126.0134,126.5704,917700,-0.011992229742163851
20230818,126.5705,128.2775,126.5705,127.6216,1108900,0.008304961554184809
20230821,127.1993,127.3341,124.6747,125.5372,876300,-0.01633250874900316
20230822,125.1779,125.7708,124.3064,125.4833,871400,-0.0004293680188953708
20230823,125.6091,126.238,125.0521,125.3576,766400,-0.0010023498616890114
20230824,125.3576,126.831,125.1509,126.4267,1049900,0.008528644109728756
20230825,127.1544,128.3673,126.6603,127.6665,1024100,0.009806832394765763
20230828,128.1337,129.0771,128.1157,128.3763,1376800,0.005559444293416815
20230829,131.0266,132.5,128.6278,131.1165,2078800,0.021344975579049574
20230830,131.0357,131.4309,128.8614,129.2657,1068100,-0.014115108970261248
