datetime,open,high,low,close,volume,return
20250214,37.0,38.25,35.505,36.65,242700,0.018055597941080803
20250218,40.53,47.15,39.0,47.15,444500,0.28649384891801044
20250219,46.51,48.5,45.5,46.0,220700,-0.02439027547534034
20250220,48.98,49.49,46.71,48.26,446200,0.04913039829419996
20250221,48.99,50.69,48.0,50.37,1252100,0.043721522663420664
20250224,52.0,53.0,46.21,48.6,33848500,-0.03513997409762182
20250225,48.3,55.01,47.81,48.16,8198900,-0.009053469969618977
20250226,46.15,49.91,45.3,46.58,8389000,-0.03280726788545296
20250227,46.04,47.87,41.58,45.16,9676100,-0.03048522816278354
20250228,45.23,48.7,43.75,46.85,7713800,0.037422467502639556
20250303,48.49,50.88,47.605,50.31,4813000,0.07385278573874765
20250304,46.69,50.1,45.097,48.69,6074700,-0.032200411495954984
20250305,47.6,49.398,46.5,48.47,5071800,-0.0045183284495962095
20250306,47.41,49.06,45.24,46.5,4157300,-0.040643721293361024
20250307,49.2,51.13,47.16,51.0,7825500,0.09677419354838701
20250310,50.49,53.67,49.55,53.0,5223800,0.03921568627450989
20250311,51.84,53.19,49.82,52.16,3153400,-0.015849059482790362
20250312,53.0,53.1,50.38,50.44,2177500,-0.03297548362221592
20250313,50.0,50.87,47.86,48.44,3547400,-0.03965107165845483
20250314,49.43,54.94,49.43,54.82,4847600,0.13170935691557628
20250317,54.8,58.36,54.745,55.65,2930700,0.015140493171747593
20250318,55.14,57.89,54.57,56.42,2587300,0.013836417285781
20250319,56.3,57.605,55.67,56.33,2520700,-0.0015951141583013806
20250320,56.51,57.17,54.92,56.21,2701900,-0.0021303522577887923
20250321,55.1,55.45,51.915,53.96,6372200,-0.040028465337967556
20250324,54.61,55.685,51.84,52.99,3562800,-0.017976230957442385
20250325,52.13,53.18,51.76,52.2,3079000,-0.014908490101980365
20250326,53.53,53.7,51.98,52.62,1242400,0.008045941816221092
20250327,51.95,54.24,51.71,52.88,1618100,0.004941127736757256
20250328,52.21,52.89,48.455,48.97,3987300,-0.07394099410806743
20250331,47.41,48.395,47.02,47.61,2113400,-0.027772117142128905
20250401,47.55,49.36,46.58,48.11,2115600,0.01050199524448825
20250402,46.92,48.71,46.51,47.67,1725300,-0.009145758383373948
20250403,44.8,44.8,37.55,38.26,7372000,-0.1973987876832407
20250404,35.72,35.87,28.36,30.11,11428600,-0.2130161544360215
20250407,29.22,32.98,27.885,31.48,6238600,0.04549979754612732
20250408,33.0,35.84,31.655,32.35,5979600,0.027636561135189863
20250409,31.92,39.65,31.26,36.58,5601600,0.1307574515132497
20250410,34.6,35.03,30.51,31.075,4153400,-0.1504920938369596
20250411,30.56,32.05,28.27,31.97,4856000,0.028801239853304406
20250414,33.75,36.17,32.48,33.55,4102300,0.049421331174256844
20250415,33.3,34.56,32.89,33.23,1936800,-0.009537994101375014
20250416,32.3,33.12,30.75,32.03,2321000,-0.03611197049263315
20250417,31.75,32.66,30.39,31.29,2057200,-0.023103274803989104
20250421,31.07,31.07,28.94,29.81,2579400,-0.047299501638893404
20250422,30.26,31.12,29.315,29.62,2883700,-0.006373654146691776
20250423,31.985,32.778,30.2,30.36,2750200,0.02498311107871376
20250424,30.81,32.98,30.31,32.29,2590500,0.06357049625742528
20250425,32.26,33.37,31.6,32.85,1322100,0.017342754497243318
20250428,32.63,33.0,31.66,32.27,1421000,-0.017655952611819403
20250429,31.39,33.04,31.39,32.94,1385900,0.020762260906138863
20250430,31.84,32.47,31.01,32.11,2322100,-0.02519726930663646
20250501,32.48,34.19,32.48,32.59,1910200,0.01494859959864292
20250502,33.11,35.41,33.05,34.4,2193700,0.055538550623396965
20250505,33.83,35.23,33.525,34.61,1993800,0.0061046242778413085
20250506,34.02,34.43,33.46,33.83,1707600,-0.0225368033961717
20250507,34.0,35.56,33.378,34.97,3640000,0.033697881405432284
20250508,34.97,37.76,33.13,36.66,4969000,0.048327096588960394
20250509,37.96,38.79,37.28,37.74,2039200,0.02945995186988326
20250512,41.14,42.24,40.0,41.27,5374400,0.09353467467678933
20250513,41.85,43.8,41.3,42.0,2186700,0.017688382218057352
20250514,42.0,43.43,41.01,41.93,1828400,-0.0016666594005766422
20250515,41.17,41.863,39.75,40.54,1930800,-0.03315047411237104
20250516,40.52,41.0,39.925,40.44,2132500,-0.0024667559585588306
20250519,39.33,39.5,38.53,38.78,1765400,-0.04104846448525212
20250520,38.78,41.111,38.45,40.18,1756400,0.0361011235159272
20250521,40.04,40.48,38.35,38.6,1816200,-0.03932309156431635
20250522,38.4,39.284,37.77,37.84,1764900,-0.0196890764657085
20250523,36.25,37.567,35.79,37.28,1232900,-0.014799190566406883
20250527,37.945,38.62,37.5,38.18,1411000,0.024141672622015165
20250528,38.4,38.91,37.8,38.58,1055800,0.010476729247817174
20250529,39.04,39.225,37.685,38.6,1501900,0.0005183162809057063
20250530,38.19,38.45,36.68,37.69,5499600,-0.023575126512562106
20250602,37.54,37.88,36.207,37.33,1621000,-0.009551520529883617
20250603,37.45,39.24,36.87,38.64,1294000,0.03509235184403248
20250604,38.64,40.27,38.35,39.82,1860500,0.030538310657735268
20250605,39.375,40.45,37.33,39.12,5456000,-0.017579125271325324
20250606,39.73,40.155,38.53,39.15,10955500,0.0007669374952279373
20250609,40.27,42.235,39.55,41.82,10990300,0.06819918428816396
20250610,41.79,42.66,40.75,41.59,4056300,-0.005499749974048784
20250611,42.38,43.23,39.89,40.23,3891800,-0.032700182865157745
20250612,39.67,41.83,39.44,41.3,2052000,0.026597059582385896
20250613,41.0,42.83,40.78,42.5,2755900,0.02905570908249877
20250616,43.37,44.85,42.56,44.21,2901800,0.04023527257582726
20250617,44.23,44.559,43.535,44.09,2914900,-0.0027142939237678743
20250618,45.0,47.43,44.86,46.62,3351400,0.05738259856069372
20250620,46.98,48.21,44.76,46.58,4762700,-0.000857938690400184
20250623,46.36,48.25,45.804,46.95,1791600,0.007943300071707737
20250624,47.18,48.75,46.71,47.34,1740600,0.00830669613015833
20250625,47.34,48.16,47.05,47.25,2357900,-0.0019011439015166332
20250626,49.595,49.82,47.07,47.44,3449600,0.004021134956804007
20250627,47.23,47.74,46.19,47.15,3624000,-0.006112923887540034
20250630,47.23,47.34,45.33,45.35,3034600,-0.0381760974232388
20250701,45.7,45.915,44.3,44.96,2893400,-0.008599766323498126
20250702,44.52,46.24,44.17,46.21,3509400,0.02780249166934934
20250703,46.095,47.32,45.89,46.41,1441600,0.004328084113869979
20250707,47.14,47.235,45.09,45.22,2446100,-0.02564099613491677
20250708,46.12,47.25,45.61,46.17,2347200,0.021008335307325154
20250709,46.12,47.09,45.985,46.2,1575100,0.0006498287889107335
20250710,47.37,47.75,46.62,46.95,1734300,0.016233765965684377
20250711,46.29,47.415,45.825,46.09,1242000,-0.018317371594813947
20250714,44.63,44.85,41.46,42.48,5486900,-0.07832502925580631
20250715,42.8,43.45,42.515,42.72,2398200,0.005649757086936269
20250716,42.76,42.96,40.3,41.36,2338400,-0.03183521937008915
20250717,41.4,42.26,41.04,41.52,2290100,0.003868468207228748
20250718,41.54,42.285,40.84,42.19,1678600,0.01613675726296937
20250721,41.728,42.28,40.55,41.61,2174200,-0.013747286921935276
20250722,41.51,41.98,40.89,41.36,1846700,-0.006008171024583064
20250723,41.06,43.65,41.06,43.0,2220800,0.0396518221819846
20250724,43.08,43.5,42.03,42.06,1347100,-0.02186043317927866
20250725,42.48,42.605,41.5,42.48,869200,0.009985690804376057
20250728,43.08,43.24,41.57,41.89,851300,-0.013888892630549043
20250729,42.26,43.19,41.677,42.93,1202600,0.024826949884948935
20250730,42.07,43.47,42.07,43.39,1334800,0.010715096231135979
20250731,43.73,44.62,42.243,42.92,1849200,-0.010832017223195711
20250801,42.18,42.225,40.1,41.33,1661800,-0.03704558261237445
20250804,42.11,42.54,41.6,42.51,1540000,0.02855060339222848
20250805,42.53,43.395,41.37,41.93,1422900,-0.013643802381982817
20250806,42.72,43.0,41.615,42.1,1553800,0.00405433264269095
20250807,42.0,42.35,40.53,40.69,2207200,-0.03349168405026992
20250808,41.41,44.85,41.0,44.34,3516500,0.08970267016630085
20250811,45.7,46.35,43.17,43.37,3095000,-0.02187643701770514
20250812,45.21,47.86,45.0,46.83,3204500,0.07977871764774691
20250813,47.02,48.46,46.8,47.01,2348500,0.0038436148503233625
20250814,46.43,47.264,46.08,46.68,3549300,-0.007019741079341113
20250815,43.06,46.13,42.82,44.54,7519200,-0.04584403118376068
20250818,44.25,45.87,44.25,45.52,2541700,0.02200268347759926
20250819,46.23,46.5,44.26,44.58,2372900,-0.02065023324376225
20250820,44.86,45.0,43.202,44.4,1526800,-0.004037691740299443
20250821,43.87,45.6,43.56,45.5,1802300,0.02477473955670817
20250822,46.11,47.19,45.63,46.37,2208300,0.019120855645819113
20250825,46.36,46.88,46.01,46.78,1318100,0.008841920570547668
20250826,46.75,48.21,46.75,47.35,2577800,0.012184688108125341
20250827,47.4,49.08,47.4,48.44,2145100,0.023020067322359505
20250828,48.56,51.23,48.56,50.87,2919400,0.05016516048858688
20250829,51.15,52.94,50.82,52.47,4228000,0.0314527682801955
20250902,51.01,51.7,50.07,51.07,2023400,-0.02668194193459461
20250903,51.92,53.225,50.65,53.01,1689700,0.037987049898212444
20250904,55.67,62.65,55.55,62.5,10189000,0.17902286321355843
20250905,65.52,68.67,63.74,68.55,9050000,0.0968000488281251
20250908,68.65,71.0,67.86,70.495,5869100,0.02837344432144917
20250909,70.26,71.4,69.57,70.51,3364300,0.0002127723819282945
20250910,72.42,74.49,72.03,73.92,4053000,0.04836187674659942
20250911,82.3,85.89,81.38,84.3,10167400,0.1404221474558054
20250912,85.31,86.96,82.28,86.13,5641700,0.02170811548531737
20250915,85.3,92.055,85.12,90.09,8981300,0.04597700233080526
20250916,90.31,93.13,89.56,91.55,6292100,0.01620609138878537
20250917,90.775,94.81,90.22,93.97,7031000,0.026433621936387874
20250918,97.3,102.93,96.858,98.87,9441900,0.052144316933342205
20250919,98.0,102.99,96.71,102.21,6459900,0.033781695611473816
20250922,105.76,108.8,101.59,102.92,7692200,0.006946473836535905
20250923,105.0,110.21,104.7,106.4,7835000,0.03381270325346386
20250924,103.555,107.72,96.631,99.83,12409300,-0.06174811654703072
20250925,96.265,100.45,93.535,94.29,10569300,-0.055494348531645366
20250926,96.0,99.646,94.39,97.12,6418000,0.0300138063800639
20250929,104.25,114.0,103.348,113.5,12435400,0.16865729808676755
20250930,114.1,120.74,112.11,112.2,11414800,-0.011453771381126132
20251001,113.06,123.85,112.0,121.12,12237400,0.0795009451065729
20251002,128.69,132.29,123.26,124.14,9453400,0.024933921520668312
20251003,128.29,137.05,126.7,128.41,10193700,0.03439668353032865
20251006,133.6,134.79,119.29,121.17,9963900,-0.056381942891419845
20251007,125.2,125.2,115.68,120.95,6594600,-0.001815641033487303
20251008,121.5,132.28,120.2,131.88,7173400,0.09036798851055416
20251009,127.0,131.605,126.12,129.68,3561500,-0.01668192391247003
20251010,131.46,132.0,116.17,116.91,7860200,-0.09847308555606338
20251013,129.74,135.91,124.048,134.61,8297300,0.15139848082973573
20251014,123.59,130.48,120.96,127.29,7078600,-0.05437931551618547
20251015,134.75,144.55,130.5,144.3,8971100,0.13363188006824434
20251016,146.0,149.09,141.7,144.27,6289600,-0.00020789174402247035
20251017,139.22,150.82,136.29,140.16,8279800,-0.028488254582634043
20251020,145.98,152.63,145.5,148.04,6626100,0.05622138568874546
20251021,145.8,150.16,142.76,149.29,4177900,0.008443664257563155
20251022,149.1,157.4,144.82,146.95,7516800,-0.015674167346271695
20251023,146.995,167.95,146.0,167.05,9011400,0.13678126247661737
20251024,174.4,187.36,173.5,186.16,10653100,0.11439688872337594
20251027,191.5,191.85,173.72,176.49,11235500,-0.051944552958308354
20251028,175.49,178.82,164.56,175.53,9140800,-0.005439439537579749
20251029,186.67,205.64,181.51,204.36,9365000,0.164245439705746
20251030,192.02,204.92,191.09,195.82,7341500,-0.041788966826320495
20251031,203.5,209.77,189.58,199.33,6920700,0.017924595932756082
20251103,210.85,213.4,189.1,207.01,10626000,0.03852903529439855
20251104,188.135,202.98,185.0,194.57,9800800,-0.060093654957352305
20251105,201.88,218.94,201.87,216.5,10336300,0.11271003674907898
20251106,212.0,226.5,205.18,207.69,10402700,-0.040692829369948
20251107,208.42,240.0,203.4,239.48,20552100,0.1530646295557796
20251110,247.0,270.91,247.0,267.95,15276400,0.11888264985557728
20251111,262.29,275.87,255.87,271.58,12180900,0.013547207314287046
20251112,271.58,284.76,267.05,283.1,13730300,0.04241851425301779
20251113,268.0,271.84,234.13,243.57,23274900,-0.1396326313212537
20251114,236.0,270.489,235.05,254.16,19464400,0.04347824452702076
20251117,253.4,282.8,253.0,265.88,14211500,0.046112689061352796
20251118,257.15,260.632,229.11,244.93,16433900,-0.07879498955276854
20251119,251.11,256.98,233.785,245.96,12005800,0.004205340582561501
20251120,252.17,254.6,192.62,195.96,26590900,-0.2032850814570294
20251121,205.37,205.5,183.0,200.27,20061000,0.021994271335615156
20251124,206.05,228.18,205.13,226.96,13798900,0.13327009473218654
20251125,228.4,229.069,209.0,220.5,14680600,-0.028463194055203922
20251126,226.0,228.0,205.4,215.04,43000900,-0.024761935210282027
20251128,225.25,237.77,211.73,223.28,13367500,0.0383184791221598
20251201,211.84,215.3,205.24,210.17,10280900,-0.05871551720720969
20251202,211.75,217.0,192.8,205.35,11095800,-0.02293377792940332
20251203,196.695,199.18,187.7,194.38,9868200,-0.05342099291281843
20251204,192.325,214.99,189.68,213.31,12166500,0.0973865222772976
20251205,212.4,229.45,211.25,228.47,8451300,0.07107029129258269
20251208,235.66,238.86,215.6,225.47,8710000,-0.013130826734237155
20251209,222.27,224.33,213.5,219.46,6299000,-0.02665540637023822
20251210,218.0,234.17,215.2,232.86,6090400,0.06105893322948508
20251211,230.0,244.19,217.67,241.61,7622500,0.037576225960084475
20251212,232.11,236.0,204.8,206.18,12083200,-0.14664131387387758
20251215,214.445,217.0,200.342,201.87,6265000,-0.020904053311182502
20251216,201.13,210.5,199.5,209.31,6638400,0.03685541497678857
20251217,215.99,221.99,205.52,206.83,8232300,-0.011848434171639721
20251218,222.735,231.0,214.0,219.46,9924100,0.06106466552724332
20251219,222.29,243.71,221.0,237.61,10925000,0.08270296792685516
20251222,249.645,252.0,226.6,241.05,8663400,0.014477515393164664
20251223,238.42,245.5,234.0,244.9,5305700,0.01597175190203126
20251224,244.9,261.37,244.5,250.08,5642600,0.021151523330620536
20251226,259.595,261.5,245.1,250.05,5553700,-0.00011995673015530173
20251229,241.555,250.0,236.01,244.25,5706200,-0.02319537284931472
20251230,245.87,247.48,236.52,240.22,6617000,-0.01649948323151229
20251231,241.415,241.9,235.24,237.38,4180400,-0.011822480740400043
20260102,244.35,275.8,244.0,275.24,11104300,0.1594910463088619
20260105,284.22,285.0,266.33,274.08,9812600,-0.004214517160539
20260106,288.745,352.0,288.5,349.63,24249700,0.27564952572933255
20260107,340.88,354.935,331.23,353.56,14886100,0.01124043308896927
20260108,360.73,360.975,310.78,334.54,21404400,-0.053795647542167924
20260109,341.6,384.0,334.54,377.41,19353200,0.12814609320915027
20260112,373.97,395.16,373.97,389.27,14603900,0.031424671409029825
20260113,393.2,398.0,379.41,389.81,10818600,0.0013872339511455944
20260114,390.0,401.2,377.0,387.81,10862500,-0.005130704734424785
20260115,398.83,423.35,398.615,409.24,14146600,0.05525900005335327
20260116,425.59,432.02,399.7,413.62,15703000,0.010702778289834347
20260120,412.165,457.37,412.165,453.12,17872400,0.09549828457593978
20260121,463.05,501.95,448.53,501.29,21365000,0.10630741072301708
20260122,501.29,509.499,467.56,503.44,20607500,0.004288922300137443
20260123,503.44,506.3,463.01,473.83,21061100,-0.05881538162551325
20260126,476.485,494.7,454.33,470.8,13435200,-0.006394696125536892
20260127,481.005,503.0,471.15,481.43,14015600,0.022578600591397935
20260128,500.1,531.463,499.15,527.63,16486300,0.0959641337471564
20260129,535.85,546.75,507.24,539.3,23010300,0.02211773932899841
20260130,651.23,676.69,533.0,576.25,40932100,0.0685147655171392
20260202,588.81,674.0,584.1,665.24,28765800,0.15442948413774404
20260203,694.06,725.0,646.2,695.51,31213200,0.04550240511035031
20260204,654.0,662.79,582.0,584.55,29007600,-0.15953763485021288
20260205,563.75,619.41,562.1,576.2,27725500,-0.01428445087727015
20260206,614.5,615.36,575.5,597.95,21327300,0.03774730916212676
20260209,592.165,603.98,551.51,583.4,15290700,-0.02433311731070098
20260210,573.88,582.28,540.14,541.64,15904000,-0.07158040455614767
20260211,578.5,612.8,575.0,599.34,20472700,0.10652834105043474
20260212,640.55,668.0,615.62,630.29,23321100,0.0516400537008328
20260213,610.525,661.5,586.37,626.56,23640400,-0.005917880021548139
20260217,612.0,628.65,588.945,590.59,19143200,-0.05740866133057143
20260218,582.49,616.98,574.5,600.4,25097600,0.016610503246771602
