datetime,open,high,low,close,volume,return
20260615,171.74,193.0,168.35,192.5,256226600,0.1960236324944049
20260616,200.51,225.64,199.98,211.39,195401600,0.09812986695921255
20260617,209.84,213.8,187.01,191.82,201719500,-0.09257766271788925
20260618,188.39,190.0,172.11,185.0,272126800,-0.03555420218857264
20260622,176.04,176.75,154.0,154.6,169183800,-0.16432429133234794
20260623,151.06,165.5,147.11,156.11,155848100,0.009767105091993855
20260624,154.2,159.86,150.72,154.54,76101500,-0.01005705795964651
20260625,156.63,160.65,150.0,153.0,62212400,-0.009965014578986686
20260626,150.62,158.4,148.51,153.23,126932900,0.0015032400492749343
20260629,157.36,166.17,151.74,164.19,81443100,0.0715265092962305
20260630,163.38,172.4,161.64,170.86,82047500,0.04062365594595563
20260701,171.57,171.74,155.0,157.54,109317600,-0.07795860515414132
20260702,159.73,162.16,155.88,162.0,61257100,0.028310314230918454
20260706,165.95,167.9,155.04,160.42,188831300,-0.009753097722559834
20260707,158.92,159.3,148.86,149.47,83779700,-0.06825830366055896
20260708,152.55,152.93,145.2,148.3,60949400,-0.007827645409714923
20260709,150.45,153.5,147.59,152.16,46468600,0.026028324551041315
20260710,150.13,150.57,145.07,145.3,46826000,-0.045084124903053135
20260713,144.7,144.92,136.78,139.14,71456500,-0.04239506904838186
20260714,140.95,143.33,135.52,136.08,46694800,-0.021992220583705202
20260715,137.51,139.34,132.15,135.27,58040900,-0.005952362931324617
20260716,135.01,137.76,130.74,131.11,58725600,-0.030753334299674417
20260717,127.43,130.33,122.12,123.99,83706200,-0.05430556565812328
20260720,125.29,125.7,119.68,119.85,57337300,-0.033389785151840545
20260721,122.11,129.88,120.36,123.54,79718100,0.030788506369510138
20260722,123.29,124.77,115.19,115.26,92731800,-0.06702281623713502
20260723,115.21,118.55,110.85,118.24,75246500,0.02585455207624321
20260724,116.01,117.0,111.4,115.07,56786100,-0.026809863212257756
20260727,113.5,114.85,108.66,113.5,64540700,-0.013643866333431842
20260728,109.32,118.13,107.01,116.41,81714300,0.025638798785104555
20260729,114.4,117.59,110.35,112.55,53995200,-0.03315866754506391
20260730,115.14,118.93,111.35,112.2,56008000,-0.003109783154378709
20260731,113.1,113.64,107.57,108.37,58835700,-0.03413542162061667
20260803,106.4,114.92,104.83,114.53,70524000,0.056842261480049006
20260804,117.33,126.71,115.72,125.33,144130100,0.09429846474171177
20260805,112.37,117.5,106.66,108.27,208488400,-0.13612068091234242
20260806,107.09,115.75,105.11,114.92,255176600,0.0614205387647877
20260807,114.97,133.48,114.53,133.11,242130700,0.15828404743502444
20260810,134.95,139.26,130.17,138.74,169934300,0.04229588202987866
20260811,138.66,139.98,130.5,133.29,108900600,-0.03928219685200873
20260812,135.05,149.6,134.01,146.15,167236400,0.09648136587977074
20260813,143.75,145.05,139.76,141.29,120282200,-0.0332535122361608
20260814,142.9,144.02,135.5,140.0,96727800,-0.009130110746911724
20260817,139.98,149.8,139.58,146.23,116675400,0.044499969482421964
20260818,140.73,146.46,139.41,143.34,84191000,-0.01976338284952961
20260819,144.96,145.01,136.72,139.65,76612300,-0.025743006388167733
20260820,137.29,137.88,130.39,134.0,119813200,-0.040458246641044915
20260821,134.32,137.35,131.22,136.97,78808300,0.022164188214202518
20260824,134.36,138.33,133.1,135.0,60188400,-0.014382720326685305
20260825,136.94,139.75,136.1,137.95,53075000,0.021851829246238408
20260826,137.0,140.18,135.1,139.63,61380500,0.012178383267385184
20260827,140.04,142.06,138.6,140.87,54965745,0.008880542798918478
