datetime,open,high,low,close,volume,return
20230718,395.12,399.42,394.45,399.03,11636,0.0106886856969175
20230719,400.79,402.33,398.18,399.67,18747,0.0016038894318723962
20230720,400.03,401.17,398.05,400.86,13736,0.002977456401531242
20230721,401.8,402.28,400.36,400.39,19638,-0.0011724791697850234
20230724,401.44,402.49,398.27,399.93,15142,-0.0011488798421538382
20230725,398.62,405.46,397.76,404.4,15768,0.011176955967294289
20230726,404.91,405.46,402.4,405.23,16048,0.002052423343224641
20230727,381.67,390.12,372.47,374.27,53889,-0.07640105619031179
20230728,376.48,380.1,370.81,370.94,33129,-0.008897320116493357
20230731,370.59,373.89,367.05,373.17,26820,0.006011753922467333
20230801,373.06,377.29,372.09,376.76,15667,0.009620280301203099
20230802,372.97,374.52,369.58,372.92,23247,-0.010192164773330403
20230803,367.75,371.71,362.0,362.96,27502,-0.026708141156280285
20230804,363.76,369.58,360.03,365.91,16685,0.00812761736830514
20230807,366.62,369.38,365.12,369.26,8845,0.009155256757126029
20230808,366.91,367.91,360.08,365.6,12236,-0.009911715322536874
20230809,365.41,370.8,365.23,366.69,11155,0.0029814004376367276
20230810,368.81,373.39,366.24,366.83,12777,0.00038179388584369534
20230811,364.33,367.56,362.71,366.72,9944,-0.0002998664231386172
20230814,367.07,369.5,365.69,367.66,10381,0.002563263525305448
20230815,364.95,367.5,364.24,366.11,11985,-0.004215851602023646
20230816,364.05,368.11,363.25,365.83,10778,-0.000764797465242717
20230817,366.5,369.04,363.36,363.59,12166,-0.006123062624716402
20230818,359.86,364.03,359.6,361.33,12693,-0.006215792513545426
20230821,361.33,362.46,356.41,358.0,16395,-0.009215952176680586
20230822,360.28,364.67,358.48,362.79,14449,0.013379888268156392
20230823,365.74,370.79,364.38,370.54,9380,0.02136222056837278
20230824,370.8,374.78,366.04,366.08,6990,-0.012036487288821784
20230825,367.91,370.72,364.83,367.26,10262,0.003223339160839167
20230828,369.02,371.88,366.9,369.31,13130,0.005581876599684232
20230829,368.53,371.97,367.78,371.27,6896,0.005307194497847334
20230830,370.91,374.04,370.3,371.15,7789,-0.0003232149109811955
20230831,372.14,374.47,369.6,369.71,11470,-0.0038798329516368524
20230901,372.35,375.17,371.57,372.91,7908,0.008655432636390792
20230905,373.11,381.14,372.08,372.26,17039,-0.0017430479204098015
20230906,371.92,374.43,370.75,372.83,13570,0.0015311878794390665
20230907,368.46,373.78,368.46,372.29,17192,-0.0014483812997879708
20230908,373.16,374.09,368.44,369.57,10521,-0.007306132316205138
20230911,369.57,371.58,366.67,368.3,13121,-0.0034364261168384758
20230912,366.19,368.84,364.44,366.34,10581,-0.005321748574531715
20230913,365.74,369.75,364.86,368.76,6349,0.0066058852432167026
20230914,372.99,374.95,368.83,374.76,8294,0.016270745200130277
20230915,372.19,373.35,366.82,367.26,18597,-0.020012808197246268
20230918,366.03,370.05,365.43,368.45,6587,0.0032402112944507344
20230919,366.98,368.78,365.72,368.25,9199,-0.0005428144931469703
20230920,368.92,370.91,364.95,365.34,9924,-0.007902240325865617
20230921,362.89,364.17,352.03,352.17,12221,-0.036048612251601164
20230922,352.41,355.56,351.0,351.58,15172,-0.0016753272567227029
20230925,350.4,352.44,349.52,351.36,12456,-0.0006257466295009895
20230926,346.37,348.68,343.59,344.37,23835,-0.01989412568306015
20230927,345.38,345.81,341.38,343.42,20145,-0.0027586607428056187
20230928,343.42,350.29,343.2,348.59,23912,0.015054452274183117
20230929,351.41,354.42,344.85,345.64,12674,-0.008462663874465703
20231002,347.39,351.88,344.87,346.88,24174,0.00358754773753045
20231003,344.48,345.9,335.79,337.14,12085,-0.02807887453874547
20231004,338.55,342.96,337.53,342.68,13128,0.016432342646971687
20231005,341.59,342.82,338.11,341.73,8329,-0.0027722656705964077
20231006,340.2,346.37,338.21,344.36,10102,0.0076961343750914235
20231009,342.4,347.41,342.4,346.64,7663,0.006620978046230519
20231010,346.2,352.28,345.5,349.59,8333,0.008510270020770871
20231011,351.81,353.81,349.25,351.78,6561,0.00626448124946366
20231012,352.67,353.19,344.18,346.03,9968,-0.016345443174711427
20231013,346.68,348.55,341.03,344.03,7256,-0.005779845678120399
20231016,346.56,351.52,345.23,347.66,8760,0.010551405400691882
20231017,344.99,351.54,343.21,347.44,7871,-0.0006328021630329639
20231018,344.53,345.96,340.23,340.43,11904,-0.02017614552152891
20231019,341.26,342.78,336.79,338.22,11039,-0.006491789795258884
20231020,338.08,338.08,330.96,331.09,24216,-0.02108095322571124
20231023,329.08,335.48,327.39,331.25,14659,0.00048325228789769525
20231024,331.3,334.76,326.43,329.12,20352,-0.0064301886792452745
20231025,327.87,334.44,327.2,330.24,13019,0.003403014098201318
20231026,328.93,333.77,328.64,329.42,11502,-0.0024830426356589053
20231027,329.65,331.06,322.18,323.95,14212,-0.016604942019306734
20231030,326.15,328.07,322.07,326.4,21882,0.0075628955085660365
20231031,326.8,330.51,324.38,330.41,20710,0.012285539215686425
20231101,331.57,334.17,328.23,332.39,16161,0.0059925547047605665
20231102,345.25,359.27,345.25,355.58,39088,0.06976744186046502
20231103,360.78,364.67,359.49,362.19,21701,0.018589346982395005
20231106,361.53,364.46,360.7,363.84,13234,0.004555619978464209
20231107,364.88,367.01,362.91,363.76,10275,-0.00021987686895330594
20231108,362.73,365.82,361.45,365.48,8399,0.004728392346602162
20231109,368.55,369.36,364.52,366.71,17165,0.003365437233227464
20231110,368.66,372.78,366.11,372.66,14835,0.01622535518529644
20231113,373.08,374.6,371.45,373.45,14340,0.002119894810282741
20231114,378.02,384.44,377.15,382.06,21958,0.023055295220243632
20231115,382.06,385.3,379.85,380.31,12934,-0.0045804323928179125
20231116,382.55,383.66,381.4,382.12,12456,0.004759275328021895
20231117,381.67,386.32,380.05,386.04,16156,0.010258557521197531
20231120,385.53,390.86,385.48,389.28,14362,0.00839291265153852
20231121,388.79,391.49,388.71,391.38,8030,0.005394574599260293
20231122,392.82,395.18,391.49,392.64,10662,0.00321937758699975
20231124,393.51,393.51,390.43,392.64,4079,0.0
20231127,390.1,391.61,388.18,389.95,13280,-0.006851059494702549
20231128,388.76,395.14,387.83,390.64,12814,0.0017694576227722525
20231129,392.1,395.71,391.36,392.21,11831,0.004019045668646415
20231130,390.78,393.61,389.81,393.33,14959,0.0028556130644297184
20231201,394.44,401.99,393.5,399.17,26456,0.01484758345409709
20231204,396.85,402.58,395.41,401.24,20997,0.005185760452939725
20231205,403.05,403.1,396.99,400.26,17464,-0.002442428471737701
20231206,400.12,402.01,395.75,396.01,20279,-0.010618098236146456
20231207,396.81,397.21,394.06,394.8,17221,-0.0030554783970101473
20231208,393.15,396.19,390.82,392.91,22919,-0.004787234042553212
20231211,393.61,401.18,393.48,400.83,17917,0.02015728792853322
20231212,400.58,404.04,399.48,403.72,10214,0.007210039168725091
20231213,405.7,412.4,404.25,411.71,15520,0.01979094421876537
20231214,416.2,417.78,412.22,414.1,16300,0.005805056957567389
20231215,409.19,413.69,409.16,412.2,18778,-0.0045882637044193375
20231218,412.38,415.56,411.61,412.8,10262,0.0014556040756914523
20231219,411.62,416.04,410.99,413.04,13493,0.0005813953488371659
20231220,413.07,413.79,404.44,404.68,21112,-0.02024017044354065
20231221,405.84,409.65,405.84,409.28,10102,0.011367006029455284
20231222,411.59,413.23,409.22,411.32,6725,0.004984362783424512
20231226,411.0,414.9,411.0,412.63,5241,0.0031848682291160113
20231227,411.74,416.47,410.52,416.2,8511,0.00865181882073518
20231228,415.87,419.48,415.27,417.94,7860,0.004180682364248067
20231229,417.94,419.71,415.38,416.69,6444,-0.002990859932047618
20240102,415.51,416.67,410.29,412.78,11121,-0.00938347452542665
20240103,409.96,411.09,405.87,406.6,10062,-0.014971655603469025
20240104,407.35,410.19,405.81,406.42,12657,-0.00044269552385634015
20240105,405.66,408.04,402.74,404.78,9513,-0.004035234486491901
20240108,407.35,409.0,404.45,408.79,16215,0.009906615939522911
20240109,405.12,409.46,405.12,406.9,7575,-0.004623400768120622
20240110,408.39,411.42,406.4,409.7,11284,0.006881297616121884
20240111,410.68,412.05,406.95,410.7,16975,0.0024408103490358712
20240112,413.8,415.53,410.65,413.36,9275,0.00647674701728751
20240116,409.99,414.51,409.45,412.93,12983,-0.0010402554673891728
20240117,410.37,415.71,410.01,414.05,12376,0.002712324122732701
20240118,415.7,417.29,412.06,415.82,12866,0.004274846033087698
20240119,417.36,419.47,415.28,418.04,12341,0.00533884854023392
20240122,420.66,422.07,418.88,420.41,15076,0.005669313941249587
20240123,422.41,422.82,419.04,422.33,10287,0.004566970338478971
20240124,424.15,425.96,421.11,421.78,11347,-0.0013022991499538339
20240125,423.16,425.25,419.61,425.03,12472,0.007705438854379132
20240126,424.64,425.13,421.32,422.44,8878,-0.006093687504411416
20240129,423.7,426.24,420.89,425.48,12709,0.007196288230281178
20240130,425.83,430.7,424.24,429.97,13542,0.010552787440067712
20240131,430.39,432.46,423.73,424.09,12838,-0.013675372700421073
20240201,424.09,432.71,423.5,432.48,10481,0.019783536513475974
20240202,430.38,432.02,423.93,429.49,20261,-0.006913614502404797
20240205,425.66,428.51,421.56,427.11,13990,-0.00554145614566115
20240206,427.35,429.93,425.39,428.77,12167,0.0038865865936175137
20240207,434.53,436.21,429.09,434.85,17601,0.014180096555262756
20240208,408.44,413.68,397.14,413.01,54001,-0.050224215246636894
20240209,413.29,417.18,408.0,414.2,24370,0.0028812861674052392
20240212,415.38,415.38,405.96,406.29,22015,-0.019097054563012916
20240213,399.02,403.2,397.4,399.62,25063,-0.016416845110635347
20240214,401.49,402.48,394.88,398.42,18056,-0.0030028527100744995
20240215,400.58,403.58,399.25,401.53,19158,0.0078058330405099685
20240216,399.17,404.38,399.03,400.65,22351,-0.002191617064727369
20240220,400.27,403.15,397.92,402.96,19664,0.00576563084986903
20240221,402.49,406.25,398.58,401.37,11523,-0.003945801072066657
20240222,405.9,413.94,405.3,411.67,15521,0.025662107282557356
20240223,412.87,416.5,412.56,414.56,9361,0.007020186071367895
20240226,413.06,415.53,409.94,409.96,12532,-0.011096101891161725
