datetime,open,high,low,close,volume,return
20230829,359.7928,363.145,359.054,362.4616,699100,0.005301788826834297
20230830,362.1107,365.1674,361.5197,362.3508,793279,-0.00030554491186052246
20230831,363.3112,365.583,360.8363,360.9471,1270303,-0.0038738327800570405
20230901,363.5236,366.2663,362.7572,364.0685,813256,0.008647631506057518
20230905,364.2624,372.1026,363.265,363.4312,1410355,-0.0017503233081269665
20230906,363.0988,365.5552,361.9537,363.9854,1162172,0.0015246561084700794
20230907,359.7189,364.9181,359.7189,363.459,1227071,-0.0014462057410234985
20230908,364.3086,365.2228,359.7005,360.8087,913882,-0.0072918799884766905
20230911,360.8087,362.7664,357.9828,359.562,1028778,-0.003455305423049948
20230912,357.5026,360.0975,355.7942,357.6503,1023916,-0.00531652776417435
20230913,357.0685,360.984,356.2097,360.0144,719606,0.006610016855687961
20230914,364.1423,366.0539,360.0791,365.8692,872554,0.016262760075653526
20230915,363.3667,364.4933,358.1214,358.5461,2613221,-0.02001559288279242
20230918,357.3548,361.2796,356.7638,359.7097,674683,0.0032451714382015773
20230919,358.2783,360.0329,357.0501,359.5157,897393,-0.0005391548139568325
20230920,360.1713,362.1106,356.2928,356.6806,817590,-0.007886007959518548
20230921,354.2797,355.5356,343.6783,343.8168,1140397,-0.03606540545581638
20230922,344.0568,347.132,342.6716,343.2442,1225380,-0.0016653370243777665
20230925,342.0898,344.0846,341.231,343.0318,1000239,-0.0006188971592255843
20230926,338.1559,340.4092,335.4409,336.2074,1958515,-0.0198942837329239
20230927,337.1862,337.6111,333.2892,335.2747,1519543,-0.002774297248830937
20230928,335.2746,341.979,335.0623,340.326,2015910,0.015066428308763369
20230929,343.078,346.0147,336.6692,337.4449,1207200,-0.008465894845354205
20231002,339.1532,343.5397,336.6875,338.6545,1658010,0.003584660183041377
20231003,336.309,337.6942,327.8315,329.1428,1085539,-0.028086701749323706
20231004,330.5188,334.8314,329.5307,334.5544,1130567,0.016441373447987573
20231005,333.4924,334.6929,330.1033,333.631,754909,-0.0027601832326006326
20231006,332.1349,338.1466,330.1956,336.1981,930583,0.007694637389950021
20231009,334.2773,339.1717,334.2773,338.4237,675000,0.006619773540512686
20231010,337.9896,343.9276,337.3063,341.2957,940624,0.008486431313605936
20231011,343.4658,345.4236,340.9632,343.4381,646250,0.006277419111970994
20231012,344.3063,344.8141,336.032,337.8235,910288,-0.016348372160432167
20231013,338.4607,340.2799,332.9475,335.8749,699628,-0.005767945220329196
20231016,338.3406,343.1888,337.0477,339.4118,873822,0.01053030406280242
20231017,336.8076,343.2073,335.0807,339.1994,769602,-0.0006257953940379535
20231018,336.3644,337.7588,332.1718,332.3565,1031526,-0.02017366619864569
20231019,333.1691,334.6467,328.8011,330.1956,951089,-0.006501902823502492
20231020,330.0664,330.0664,323.1126,323.2419,2180168,-0.021059168298852238
20231023,321.2749,327.5175,319.6218,323.3988,1192825,0.00048546113757086395
20231024,323.445,326.8249,318.6892,321.3118,1636765,-0.006453349221907434
20231025,320.0928,326.5109,319.4371,322.4107,1176758,0.003419970431426389
20231026,321.1271,325.8553,320.8501,321.6073,1000028,-0.002491870610522473
20231027,321.829,323.2049,314.5428,316.2697,1227071,-0.01659668785515256
20231030,318.4122,320.2868,314.432,318.6615,1634651,0.007562581264579427
20231031,319.0493,322.6693,316.6945,322.577,1847742,0.012287227420296976
20231101,323.7037,326.2432,320.4438,324.507,1492167,0.005983329363052903
20231102,337.0662,350.752,337.0662,347.1505,3220151,0.0697779374834897
20231103,352.2203,356.025,350.9644,353.5963,1996039,0.01856774255594984
20231106,352.9591,355.8219,352.1465,355.2124,1278230,0.004570435112223548
20231107,356.2282,358.306,354.3074,355.1385,960602,-0.00020799685624905973
20231108,354.1319,357.1424,352.876,356.81,826257,0.004706639358786235
20231109,359.8113,360.6055,355.8866,358.0105,1268611,0.003364622667732853
20231110,359.9221,363.9391,357.4379,363.8191,1269668,0.01622455980753701
20231113,364.2346,365.7122,362.6371,364.5948,1231299,0.002132175951866877
20231114,369.0552,375.3255,368.2148,372.9984,1769418,0.023049050714892383
20231115,372.9984,376.1659,370.8467,371.2899,1314485,-0.004580274710120569
20231116,373.4786,374.5591,372.3519,373.063,1122851,0.0047754357502929334
20231117,372.6198,377.1632,371.0406,376.8862,1740985,0.010248083995710644
20231120,376.3875,381.5866,376.3413,380.0444,1596493,0.008379807069049727
20231121,379.5735,382.2054,379.4904,382.0946,1119786,0.005394475486650174
20231122,383.5075,385.8069,382.2054,383.332,1033323,0.0032386151483869696
20231124,384.1816,384.1816,381.1711,383.332,427239,0.0
20231127,381.6754,383.1562,379.806,381.5274,1402533,-0.004707816814934818
20231128,380.3705,386.6082,379.4542,382.2029,1199061,0.0017706124250502775
20231129,383.6374,387.1635,382.9155,383.7392,1000768,0.004019634262946603
20231130,382.3417,385.1089,381.3978,384.8405,1760962,0.0028698860149380945
20231201,385.9233,393.3086,385.0071,390.5507,2086941,0.01483776872743836
20231204,388.2833,393.8825,386.8766,392.5775,1599664,0.005189737266425354
20231205,394.3451,394.3914,388.4314,391.615,1755888,-0.0024518848403149995
20231206,391.4762,393.3271,387.2005,387.4596,1559709,-0.010610842520985875
20231207,388.237,388.635,385.5531,386.275,1313851,-0.0030573529547284206
20231208,384.6647,387.6355,382.3788,384.4241,1745636,-0.004791798670507386
20231211,385.109,392.522,384.9794,392.1703,1458871,0.020150342848759717
20231212,391.9297,395.3169,390.8561,395.0023,1158366,0.007221120072015141
20231213,396.9365,403.4981,395.5206,402.8226,1273579,0.019798146303368958
20231214,407.2093,408.7549,403.3223,405.1548,1396191,0.005789605664981545
20231215,400.3515,404.7568,400.3237,403.3037,2526019,-0.004568657191853842
20231218,403.4796,406.5893,402.7208,403.8869,951089,0.0014458826508989553
20231219,402.7301,407.0428,402.1192,404.1183,1249268,0.0005728937823041846
20231220,404.1552,404.8586,395.7056,395.9462,1641944,-0.020221871876214603
20231221,397.0753,400.805,397.0753,400.4441,864098,0.011359707287431187
20231222,402.7022,404.3032,400.3792,402.4338,738315,0.004968772841368541
20231226,402.1284,405.9414,402.1284,403.7202,565601,0.0031967210006862423
20231227,402.8503,407.4777,401.6565,407.2093,867903,0.00864223241103601
20231228,406.8947,410.4207,406.3023,408.9122,717703,0.0041819069963549005
20231229,408.9122,410.6521,406.4134,407.6906,934705,-0.0029875586180853064
20240102,406.5337,407.6721,401.4343,403.8683,1142194,-0.009375259184604134
20240103,401.1104,402.2118,397.1031,397.825,989881,-0.014963626150241716
20240104,398.5561,401.3325,397.0476,397.6491,1112070,-0.00044208583507276966
20240105,396.8995,399.2317,394.0398,396.0388,973708,-0.004049602741085345
20240108,398.556,400.1664,395.7148,399.9628,1261107,0.009907993897082523
20240109,396.3719,400.6199,396.3719,398.1118,746453,-0.00462773482028811
20240110,399.5741,402.5357,397.6306,400.8513,1059643,0.006881083643041963
20240111,401.8138,403.1557,398.1581,401.8323,1404542,0.002447260564160336
20240112,404.8678,406.5614,401.786,404.4328,890840,0.0064717435088903486
20240116,401.1382,405.5619,400.6107,404.0164,1192085,-0.0010296960072680994
20240117,401.5084,406.7373,401.1567,405.1085,1100337,0.002703113248329281
20240118,406.7281,408.2828,403.165,406.8391,1272734,0.00427199473882256
20240119,408.3476,410.4115,406.3116,409.014,1239333,0.005345763625223654
20240122,411.5776,412.9565,409.8377,411.3369,1083425,0.00567935851109147
20240123,413.2896,413.6876,410.0042,413.2156,863146,0.004567210102348174
