datetime,open,high,low,close,volume,return
20230718,221.273,222.5767,219.1617,220.806,353200,-0.0061309723271424366
20230719,219.7942,222.7713,219.6385,221.2827,371300,0.0021591846719657415
20230720,222.7616,224.7074,220.2806,223.9193,434200,0.011915127480824239
20230721,224.3377,227.0911,223.3161,225.8068,364300,0.008429360907538097
20230724,226.41,227.7721,225.262,225.8847,466700,0.000344630058890516
20230725,225.0577,226.8284,222.5086,226.7117,596100,0.003661209719785896
20230726,226.2447,226.9841,223.4232,225.5831,418800,-0.004978066703926642
20230727,226.9354,227.8208,223.3648,223.5594,517800,-0.00897102797498861
20230728,224.9701,226.0112,222.4989,223.8123,364600,0.0011315124160247159
20230731,223.8415,223.8415,218.6753,219.4439,584600,-0.019518379248644857
20230801,217.7899,219.4244,216.1749,217.9456,761700,-0.006827742413607951
20230802,244.847,247.1237,220.2319,221.633,873200,0.016918871791432144
20230803,220.9228,222.1973,216.4959,219.3952,531700,-0.010096497485910128
20230804,218.1207,221.8373,216.2916,219.8914,477400,0.002261465500027926
20230807,219.979,221.5162,219.3855,220.0666,247000,0.0007966939802035444
20230808,219.0158,220.0471,216.2235,219.1423,354200,-0.0042000282340854955
20230809,218.8504,221.8276,218.4807,220.8255,281100,0.007680631345431621
20230810,221.1952,223.7734,219.8817,221.0784,382600,0.0011454519435680766
20230811,220.7573,221.9735,219.9693,221.8276,220500,0.003388665594466822
20230814,221.6524,223.5496,220.8741,222.9367,233700,0.004999968702044999
20230815,222.674,224.2112,222.1778,223.2869,226800,0.001571074918727211
20230816,222.781,223.6956,221.0687,221.1173,272700,-0.009716720039105287
20230817,221.7887,221.8762,217.8483,217.9845,234600,-0.014168031580665263
20230818,217.2159,219.7066,217.1867,217.8094,400900,-0.0008035232664750369
20230821,217.9553,218.5293,214.6376,216.7294,340700,-0.004958262562476556
20230822,216.457,218.578,215.4743,217.284,318500,0.0025587916960929658
20230823,218.4807,219.4536,216.8462,219.4147,220500,0.009806092350358897
20230824,219.6385,222.0221,217.7996,218.4904,180600,-0.004212437361613475
20230825,219.3271,220.8157,217.9067,220.2709,161900,0.008148899908289708
20230828,221.5843,223.7637,220.7768,221.6621,135900,0.006316089753216847
20230829,221.8178,225.2328,220.8449,225.1161,177500,0.015582043979393001
20230830,225.1939,226.5657,224.7755,225.7193,213100,0.0026794174310711405
20230831,225.6317,225.9333,223.1507,223.3745,290700,-0.010387868046325743
20230901,226.2057,227.276,224.221,224.6199,510100,0.005575148479357139
20230905,224.2591,224.2591,218.0085,218.0768,298300,-0.029129550815121585
20230906,218.3986,219.3347,214.03,218.2231,445200,0.0006707305127107155
20230907,218.9251,219.949,217.6477,218.8764,356000,0.0029938888782450324
20230908,218.2425,218.7399,216.38,217.2089,251200,-0.007618366146289746
20230911,218.5351,225.8973,218.1255,223.0889,345100,0.027070735425907433
20230912,222.5038,222.9524,220.3781,221.2167,183000,-0.008392340678458177
20230913,220.8851,225.673,220.8851,224.6979,338300,0.01573654389371626
20230914,225.9948,226.3946,223.0987,224.181,274800,-0.0023000449754883023
20230915,224.4346,226.0435,222.8354,223.791,653200,-0.0017399348989503016
20230918,223.5375,224.5711,221.948,222.4063,210100,-0.006187217747054774
20230919,222.4063,223.2547,220.1635,221.2069,300700,-0.0053929087897587324
20230920,223.0012,223.1084,219.2469,219.6662,290400,-0.006964950099734302
20230921,218.184,218.262,214.5468,215.1806,358900,-0.02041998198672057
20230922,215.1806,220.6023,213.9032,218.3693,462100,0.014818453364216833
20230925,218.2913,220.2123,216.8579,220.1148,327200,0.007993263946391105
20230926,219.3054,220.7291,217.4235,217.677,360800,-0.011075085255619843
20230927,218.2425,218.4278,210.8804,212.4796,525800,-0.023876816518863198
20230928,213.1719,217.3942,213.1719,216.6628,322900,0.01968795825655323
20230929,217.833,217.833,213.4645,213.9618,326800,-0.012466674216379259
20231002,212.382,212.7331,208.7253,210.1393,445200,-0.017865457479244173
20231003,209.4762,213.6107,208.3743,212.8501,540400,0.012900308647757486
20231004,214.1665,217.7842,211.1241,217.0237,557100,0.019607874061470243
20231005,216.8774,217.9013,213.0354,216.9261,447900,-0.00044934697390719425
20231006,216.2728,219.9978,214.264,218.6521,289500,0.007956404933404437
20231009,217.3454,220.4756,216.8579,220.1928,273900,0.007046471624470918
20231010,219.8515,223.479,219.4712,221.8603,316500,0.0075727504886160535
20231011,221.1094,221.1094,214.8979,219.403,358700,-0.011075985387729692
20231012,220.1148,221.0802,214.0983,214.225,418200,-0.023600035385448193
20231013,213.913,216.9456,212.8891,216.7896,342400,0.011971407431002223
20231016,218.3011,221.207,216.3021,218.4668,282500,0.007736675299651052
20231017,216.8091,220.5243,216.263,217.4917,311100,-0.004463576352285781
20231018,217.6965,218.3401,215.834,216.4191,211900,-0.004931828845838648
20231019,216.4386,216.5946,211.1827,211.5045,282800,-0.022708774581830404
20231020,211.8847,213.5717,210.4708,211.6507,273100,0.0006915729106575785
20231023,211.5922,211.953,208.4035,209.4274,266900,-0.010504557002069537
20231024,209.7687,212.1675,209.5444,211.8067,215700,0.011360990237111235
20231025,210.9194,211.4654,207.2724,207.7014,247600,-0.019382224551230842
20231026,205.917,207.76,204.0252,204.191,355100,-0.01690136043976742
20231027,204.8151,206.8628,202.3968,204.1812,251900,-4.78259303525741e-05
20231030,206.2778,206.5898,201.4314,203.8985,279600,-0.0013847763679579739
20231031,204.8444,206.1023,203.3232,204.7566,589400,0.004208433450385574
20231101,205.0199,207.8185,203.879,207.6527,453100,0.014144125372757
20231102,209.3689,210.7244,206.9701,207.5552,406400,-0.00046947815177711405
20231103,208.8424,212.4991,208.8424,211.8262,297900,0.020577785965912643
20231106,212.2065,212.2065,210.0808,212.0895,373400,0.001242882634824749
20231107,211.8945,213.4547,211.1631,212.8013,497500,0.003356236318750483
20231108,209.6517,209.6517,193.8644,201.1876,1030800,-0.05457535657874846
20231109,200.9828,201.0121,194.9468,195.7367,604000,-0.027093904664015955
20231110,197.3359,198.428,194.0497,194.3618,588500,-0.007024276497026194
20231113,195.9317,198.623,194.0497,197.1994,422900,0.014599583660839022
20231114,199.9492,203.723,199.0229,200.5441,409800,0.01696106605119585
20231115,199.8517,201.4997,197.999,198.467,742800,-0.010357033509307279
20231116,199.4422,200.5831,197.9015,198.3598,503800,-0.0005403354492884427
20231117,199.1789,199.2471,193.1136,195.2491,656500,-0.01568196883206674
20231120,195.386,196.0215,193.4698,195.3371,485100,0.0004506931390078073
20231121,196.7938,199.1402,195.8455,196.6961,489300,0.006957092047697344
20231122,197.9963,199.062,196.1974,198.0354,282400,0.0068092632852818635
20231124,197.9572,199.2771,196.3539,198.6514,136000,0.003110232492305798
20231127,197.6248,198.1234,196.1583,196.9014,415600,-0.00880947938664478
20231128,196.1388,197.6151,193.3818,193.4111,432400,-0.017725878106602755
20231129,193.7142,195.0536,192.365,193.0298,444500,-0.00197137902885991
20231130,192.8832,196.6374,191.1039,196.4517,1339200,0.017727024190454577
20231201,195.3078,199.9126,194.6821,198.9642,363200,0.012789777622813636
20231204,197.3902,198.6905,193.4111,194.819,493400,-0.020834367065585724
20231205,193.9684,194.9363,191.1332,194.115,524000,-0.0036131928690116277
20231206,194.4474,196.217,193.5773,194.8385,471100,0.00372699086422279
20231207,195.6109,197.5173,194.5159,197.4782,390500,0.01354811395405231
20231208,198.1137,198.1137,193.5578,196.0215,597400,-0.007376642635476882
20231211,196.129,197.3609,195.4349,197.1849,402600,0.00593517453014103
20231212,197.8399,198.2897,195.6695,197.0773,634000,-0.0005453964799485567
20231213,196.9698,202.4447,195.9335,202.2492,437100,0.026242714174675275
20231214,203.53,206.6683,201.7702,205.7493,581800,0.017305686183131996
20231215,204.9475,208.0858,203.6277,207.8903,1211400,0.010406124065863942
20231218,208.4769,210.7939,207.7436,210.7255,794900,0.013637912673525543
20231219,211.185,214.2549,211.1459,214.1572,560600,0.01628495827620724
20231220,214.1082,214.3917,210.1291,210.1487,409400,-0.018717416733006753
20231221,211.1948,214.7144,211.1948,213.551,415800,0.016190028916004184
20231222,214.5482,216.0636,214.0007,214.8806,212500,0.006226099974577126
20231226,214.5873,217.315,213.5021,216.4742,251000,0.007416200091830749
20231227,216.1027,218.3611,216.1027,218.3513,245400,0.008671268298280799
20231228,217.7647,219.9742,216.2298,216.787,302300,-0.007163866617935777
20231229,216.8555,216.9141,214.4211,214.9393,399900,-0.008523542311461796
20240102,213.7074,215.6823,211.4979,212.2311,569700,-0.012599441768037956
20240103,212.6222,212.6222,208.4965,208.7604,368800,-0.016353411298474785
20240104,207.9881,212.368,207.9881,211.1753,505800,0.011567520804273146
20240105,211.2339,212.632,209.7185,211.1068,339300,-0.0003242149709279385
20240108,212.1334,216.0147,210.5007,215.8681,387500,0.022553728575501086
20240109,215.2815,219.6125,214.7535,217.0217,434500,0.0053441938643523645
20240110,218.2535,219.7885,216.787,218.9868,328500,0.009054799168711103
20240111,219.0357,219.2019,216.1418,217.6474,267900,-0.006116356471838058
20240112,219.6027,220.8443,217.1977,218.41,390400,0.003503709651445419
20240116,216.875,217.4421,215.0859,216.3275,284200,-0.009534422056049041
20240117,215.0859,216.9044,213.815,213.991,257800,-0.010801184038475187
20240118,214.3429,215.7801,212.4658,215.5454,313800,0.0072641324644393546
20240119,216.1614,216.6697,212.2312,216.484,452200,0.004354386922709175
20240122,217.3443,218.234,214.8122,215.1446,428500,-0.006187068695852838
20240123,215.9756,215.9756,210.4616,211.9378,426300,-0.014905053045398464
20240124,212.2409,212.4951,209.9336,210.0509,289200,-0.008903019088152386
20240125,211.8987,212.7982,209.1319,211.8401,300200,0.008517496750484632
20240126,213.0524,213.1306,210.3638,211.2632,251600,-0.0027228690895078067
20240129,210.2465,212.2214,209.4448,211.8498,357600,0.0027766004870373173
20240130,211.4686,213.5803,210.7158,213.2968,328500,0.006830050956543543
20240131,216.22,219.2996,213.5999,214.0594,890600,0.0035751745988050754
20240201,213.7172,218.6935,211.6641,218.6153,570400,0.021283458627429086
20240202,216.7675,219.3485,215.0468,217.227,441900,-0.006350451181185712
20240205,216.1125,216.7382,213.7759,214.9882,362600,-0.0103063411572214
20240206,215.7605,221.2354,214.4113,220.8737,621900,0.02737591721019328
20240207,221.5678,224.276,220.2871,220.8248,976100,-0.00022113720758909494
20240208,213.1306,216.0636,205.3093,215.3401,734300,-0.024837453077413363
20240209,215.8387,219.5636,214.0789,219.2605,607900,0.018205880618979098
20240212,219.5734,221.2452,218.7913,219.9156,416900,0.002987447196167947
20240213,218.5077,220.6879,217.2661,219.505,488400,-0.0018671438672858143
20240214,219.7983,222.5455,218.7228,222.5259,346200,0.013762630185985447
20240215,223.2983,228.2648,223.1125,227.8444,453000,0.023900571188220754
20240216,227.5511,229.9659,225.8011,226.0651,442800,-0.007809530289689004
20240220,226.3388,226.8081,222.7117,224.1293,396200,-0.008562846767552701
20240221,224.0804,228.2355,223.1516,227.6489,349100,0.015703332761912714
20240222,228.4524,231.6369,226.3947,231.2744,369600,0.015925723080136178
20240223,232.0778,233.7044,229.9907,231.098,279700,-0.0007626941736235127
20240226,230.4709,230.7158,228.0996,229.0011,210800,-0.009073546295349955
20240227,228.8737,229.1089,226.5318,227.8351,282200,-0.005091813831660352
20240228,227.8351,228.0604,225.5226,226.6788,284600,-0.005074876444924992
20240229,227.2079,228.7953,224.6505,228.2172,866500,0.006786588485720113
20240301,228.7365,230.1475,227.3353,228.08,358000,-0.0006010119251623758
20240304,227.5999,229.3734,226.4829,228.57,274600,0.00214805826785347
20240305,228.7757,229.6576,223.2395,223.7785,287600,-0.020962964134930262
20240306,223.8765,225.8656,223.171,224.4644,292600,0.0030651435047248654
20240307,226.2183,228.8835,225.3462,228.325,369100,0.017199282933812565
20240308,227.2472,230.3043,227.2472,228.9913,260600,0.0029181661758836963
20240311,228.7561,229.8242,226.4633,229.1285,322400,0.0005991135039224993
20240312,228.7757,230.1181,227.9134,229.099,363500,-0.0001284615698123881
20240313,229.7458,229.9515,228.2172,229.0795,412200,-8.55188426183151e-05
20240314,227.6489,228.2466,225.8656,226.8944,341600,-0.009538364576025082
20240315,222.3479,227.3059,222.3479,225.4148,603500,-0.006520956099335118
20240318,226.9924,227.8644,225.1992,225.3658,353800,-0.00021749450526842296
20240319,226.1007,226.8846,224.484,225.503,240900,0.0006088191846291835
20240320,225.1797,228.7561,225.1797,228.57,431800,0.013600439988561863
20240321,228.8933,230.2651,222.3577,222.5145,524300,-0.02649303273974446
20240322,222.3185,224.5819,220.9467,224.386,623900,0.008410715513930356
20240325,224.2586,224.3174,215.7731,216.2238,696600,-0.0363754490030096
20240326,216.9195,218.3795,215.0774,217.0567,509800,0.0038519611664955544
20240327,218.6342,221.4072,218.5656,220.9761,467400,0.018056976759553756
20240328,221.2994,222.0049,219.036,220.2902,497500,-0.003103945900980176
20240401,219.4867,219.9375,214.1955,216.5766,317000,-0.01685786833745495
20240402,215.6751,216.263,211.3833,211.9125,415900,-0.021535538436369905
20240403,212.128,214.0485,211.3539,212.2848,452500,0.0017569976042446367
20240404,213.7154,213.7154,208.7182,209.1003,455100,-0.015001045477968211
20240405,209.3648,210.8052,208.6692,209.1787,434700,0.00037471910661701635
20240408,208.9337,210.7856,208.3066,208.3654,616300,-0.0038879595948071444
20240409,209.0905,210.6191,207.7677,210.3937,598500,0.009734366553270979
20240410,207.2386,208.4634,203.9659,204.9947,579400,-0.02566128055393968
20240411,206.7977,206.7977,201.9964,202.1238,850500,-0.014005026151260647
20240412,200.2522,201.9278,199.243,199.8897,678600,-0.011052979519012851
20240415,201.967,203.6719,196.8815,197.1559,847900,-0.013676442489834573
20240416,196.9403,196.9403,194.4025,195.0002,784600,-0.010933912038022409
20240417,195.304,197.6066,193.8342,196.2054,1115600,0.006180584817835788
20240418,196.5974,197.6752,194.2262,196.764,658500,0.002846672867484079
20240419,197.6654,197.6654,193.8538,195.4901,535900,-0.0064739199095720235
20240422,196.6758,197.93,194.138,196.8521,369700,0.006967100704187601
20240423,197.783,203.8287,196.9501,201.8396,561600,0.025336057897346942
20240424,200.5658,200.9676,198.3612,198.7139,492100,-0.0154860686919025
20240425,198.0378,198.1357,196.372,197.4792,411700,-0.006213279147815887
20240426,197.2245,200.5168,196.4112,199.7917,318100,0.01170993754519678
20240429,200.1151,201.918,199.8897,201.2811,376500,0.00745481610829879
20240430,199.9485,201.0165,198.6159,200.4384,429000,-0.004186743560592343
20240501,200.4874,203.378,199.6251,200.9087,359000,0.0023465409494005662
20240502,202.5549,203.0252,199.8015,202.0846,384300,0.005852618963442469
20240503,203.5739,204.348,201.8004,203.6327,500600,0.0076609345569989
20240506,204.7302,205.3671,203.2114,205.2985,640600,0.008180123676732043
20240507,206.1999,209.2963,205.1417,208.581,805600,0.015988921427504854
20240508,209.0219,209.4334,204.8771,205.857,938200,-0.013059671329654021
20240509,218.4971,222.4165,210.8052,221.4366,926000,0.07568184313103155
20240510,220.9565,227.0708,219.1731,226.669,867800,0.02362936507334923
20240513,227.9526,228.374,225.699,227.8743,885100,0.0053171390794777285
20240514,229.0305,231.3625,227.3451,231.2449,514000,0.014791850015471342
20240515,232.8617,234.3706,227.0316,230.7158,690100,-0.00228817565418582
20240516,230.5982,230.5982,225.9048,226.0811,548200,-0.020088238303338946
20240517,226.6298,228.6385,223.3767,228.0016,559400,0.008494813164797277
20240520,227.8743,228.6875,225.3952,228.0604,619600,0.00025779136246351086
20240521,228.0213,229.0305,225.8362,225.9538,657300,-0.009237284098506104
20240522,225.1307,226.8846,224.3762,225.9538,484900,0.0
20240523,225.748,226.1105,221.4072,222.2401,635800,-0.016435525245429794
20240524,222.3577,224.8465,220.9271,224.5526,510500,0.010405207045762088
20240528,223.5923,224.6603,218.8008,218.889,457400,-0.025221394325575353
20240529,217.0273,219.9767,217.0077,218.9184,414200,0.00013433148059993627
20240530,218.4382,219.1829,216.8411,218.7224,404300,-0.0008953764533139452
20240531,218.4383,219.9864,216.8901,218.3893,934300,-0.0015230017848233413
20240603,217.9092,224.1019,217.2919,223.7687,530800,0.02463213441863288
20240604,223.4551,224.3174,222.3969,223.8961,377900,0.0005691820028836947
20240605,224.5722,225.601,222.681,225.2776,336800,0.006170683908379715
20240606,224.2782,226.1105,222.9554,225.8362,296500,0.0024792404338287444
20240607,224.8955,226.0223,221.564,222.2793,303000,-0.015749778097198575
20240610,220.8193,222.4459,219.5553,220.2608,445200,-0.009080889136872106
20240611,219.7807,222.7496,217.9385,220.8977,578300,0.002891580554280182
20240612,222.3414,223.8539,220.9763,221.8012,367700,0.004090282129582734
20240613,220.5932,220.5932,215.9675,217.0969,386200,-0.021209667111219188
20240614,215.7711,217.0184,212.9426,214.3863,694300,-0.01248581724208675
20240617,213.1881,214.3961,209.8096,212.2551,817600,-0.00994098299795898
20240618,212.7658,214.2881,211.5283,212.6283,468800,0.00175833127970626
20240620,211.5578,216.5469,210.173,215.388,576300,0.012979225331215538
20240621,215.3684,216.8219,212.9327,214.2193,832100,-0.005426168222974925
20240624,214.5729,215.5845,212.5988,212.6872,650800,-0.00715196641146465
20240625,212.7952,213.2274,211.0863,211.5774,282700,-0.0052180018049069465
20240626,210.9882,213.4533,210.4283,212.2256,378800,0.0030636948660591745
20240627,212.8247,212.8247,210.8605,212.5694,329100,0.0016196665932819432
20240628,212.9819,215.8104,212.589,215.6139,833600,0.014322790018911125
20240701,218.0299,218.0299,213.7577,214.6318,852700,-0.0045551901121512195
20240702,214.1014,215.4273,213.4336,214.4354,372700,-0.0009151074341245957
20240703,214.5532,214.5532,213.3354,213.4926,196800,-0.004396709768483165
20240705,212.9917,216.8415,211.3515,216.1148,277400,0.012282574326831552
20240708,215.8496,217.1166,215.28,215.8987,284900,-0.0009996964690217602
20240709,216.1442,216.1442,208.9748,209.6917,728600,-0.028749662523658737
20240710,210.2712,211.8229,207.5802,211.5479,493400,0.008852120491412041
20240711,212.5792,216.3603,211.8622,213.9443,487300,0.011327822564416001
20240712,214.5237,219.0218,212.8541,217.7549,372000,0.0178111418862561
20240715,217.5192,220.0629,215.9576,216.5567,280300,-0.005502429929227448
20240716,217.0969,223.6771,215.2702,223.5691,417500,0.032381025660321194
20240717,223.7557,228.8332,222.9994,224.6199,327100,0.004700371052828833
20240718,223.1173,225.7101,219.6995,221.4182,370700,-0.014253814579763935
20240719,223.4512,223.4512,219.3656,220.279,386900,-0.0051453169745566685
20240722,221.2905,224.7672,219.6897,224.6788,330800,0.01997415940840952
20240723,225.3074,227.6841,224.9833,227.5565,422100,0.012807655349537539
20240724,227.9984,230.051,225.9458,227.5761,334600,8.636678794671226e-05
20240725,226.9868,232.2313,223.0977,223.4905,345300,-0.017952750182574917
20240726,224.2271,230.4635,222.9602,228.627,329400,0.0229829668485122
20240729,228.3814,232.9581,225.6119,232.0938,298100,0.015163818750973057
20240730,231.9269,235.6786,231.9269,232.9974,572100,0.0038931656491787425
20240731,232.5652,237.4365,229.1769,234.4902,523000,0.00640679808232214
20240801,235.9437,237.7705,233.184,236.7,477100,0.009423819596984462
20240802,237.6428,238.566,231.3671,238.2615,647500,0.0065971870576311265
20240805,234.5786,236.258,229.2162,233.6456,756100,-0.0193734663096784
20240806,233.6456,238.841,231.5733,234.9027,844900,0.005380482329249148
20240807,233.7831,239.0177,223.1467,229.3537,804500,-0.02362246512295918
20240808,230.218,236.7785,228.8725,235.3938,396800,0.026335039260724225
20240809,236.258,236.258,230.0609,231.7599,427000,-0.01543726114969668
20240812,231.534,232.4081,228.843,229.7564,352600,-0.008644828647346281
20240813,229.7564,230.9153,227.9788,229.6091,295100,-0.0006412165781216617
20240814,229.5207,230.2867,227.5859,228.627,382400,-0.004277276333994773
20240815,228.9903,230.2966,225.8869,226.2011,442700,-0.010610415050839594
20240816,226.0538,228.352,225.1208,228.185,558700,0.008770319147228145
20240819,226.9279,229.4126,226.9279,229.393,446700,0.005293984378573313
20240820,229.1769,230.4635,228.7448,229.0984,346400,-0.0012844646955133543
20240821,228.9805,231.593,228.4011,230.1885,260800,0.004758565064115983
