datetime,open,high,low,close,volume,return
20230718,56.3866,57.45,56.3866,57.2635,1414800,0.007219021931561764
20230719,57.3288,57.6086,55.771,55.8363,2138500,-0.024922539870208205
20230720,55.3792,55.9203,55.1274,55.3139,1691100,-0.009355235226087721
20230721,55.4352,55.8456,54.4838,55.6031,2163300,0.005227645542984272
20230724,55.3419,55.8923,54.5211,55.2953,2393600,-0.005535941910068676
20230725,55.0061,55.3979,54.3065,54.3252,2299300,-0.017543928636868378
20230726,54.2133,54.8009,53.467,54.0733,3603400,-0.004635973131986382
20230727,54.5957,59.5394,53.9054,57.9724,9241400,0.0721062332125244
20230728,58.5414,59.7726,57.7858,59.185,3232700,0.020917137655401374
20230731,59.8193,60.6774,59.1943,59.2316,2815500,0.0007882055725727533
20230801,58.8678,61.0319,58.8399,60.9293,2991800,0.028661156728858828
20230802,60.5282,61.1905,59.9219,60.6401,3010600,-0.004745669754001369
20230803,60.3416,64.1101,60.1084,63.6903,4846300,0.05029979657088135
20230804,63.625,63.6343,61.8341,62.3005,2958000,-0.021821948853242623
20230807,63.1213,64.763,62.7295,63.9049,2696500,0.025752380616487214
20230808,63.4291,63.737,61.7315,62.5523,1601500,-0.02116470874342191
20230809,62.5243,63.1586,62.2818,62.3658,1620500,-0.0029823054026362206
20230810,62.7109,63.2706,62.2538,62.6363,1677900,0.004337134179886126
20230811,62.487,63.6903,62.2725,62.3564,1922700,-0.004467432790118631
20230814,62.4497,63.3172,62.2632,63.2519,1703800,0.014360560973579073
20230815,62.7762,62.9441,61.0879,61.0972,1958400,-0.03406587375634085
20230816,60.6215,61.0972,59.81,59.8752,2097700,-0.019999862639592525
20230817,60.3137,61.405,60.2763,60.5655,1995300,0.01152814260148971
20230818,59.642,60.4442,59.3529,60.0245,1629400,-0.008932799273812075
20230821,59.9032,61.1438,59.8193,61.0972,1113100,0.01787111416247167
20230822,61.89,62.03,61.2558,61.461,1840000,0.005954199045220321
20230823,61.2837,62.002,61.2464,61.7128,1283900,0.004097848857446129
20230824,61.9554,62.0486,60.5189,60.5375,2127900,-0.019044673183930882
20230825,60.8826,61.0132,59.2409,60.0898,1507300,-0.007396240435062151
20230828,60.3137,61.6848,60.2297,61.6289,878900,0.025613416916293597
20230829,61.5636,62.3751,61.3117,61.9367,1899700,0.004994602194985598
20230830,61.4703,63.9981,61.3584,63.5877,1627400,0.02665669807688098
20230831,64.2313,66.1902,63.9235,66.0316,3442000,0.038433358795556316
20230901,66.6939,69.5016,66.0036,68.746,4548800,0.04110748888345839
20230905,68.1397,69.0631,64.8283,66.1249,5134200,-0.03812766101011733
20230906,65.6772,66.9364,65.2947,66.442,2786500,0.00479628757880346
20230907,62.5617,62.9441,58.8585,59.1757,11692900,-0.10936403753032886
20230908,59.3436,60.9946,59.1477,60.9759,10087300,0.03042253866145117
20230911,61.3677,61.3677,59.1477,59.9872,4318700,-0.01621554563315053
20230912,59.7726,60.0991,58.4201,58.5041,2841000,-0.02472401284581338
20230913,58.3455,59.3156,58.2336,59.129,2706200,0.010682498540897978
20230914,59.2596,60.0338,58.9705,59.9312,2481200,0.013566817560335398
20230915,59.7726,60.3976,59.3529,59.4648,3973800,-0.007782257199577702
20230918,59.4555,60.5095,59.3156,59.9126,1699300,0.007529407387378173
20230919,59.8006,61.0692,59.7167,60.5095,2535500,0.009964142990997571
20230920,60.9106,61.974,60.892,61.2184,2270900,0.011715769744569116
20230921,60.3883,62.3005,59.9685,61.0505,2506500,-0.0027425765426424276
20230922,61.6755,62.5057,61.1998,61.4703,2115600,0.006875516080788291
20230925,61.2817,61.4609,60.2447,60.7632,1827600,-0.011503176323351183
20230926,60.5275,61.5929,59.6978,59.7921,2065600,-0.015981271048474244
20230927,60.3295,61.376,60.2258,60.6124,1557000,0.013718067082055585
20230928,60.4332,62.1585,60.2258,61.9323,2210100,0.02177641041700995
20230929,62.4225,62.5262,61.6871,62.1774,2034700,0.003957764545192699
20231002,62.3,63.0731,61.9417,62.4037,2096800,0.003639329718891915
20231003,61.9794,62.7714,61.508,61.6777,2138200,-0.011633285650388014
20231004,61.6211,62.4037,61.2063,62.1963,1835600,0.008407179343119076
20231005,62.5074,63.535,62.1585,62.8091,1728500,0.009853061515885164
20231006,61.9983,63.0259,61.7531,62.2717,1863700,-0.008555895036156058
20231009,62.0643,62.7714,61.6494,62.4414,1622600,0.0027252262889783108
20231010,62.4131,63.6199,62.4037,62.7714,2068500,0.005284557613719265
20231011,62.9411,65.6563,62.9411,65.5809,3240600,0.044757998672390276
20231012,65.8732,66.1089,64.6475,65.3829,2374100,-0.003019026228801014
20231013,65.7883,66.222,64.3081,64.5155,3446200,-0.013265900159244004
20231016,64.6758,65.5055,64.4495,65.0058,2496800,0.007598821217145391
20231017,64.4024,65.4489,64.4024,64.9964,5386900,-0.00014494561722599997
20231018,64.5344,64.8078,63.7707,64.5627,3180200,-0.006672455941295952
20231019,64.4401,65.1001,62.6111,63.0448,2892900,-0.023510468358819092
20231020,63.2616,63.733,62.3565,62.8751,2198000,-0.0026916268404643118
20231023,62.4885,62.7619,61.3572,61.5174,2148500,-0.021592525422992503
20231024,62.7996,65.0152,62.7336,64.2044,4260300,0.04367792770488732
20231025,63.5916,64.6475,63.2522,63.2616,3147600,-0.014684271060706688
20231026,65.5243,66.2974,60.4521,62.0737,5171000,-0.018777711782388073
20231027,63.0354,65.0529,62.9694,64.2987,4000800,0.035844527187916864
20231030,64.9775,65.5243,63.5822,64.5061,2985900,0.0032254125918882437
20231031,63.8084,64.6475,63.1013,64.3458,3707600,-0.002484345841757385
20231101,64.5061,67.3156,64.4118,67.1648,4662800,0.0438094332457073
20231102,67.8813,68.2679,66.7028,67.7022,2608100,0.008001205894570873
20231103,68.3527,69.5972,67.8907,68.1453,2313400,0.0065448399518541756
20231106,67.787,68.3433,66.5331,67.0611,2219600,-0.015910095221205567
20231107,66.7594,67.1742,66.288,66.7877,1868300,-0.004077211495875144
20231108,66.9479,67.8153,66.3823,67.7493,1777800,0.014398686405163952
20231109,67.7587,68.8807,67.5136,67.8813,2333600,0.0019481896419599742
20231110,68.4093,68.4093,67.0045,68.2773,1964800,0.005833317129986915
20231113,68.2207,68.6733,67.5702,68.3244,2538600,0.0006905614331496057
20231114,69.2955,70.5306,69.0127,70.342,2673200,0.02952937997324523
20231115,70.474,70.7757,69.8235,70.2854,1891900,-0.0008042414490099237
20231116,70.078,71.3131,70.078,71.2659,1738800,0.013950356110364881
20231117,71.6525,71.8693,71.0963,71.5394,1478600,0.0038365394600345937
20231120,71.5394,72.831,71.3602,72.6519,1512500,0.015550815965392095
20231121,72.4067,72.4633,71.2,71.7091,1725300,-0.012976780349617911
20231122,71.7562,72.9064,71.7562,72.171,936800,0.006442033349962628
20231124,71.3131,72.0673,71.3131,71.7279,647500,-0.006139688781766628
