datetime,open,high,low,close,volume,return
20230829,36.5383,36.5383,36.5383,36.5383,300,0.06285875090325765
20230830,36.5383,36.5383,36.5383,36.5383,0,0.0
20230831,36.5383,36.5383,36.5383,36.5383,0,0.0
20230901,38.3226,38.3226,38.3226,38.3226,200,0.04883415588743545
20230905,38.3226,38.3226,38.3226,38.3226,0,0.0
20230906,38.3226,38.3226,38.3226,38.3226,0,0.0
20230907,38.3226,38.3226,38.3226,38.3226,0,0.0
20230908,33.4449,34.3863,33.4449,34.3863,300,-0.10271416290830504
20230911,33.7766,33.7766,33.7766,33.7766,200,-0.01773152123883137
20230912,30.9612,30.9612,30.9612,30.9612,5400,-0.08335546937557614
20230913,30.9612,30.9612,30.9612,30.9612,0,0.0
20230914,32.8172,32.8172,32.8172,32.8172,500,0.05994771866250792
20230915,32.8172,32.8172,32.8172,32.8172,0,0.0
20230918,32.3779,32.3779,32.3779,32.3779,100,-0.013387682871444762
20230919,32.3779,32.3779,32.3779,32.3779,300,0.0
20230920,31.6964,31.6964,31.5619,31.5619,1700,-0.025200817987429014
20230921,30.7101,30.7101,30.7101,30.7101,14800,-0.02698862005386904
20230922,30.7101,30.7101,30.7101,30.7101,1700,0.0
20230925,29.9031,29.9031,28.7195,28.7195,24900,-0.06481754009937934
20230926,29.5355,29.5355,29.5355,29.5355,500,0.028410980658433616
20230927,29.5355,29.5355,29.5355,29.5355,6300,0.0
20230928,29.8545,29.8545,29.8545,29.8545,0,0.010801541223001143
20230929,29.8545,29.8545,29.8545,29.8545,0,0.0
20231002,29.8545,29.8545,29.8545,29.8545,0,0.0
20231003,28.3591,29.0298,28.3591,28.5132,4400,-0.04493026230919184
20231004,29.3289,29.3289,29.3289,29.3289,100,0.028607870318372974
20231005,29.3289,29.3289,29.3289,29.3289,100,0.0
20231006,29.3289,29.3289,29.3289,29.3289,0,0.0
20231009,29.5192,29.5192,29.202,29.202,2300,-0.004326397652562153
20231010,29.202,29.202,29.202,29.202,0,0.0
20231011,29.202,29.202,29.202,29.202,0,0.0
20231012,29.202,29.202,29.202,29.202,0,0.0
20231013,29.5826,29.5826,29.5826,29.5826,300,0.013035328841045635
20231016,29.8998,29.8998,29.8998,29.8998,600,0.010723082218979663
20231017,29.9452,29.9452,29.9452,29.9452,400,0.0015156805960860886
20231018,30.5433,30.5433,30.3621,30.3621,1100,0.013922394086173684
20231019,28.64,28.64,28.64,28.64,300,-0.056716331837502465
20231020,28.64,28.64,28.64,28.64,0,0.0
20231023,28.64,28.64,28.64,28.64,0,0.0
20231024,28.64,28.64,28.64,28.64,0,0.0
20231025,27.779,27.779,27.7518,27.7518,1400,-0.031012686847816995
20231026,29.1838,29.1838,28.1687,28.1687,1700,0.015022727906906175
20231027,28.1687,28.1687,28.1687,28.1687,0,0.0
20231030,28.1687,28.1687,28.1687,28.1687,0,0.0
20231031,28.8666,28.8666,28.8666,28.8666,200,0.02477490318267206
20231101,29.3289,29.3289,29.3289,29.3289,300,0.016012635565954447
20231102,29.8092,29.8092,29.8092,29.8092,1000,0.016377957262141862
20231103,29.8092,29.8092,29.8092,29.8092,4100,0.0
20231106,31.7125,31.7125,29.8183,29.8183,900,0.00030444175919730476
20231107,29.8183,29.8183,29.8183,29.8183,0,0.0
20231108,29.8183,29.8183,29.8183,29.8183,0,0.0
20231109,29.8183,29.8183,29.8183,29.8183,0,0.0
20231110,29.8183,29.8183,29.8183,29.8183,0,0.0
20231113,30.5433,30.5433,30.5433,30.5433,300,0.024316009293713803
20231114,30.5433,30.5433,30.5433,30.5433,0,0.0
20231115,30.5433,30.5433,30.5433,30.5433,0,0.0
20231116,30.5433,30.5433,30.5433,30.5433,0,0.0
20231117,30.5433,30.5433,30.5433,30.5433,0,0.0
20231120,30.5433,30.5433,30.5433,30.5433,0,0.0
20231121,30.5433,30.5433,30.5433,30.5433,0,0.0
20231122,29.5101,30.0086,29.5101,30.0086,700,-0.01750759858679274
20231124,30.6249,30.6249,30.6249,30.6249,100,0.020537786911784872
20231127,31.7125,31.7125,31.7125,31.7125,1300,0.03551354081614222
20231128,31.3953,31.4859,31.2231,31.4859,1500,-0.007145166281387838
20231129,31.4859,31.4859,31.4859,31.4859,30000,0.0
20231130,31.4859,31.4859,31.4859,31.4859,100,0.0
20231201,35.2109,35.2109,35.2109,35.2109,200,0.11830743569995206
20231204,35.1837,35.1837,35.1837,35.1837,900,-0.0007721280725052626
20231205,35.1837,35.1837,35.1837,35.1837,0,0.0
20231206,34.4405,34.4405,33.353,33.353,1200,-0.052035154366588565
20231207,34.649,34.649,33.7517,34.2955,9700,0.028261031677371262
20231208,34.2955,34.2955,34.2955,34.2955,0,0.0
20231211,34.069,34.069,33.9511,33.9511,400,-0.010042412047557514
20231212,33.9511,33.9511,33.9511,33.9511,0,0.0
20231213,33.643,33.643,33.6249,33.6249,400,-0.009610245295410103
20231214,35.5644,35.5644,35.5644,35.5644,300,0.05768199476479419
20231215,36.0629,36.0629,35.0659,35.0659,5900,-0.014016420047036404
20231218,35.0659,35.0659,35.0659,35.0659,0,0.0
20231219,35.8997,35.8997,35.8997,35.8997,300,0.023778765728212914
20231220,35.3288,35.501,35.3288,35.501,400,-0.01110828814371756
20231221,35.501,35.501,35.501,35.501,0,0.0
20231222,35.0297,35.0297,35.0297,35.0297,200,-0.013275219683051231
20231226,35.0297,35.0297,35.0297,35.0297,0,0.0
20231227,37.1958,37.3136,37.1958,37.3136,3000,0.06520024680876824
20231228,36.9873,36.9873,36.9873,36.9873,500,-0.008744124135872222
20231229,36.9873,36.9873,36.9873,36.9873,0,0.0
20240102,35.7185,35.7185,35.7185,35.7185,600,-0.0343052486853096
20240103,34.504,34.504,34.504,34.504,100,-0.03400148557386029
20240104,35.1656,35.1656,34.4859,34.4859,500,-0.000525593321227924
20240105,34.4859,34.4859,34.4859,34.4859,15700,0.0
20240108,35.9541,35.9541,34.7125,34.7125,3800,0.006570495412632882
20240109,34.7125,34.7125,34.7125,34.7125,0,0.0
20240110,34.7125,34.7125,34.7125,34.7125,0,0.0
20240111,34.7125,34.7125,34.7125,34.7125,0,0.0
20240112,34.7125,34.7125,34.7125,34.7125,0,0.0
20240116,33.7336,34.9844,33.7336,33.933,800,-0.022454243075648694
20240117,33.933,33.933,33.933,33.933,0,0.0
20240118,33.933,33.933,33.933,33.933,0,0.0
20240119,32.927,32.927,32.927,32.927,200,-0.029647450039824275
20240122,33.8877,33.8877,32.4466,32.4466,700,-0.014588470217205107
20240123,32.4466,32.4466,32.4466,32.4466,0,0.0
20240124,33.4436,33.4436,33.4436,33.4436,300,0.030726141056885536
20240125,33.4436,33.4436,33.4436,33.4436,0,0.0
20240126,36.507,36.507,36.507,36.507,9900,0.09159891666921416
20240129,36.507,36.507,36.507,36.507,0,0.0
20240130,36.507,36.507,36.507,36.507,0,0.0
20240131,36.507,36.507,36.507,36.507,0,0.0
20240201,36.507,36.507,36.507,36.507,0,0.0
20240202,32.1022,32.1022,32.1022,32.1022,600,-0.12065543395791489
20240205,32.22,32.22,32.22,32.22,300,0.0036701743612070903
20240206,32.22,32.22,32.22,32.22,0,0.0
20240207,33.652,33.652,33.652,33.652,300,0.04444448390950351
20240208,33.652,33.652,33.652,33.652,300,0.0
20240209,33.652,33.652,33.652,33.652,0,0.0
20240212,33.652,33.652,33.652,33.652,0,0.0
20240213,33.652,33.652,33.652,33.652,0,0.0
20240214,37.087,37.087,36.9964,36.9964,400,0.09938060557846051
20240215,37.2774,37.2774,35.7819,35.7819,500,-0.032827115029976595
20240216,37.658,37.658,37.658,37.658,200,0.052431685876835
20240220,37.658,37.658,37.658,37.658,0,0.0
20240221,37.658,37.658,37.658,37.658,0,0.0
20240222,37.1595,37.1595,37.1595,37.1595,200,-0.01323696479627623
20240223,37.1595,37.1595,37.1595,37.1595,0,0.0
20240226,37.1595,37.1595,37.1595,37.1595,0,0.0
20240227,37.1595,37.1595,37.1595,37.1595,0,0.0
20240228,37.1595,37.1595,37.1595,37.1595,300,0.0
20240229,37.1595,37.1595,37.1595,37.1595,0,0.0
20240301,37.1595,37.1595,37.1595,37.1595,0,0.0
20240304,39.0356,39.0356,39.0356,39.0356,200,0.050487663060795995
20240305,39.0356,39.0356,39.0356,39.0356,0,0.0
20240306,39.0356,39.0356,39.0356,39.0356,0,0.0
20240307,39.0356,39.0356,39.0356,39.0356,0,0.0
20240308,39.0356,39.0356,39.0356,39.0356,0,0.0
20240311,38.8906,38.8906,38.8906,38.8906,200,-0.003714858652823838
20240312,38.6822,38.6822,38.6822,38.6822,100,-0.00536010686079158
20240313,38.6822,38.6822,38.6822,38.6822,0,0.0
20240314,38.6822,38.6822,38.6822,38.6822,0,0.0
20240315,38.6822,38.6822,38.6822,38.6822,0,0.0
20240318,38.6822,38.6822,38.6822,38.6822,0,0.0
20240319,38.6822,38.6822,38.6822,38.6822,0,0.0
20240320,38.6822,38.6822,38.6822,38.6822,0,0.0
20240321,38.6822,38.6822,38.6822,38.6822,0,0.0
20240322,38.6822,38.6822,38.6822,38.6822,0,0.0
20240325,40.377,40.377,40.377,40.377,300,0.04381448280622857
20240326,40.377,40.377,40.377,40.377,0,0.0
20240327,40.377,40.377,40.377,40.377,0,0.0
20240328,40.6489,40.6489,40.6489,40.6489,200,0.006734033772865411
20240401,42.8241,43.5039,42.8241,43.5039,400,0.07023406537749288
20240402,41.7365,41.7365,41.7365,41.7365,100,-0.04062485696152163
20240403,41.7365,41.7365,41.7365,41.7365,0,0.0
20240404,41.7365,41.7365,41.7365,41.7365,0,0.0
20240405,41.7365,41.7365,41.7365,41.7365,0,0.0
20240408,43.1866,43.1866,43.1866,43.1866,1000,0.03474470332951074
20240409,40.9118,40.9118,40.9118,40.9118,800,-0.05267571630293055
20240410,40.9118,40.9118,40.9118,40.9118,0,0.0
20240411,42.098,42.098,42.098,42.098,70100,0.02899614630430314
20240412,41.7623,41.7623,41.7623,41.7623,100,-0.007975264384005865
20240415,41.7623,41.7623,41.7623,41.7623,0,0.0
20240416,38.9365,38.9365,38.9365,38.9365,300,-0.0676640481034706
20240417,39.9064,39.9064,39.9064,39.9064,100,0.024910046726911883
20240418,39.9064,39.9064,39.9064,39.9064,0,0.0
20240419,39.9064,39.9064,39.9064,39.9064,0,0.0
20240422,39.9064,39.9064,39.9064,39.9064,0,0.0
20240423,39.9064,39.9064,39.9064,39.9064,0,0.0
