datetime,open,high,low,close,volume,return
20230718,86.2624,88.2306,86.2092,87.6366,1581600,0.01666147864261469
20230719,87.5125,88.0001,86.4664,87.8317,972100,0.00222570334785277
20230720,87.7696,87.7696,85.234,86.5195,1046700,-0.014939101508372965
20230721,86.8564,86.9274,85.6241,86.1117,892700,-0.00471363648668921
20230724,85.9965,86.6171,85.039,85.4911,1332000,-0.007206714725607299
20230725,85.3138,85.7128,84.7198,85.4113,1782500,-0.0009334706707263551
20230726,84.9769,86.1826,84.8617,86.1295,1802400,0.008407835116891915
20230727,87.0072,89.0906,86.4663,87.1933,1968600,0.01235202619149689
20230728,88.4611,88.4611,86.4043,87.7873,1568800,0.006812468084465895
20230731,88.1153,89.1615,87.3706,88.0089,5472100,0.0025244947164901888
20230801,88.6473,92.3886,85.1542,92.1847,3599000,0.04744654093720535
20230802,90.979,92.1138,89.5693,89.7644,1722400,-0.026254944102908295
20230803,89.4541,89.6225,86.9185,87.8937,1301600,-0.02083957504911571
20230804,88.4079,88.5941,86.9806,87.282,1022100,-0.006959737960601231
20230807,87.3706,88.3193,87.0692,87.548,981900,0.0030471426001548174
20230808,86.0851,86.7855,83.9042,86.3422,1839500,-0.013772184365328455
20230809,86.0142,87.282,85.6507,85.9699,694800,-0.0043125199864381125
20230810,86.1915,87.0426,84.1967,84.507,1188500,-0.017015694725815322
20230811,83.0265,84.2943,82.3616,83.6028,1288300,-0.010700665832649281
20230814,83.124,83.6028,82.468,83.3723,922600,-0.002757168496641871
20230815,82.7428,83.1949,82.1754,82.4679,737600,-0.010846588251141487
20230816,82.3173,82.7339,80.8633,81.0583,909700,-0.017092877676217588
20230817,81.5459,81.7764,79.2586,79.3384,1718000,-0.02121845421488
20230818,79.099,80.6062,78.9128,79.5423,1625700,0.0025700441857967604
20230821,80.553,81.0761,78.7267,79.4802,1590100,-0.0007801822580185691
20230822,79.7994,80.4377,78.7444,79.3118,1403200,-0.002119482972862796
20230823,79.6398,81.1204,79.2763,80.8899,811400,0.01989715796799696
20230824,80.4466,80.8367,79.2143,79.2675,798000,-0.02005697390882455
20230825,79.9147,80.2338,77.9288,79.099,973000,-0.0021249799682282466
20230828,79.6753,80.9165,79.6753,80.615,748100,0.019166028384206335
20230829,80.6416,82.929,80.4289,82.7516,836700,0.0265037940167554
20230830,82.8935,84.2943,82.7783,84.2411,1336100,0.017998837035951842
20230831,84.3209,85.2252,83.6294,83.6737,1321900,-0.006735318266859802
20230901,84.5143,85.176,84.0224,84.4606,812200,0.009404613378507731
20230905,84.5321,84.9793,82.7705,82.842,1113500,-0.019163500571794057
20230906,82.7347,84.0046,82.5469,83.7899,967600,0.011442152121442506
20230907,82.3592,82.8331,81.2324,82.5291,983300,-0.015048011775810166
20230908,82.1535,82.7079,80.7674,81.3666,1199400,-0.014086021316510378
20230911,81.6795,82.4128,81.1788,81.3308,1207300,-0.00043957375223357964
20230912,80.7048,81.1251,79.5781,79.8553,1092400,-0.01814198603795858
20230913,79.7927,79.9894,77.262,78.0668,1630800,-0.0223962604779
20230914,78.8895,79.4976,77.6108,78.344,1333800,0.003551081738110584
20230915,77.9863,79.0773,77.4319,78.666,2292600,0.004109084382645456
20230918,78.5586,78.8359,77.727,77.8433,1241900,-0.01045824683107377
20230919,77.6465,78.2278,76.6986,78.1115,1177700,0.0034463149921906133
20230920,78.8806,79.6139,76.9759,77.0027,796800,-0.014195708537653173
20230921,76.341,76.4751,75.3841,75.4735,1201100,-0.01985832411232613
20230922,75.5451,75.7865,74.7671,74.8476,1333400,-0.008293885812923563
20230925,74.3915,75.7865,74.2306,74.8297,1275500,-0.00023892960353077974
20230926,74.5167,74.5167,73.2648,73.4347,1189600,-0.0186423903482813
20230927,74.0159,74.776,73.3363,74.1322,1058300,0.009498265548120388
20230928,73.9802,75.2589,73.6046,74.9012,2198400,0.010373838566238858
20230929,75.1158,75.7865,73.9533,74.7403,2305500,-0.002148928036630249
