datetime,open,high,low,close,volume,return
20230725,281.2414,283.4265,278.6969,282.5233,1269400,0.0006192178011337202
20230726,282.7175,283.1157,279.6972,281.756,1173000,-0.0027157862990946358
20230727,282.1251,282.1251,273.705,273.8798,2359900,-0.02795404362506615
20230728,275.5503,276.4243,272.7922,274.8413,1864300,0.00351061575170708
20230731,275.8027,276.2106,272.7727,275.2395,1588500,0.0014487008660892808
20230801,272.0152,274.181,270.1118,271.2189,2230500,-0.014607640918159137
20230802,270.0825,271.6947,265.7317,266.6543,1960900,-0.01682985833717776
20230803,265.4404,269.6164,264.0224,267.674,1921600,0.0038242206669742984
20230804,275.8125,284.0675,273.8799,275.5309,2792800,0.029352160830122154
20230807,276.7836,280.2021,274.4431,278.017,1233300,0.009023109354223902
20230808,276.7837,277.5606,271.3549,274.1907,976600,-0.013762915528227504
20230809,273.8701,275.5405,272.627,273.8701,878700,-0.001169101181121679
20230810,275.0647,279.4253,274.0547,274.8511,880600,0.003581833028458492
20230811,274.6665,275.2395,273.6468,273.977,625100,-0.0031803222625889083
20230814,273.8701,278.2404,273.2485,276.5797,1318500,0.009499784855258264
20230815,276.3661,277.8616,275.9873,276.6477,724200,0.0002458357162000713
20230816,276.8807,277.6674,273.4719,273.4913,748400,-0.01140924664466525
20230817,274.21,274.7442,269.6552,269.9174,1055700,-0.01306762820355456
20230818,269.6262,271.2675,268.6453,269.8981,993000,-7.168171059246387e-05
20230821,270.5585,271.8987,267.3245,268.2762,1176000,-0.006009257553775571
20230822,267.5478,268.5287,266.159,267.5381,1052400,-0.002751375716296689
20230823,268.8104,270.8595,267.4507,268.0043,969600,0.0017425052653863293
20230824,267.509,270.2963,265.0228,265.5569,1029600,-0.009131670318848983
20230825,266.6155,270.8498,265.217,270.102,907300,0.017115138644206773
20230828,272.4328,273.8702,268.1597,270.2866,890800,0.0006833356269366764
20230829,270.1699,277.1624,270.1699,276.803,1158400,0.024109408078584194
20230830,277.3955,280.7169,277.1333,278.862,1055600,0.0074384685546124985
20230831,279.0076,280.814,275.3269,275.3754,1049800,-0.012502968455035401
20230901,277.2402,277.2402,274.7734,276.2496,657400,0.003174488482907023
20230905,281.3968,281.4648,275.9291,278.0365,1289300,0.0064686318581250735
20230906,278.085,281.6201,275.1618,280.7655,1253500,0.009815051553113241
