datetime,open,high,low,close,volume,return
20230829,12.3357,12.643,12.3357,12.6089,45429000,0.03940881781172312
20230830,12.7028,12.7967,12.5491,12.5747,26065300,-0.002708194432416322
20230831,12.6345,12.7028,12.5491,12.6259,45406200,0.00407324715868862
20230901,12.643,12.6857,12.4979,12.5064,20292900,-0.009465939062894502
20230905,12.5064,12.5918,12.3528,12.3613,28402900,-0.011604068496603004
20230906,12.3186,12.5918,12.2247,12.4723,43010100,0.00897802458925323
20230907,12.4637,12.6003,12.4211,12.4723,30699100,0.0
20230908,12.4723,12.4723,12.2589,12.293,28281300,-0.014373842867914433
20230911,12.3528,12.4552,12.3272,12.3954,28625000,0.00833341866982451
20230912,12.404,12.4381,12.2759,12.3442,27383300,-0.004132157964640615
20230913,12.4211,12.532,12.3528,12.4808,30916600,0.011064938207376862
20230914,12.7198,12.9418,12.6942,12.8564,55155000,0.030095784530119074
20230915,12.8052,13.0613,12.7711,13.0016,80594200,0.011288152732285672
20230918,12.9503,12.993,12.8223,12.882,29972500,-0.009192537909325726
20230919,12.8564,13.0186,12.8479,12.9845,33190500,0.007952294230000545
20230920,13.0442,13.4284,13.0357,13.2747,45303600,0.02235395716763411
20230921,13.1552,13.2662,13.0528,13.0699,33709200,-0.015434167085022432
20230922,13.0869,13.1125,12.8479,12.9077,33964400,-0.012410163348652858
20230925,12.8479,12.8991,12.6772,12.8564,30428700,-0.0039682571933665756
20230926,12.6345,12.8735,12.5235,12.8223,35412000,-0.00265604466392122
20230927,12.8137,12.8137,12.6345,12.6942,27561600,-0.009986804155731499
20230928,12.7113,12.8223,12.7028,12.8138,27817600,0.009415088482584322
20230929,12.8394,12.8906,12.7284,12.8223,29640900,0.000666185826027732
20231002,12.8394,12.882,12.515,12.5235,36600200,-0.023302319901121193
20231003,12.5235,12.6515,12.4467,12.6174,36830800,0.00749826433296974
20231004,12.515,12.5747,12.3357,12.5064,37089000,-0.008795715593858167
20231005,12.4894,12.7028,12.4894,12.6601,32171500,0.01228685364080273
20231006,12.5452,12.6235,12.2843,12.5713,53313500,-0.007009382402977438
20231009,12.5887,12.8323,12.58,12.8149,30659800,0.019377084563861002
20231010,12.7801,13.0324,12.7801,13.015,35746800,0.015614429024926935
20231011,13.0063,13.0933,12.7714,12.8497,31793500,-0.012700497191341142
20231012,12.7366,12.7627,12.4234,12.5713,38543700,-0.02166553584127695
20231013,12.5974,12.7279,12.4582,12.493,34104500,-0.006228486785099796
20231016,12.5278,12.6148,12.3799,12.5365,31727900,0.003481932318619041
20231017,12.4582,12.6931,12.4321,12.6844,34771800,0.011797324457916147
20231018,12.5887,12.6409,12.4495,12.4582,36230900,-0.017832572277727166
20231019,13.3717,13.624,13.189,13.276,97636500,0.06564245307565297
20231020,13.2151,13.8415,13.2151,13.3804,68058400,0.007863623537957443
20231023,13.3717,13.3804,12.928,13.0063,53938600,-0.027958209331804706
20231024,13.2064,13.5457,13.2064,13.5109,66404200,0.038795906186620766
20231025,13.4848,13.5631,13.1107,13.2151,42605800,-0.021893107791466027
20231026,13.1977,13.3021,13.0324,13.1542,41165100,-0.00460825834939671
20231027,13.1368,13.2064,12.8236,12.8932,35849200,-0.01984133946368727
20231030,13.0063,13.3804,12.9715,13.276,41832200,0.02968960644092644
20231031,13.2934,13.4326,13.2673,13.3978,33688400,0.00917431126757573
20231101,13.4761,13.6588,13.4239,13.5544,41502800,0.011688453218746675
20231102,13.5892,13.7284,13.537,13.6849,35788800,0.009627620285800331
20231103,13.8328,13.9546,13.7719,13.8154,42807500,0.00953588278607187
20231106,13.7719,13.8328,13.6066,13.7023,32805500,-0.008186362904963218
20231107,13.6675,13.885,13.6675,13.7806,26425500,0.005714250318016978
20231108,13.7806,13.7806,13.5544,13.6153,28224500,-0.011995052470785361
20231109,13.6414,13.7023,13.5283,13.5979,26080800,-0.0012777451839051102
20231110,13.6414,13.6936,13.45,13.6066,23755800,0.0006397600864609387
20231113,13.5805,13.6936,13.4935,13.5544,23876000,-0.003836246508871266
20231114,13.6588,13.7023,13.5022,13.5979,31504200,0.0032092067619333697
20231115,13.6153,13.7458,13.6066,13.711,25233500,0.008317372060256067
20231116,13.8154,13.8589,13.7023,13.8154,26214200,0.007614072498673741
20231117,13.8415,13.885,13.7806,13.8328,27162600,0.0012594457568895212
20231120,13.8328,14.0677,13.7893,14.0068,30868000,0.012578615484996059
20231121,13.9807,14.1373,13.9372,14.0851,25680000,0.0055901638607589454
20231122,14.1373,14.1634,14.0068,14.0677,21301600,-0.0012353979496699807
20231124,14.1025,14.1982,14.0938,14.1025,12431000,0.002473648716257104
20231127,14.0851,14.1547,13.9981,14.1025,29976200,0.0
20231128,14.0677,14.0938,13.9459,14.0764,24258400,-0.001850675563867088
20231129,14.0851,14.2069,14.0503,14.1808,26623500,0.007416630906099897
20231130,14.1721,14.4418,14.1721,14.4157,50630000,0.016564314073533648
20231201,14.4418,14.5897,14.3722,14.581,35407200,0.011466472276397743
20231204,14.4418,14.5897,14.3983,14.494,40542500,-0.005966390896646079
20231205,14.7724,15.0856,14.755,14.9812,72091000,0.03361317555208254
20231206,14.9377,15.0334,14.668,14.7376,45867500,-0.016260099978712805
20231207,14.8072,14.9029,14.7028,14.8681,31309100,0.008854943357546885
20231208,14.8681,14.8855,14.6245,14.7202,42137200,-0.009947432242562781
20231211,14.7115,14.7376,14.3809,14.4592,43835000,-0.017730300945153488
20231212,14.407,14.4244,14.2156,14.2765,41348800,-0.012635474662006319
20231213,14.2069,14.3548,14.0068,14.3113,53889700,0.0024374708793071242
20231214,14.3635,14.6245,14.3635,14.4853,54485000,0.012157853582784206
20231215,14.3722,14.494,14.3113,14.3722,65906500,-0.007807578148367078
20231218,14.4418,14.5723,14.2765,14.32,34621800,-0.0036321598431677815
20231219,14.2939,14.4592,14.2765,14.4505,28077400,0.009113168315104003
20231220,14.4157,14.4505,14.2678,14.2678,33476300,-0.012643083895078733
20231221,14.3287,14.3635,14.2243,14.3461,36327900,0.005487971980295381
20231222,14.3548,14.5549,14.3548,14.3983,26740400,0.0036384352727396596
20231226,14.3548,14.4505,14.3026,14.4157,22750400,0.0012084591744803141
20231227,14.3461,14.4592,14.3113,14.4244,27728700,0.000603599514500619
20231228,14.3896,14.6767,14.3809,14.5636,32112900,0.009650047434375253
20231229,14.4679,14.6419,14.4505,14.5984,33285400,0.002389551743771534
20240102,14.6506,15.1204,14.6419,15.0073,47624300,0.02800982730358781
20240103,15.0682,15.1204,14.9812,14.9899,33612400,-0.0011596740736937727
20240104,15.016,15.0508,14.9203,14.9203,35703700,-0.004643191221517129
20240105,14.929,15.2422,14.8768,15.1987,33311400,0.018659020560256367
20240108,15.1813,15.2161,14.9986,15.0682,41215100,-0.008586240994153949
20240109,15.0046,15.0134,14.8808,14.9869,30338400,-0.005398359637902583
20240110,14.9427,14.9427,14.8189,14.9161,26893800,-0.004719477565045871
20240111,14.8542,14.8542,14.2795,14.3503,59137500,-0.03793741063784262
20240112,14.4475,14.6951,14.4387,14.5713,32658900,0.015403385887247545
20240116,14.5183,14.6774,14.4475,14.5359,39033400,-0.002426972075160627
20240117,14.4829,14.7039,14.4564,14.5094,39261000,-0.0018247558610761105
20240118,14.4033,14.5183,14.3149,14.5006,35127800,-0.0006095610779016658
20240119,14.7305,14.8366,14.5006,14.7393,52563000,0.01646338640200895
20240122,14.7835,14.9427,14.7128,14.8542,44093400,0.007798501443875727
20240123,15.0664,15.2521,15.0134,15.1991,59713000,0.023214273676384733
20240124,14.642,15.0664,14.5536,14.7481,79217000,-0.029668353392457214
20240125,14.8277,15.1991,14.757,15.1902,54457900,0.029976041979883128
20240126,15.1637,15.3671,15.1372,15.2875,38567300,0.006402766027068019
20240129,15.2256,15.2787,15.0753,15.2521,38264800,-0.002313210772234786
20240130,15.2521,15.5527,15.1902,15.4997,54946400,0.016231644569421277
20240131,15.482,15.7561,15.4732,15.6412,52968100,0.00912702524369613
20240201,15.9948,16.0567,15.7561,15.9506,71660400,0.01978537828601401
20240202,15.8534,15.8976,15.7031,15.7649,33248500,-0.01164100288129788
20240205,15.6588,15.8003,15.5439,15.6765,31496900,-0.005608457645110754
20240206,15.6146,15.7119,15.5174,15.5704,25734200,-0.006767840148300008
20240207,15.5616,15.5793,15.2963,15.3229,33871800,-0.015900435027445092
20240208,15.2963,15.2963,14.8012,14.8719,66974900,-0.0294286808085773
20240209,14.8454,14.925,14.6509,14.8896,44427100,0.0011892771143287018
20240212,14.8896,15.0841,14.8189,15.0488,31151200,0.010688922290058578
20240213,15.0488,15.2079,14.81,14.9427,29734600,-0.007050859650877261
20240214,15.0046,15.1107,14.8896,14.9515,26468100,0.000591632252114227
20240215,14.978,15.2256,14.978,15.1107,25926700,0.0106448697127981
20240216,14.9869,15.093,14.8189,15.0046,28848800,-0.007021728120015114
20240220,14.925,15.146,14.9161,14.9515,29103900,-0.00353584961640252
20240221,14.9604,15.0399,14.8896,15.0311,22644500,0.005322689994448737
20240222,14.8277,14.8277,14.5183,14.6686,59974500,-0.02411784355731006
20240223,14.7039,14.9073,14.6244,14.8542,32270900,0.01265819081434194
20240226,14.8542,14.8808,14.6067,14.6774,26815900,-0.011904681652087912
20240227,14.6863,14.8985,14.6244,14.8808,28350800,0.013855408378480538
20240228,14.8719,15.0664,14.8631,14.9957,33531100,0.00772416913511087
20240229,15.0488,15.1372,14.9515,14.9692,46155200,-0.0017688720118009815
20240301,14.9161,15.0753,14.8631,15.0134,27552700,0.002953429052942269
20240304,14.9161,15.0222,14.7747,14.8542,32690500,-0.010600730281847048
20240305,15.0576,15.3494,15.0311,15.1814,43337900,0.022023837612245467
20240306,15.1195,15.2256,15.0488,15.1902,35356700,0.0005824543540975391
20240307,15.1991,15.2963,15.0399,15.0753,27325100,-0.007567122188211095
20240308,15.0841,15.314,15.0134,15.2079,30812900,0.008797864518972132
20240311,15.2256,15.4201,15.2256,15.3229,29541600,0.007557946777440927
20240312,15.2963,15.3317,15.1814,15.2079,38700600,-0.007501252708704498
20240313,15.2698,15.4113,15.146,15.1991,32339800,-0.000581501115688221
20240314,15.1637,15.1814,14.8808,15.0399,37237700,-0.010471165095706447
20240315,14.9338,15.1549,14.9338,15.0753,93104700,0.002351415170460891
20240318,15.1195,15.314,14.9692,15.2963,35177000,0.014662833401633879
20240319,15.2963,15.314,15.1726,15.1814,26144600,-0.007514384916614603
20240320,15.1372,15.3052,15.1018,15.2168,28961700,0.002329503323231341
20240321,15.1991,15.2698,15.0841,15.1725,34446700,-0.002905252700140859
20240322,15.1991,15.2079,15.0134,15.0134,26169900,-0.010489409173886632
