datetime,open,high,low,close,volume,return
20230829,124.0563,125.5101,123.6832,125.4814,2427400,0.011098405435294278
20230830,125.204,126.591,125.0701,126.1892,1282400,0.005640445880320311
20230831,126.4762,127.3371,126.4475,126.6292,1306800,0.0034870884437867566
20230901,127.6144,127.9013,126.8779,127.4709,1169400,0.006646824781177063
20230905,127.2222,127.4518,125.1945,125.3093,968300,-0.016958116145265656
20230906,124.7641,125.9884,123.9319,124.4006,2715900,-0.0072514681693290894
20230907,123.1189,123.205,121.6938,122.6024,1404500,-0.014454813039628367
20230908,122.3537,123.1954,121.8277,122.2963,956100,-0.0024963064123867396
20230911,123.5015,123.5015,121.5024,122.8033,929900,0.004145012232661394
20230912,122.3155,123.7024,122.3155,122.8798,786400,0.000623257726886095
20230913,122.9276,123.1859,121.9616,122.6694,1026800,-0.001712580734928859
20230914,123.4728,124.1711,122.392,123.5685,1043000,0.0073295929805474724
20230915,123.358,123.5972,120.6512,121.1677,2131900,-0.019428862075744346
20230918,120.7277,122.0381,120.5842,121.4451,1044300,0.0022891768892872033
20230919,121.2633,121.6077,120.0964,121.4355,1035000,-7.871568666684148e-05
20230920,122.0668,122.4398,119.8286,119.9816,1293600,-0.011972260242860466
20230921,118.8625,119.3408,117.8009,117.8582,1662000,-0.01769775268509932
20230922,118.2121,118.7765,117.5904,117.6861,1540000,-0.0014608443922691228
20230925,117.0165,117.8678,116.8157,117.6765,1603300,-8.116510564304402e-05
20230926,116.9018,117.3035,115.2279,115.2757,1594100,-0.020401519803818657
20230927,116.1844,116.6626,114.434,115.1992,1584100,-0.0006637580619403005
20230928,115.6105,119.0252,115.1131,118.4226,1401000,0.027980596834627613
20230929,119.4077,119.6564,117.7243,118.1548,974300,-0.0022614525738566815
20231002,117.4374,118.5469,117.1122,117.8582,1150100,-0.0025095597664588354
20231003,117.0357,118.3843,116.3374,116.9113,1118900,-0.008034352856032712
20231004,117.227,118.3939,116.4044,118.04,990900,0.00965387112505578
20231005,118.0113,118.2121,114.721,115.6679,1828800,-0.02009567769871967
20231006,116.0314,118.9486,115.8783,118.5756,1633300,0.02513861387444738
20231009,117.3704,118.1165,116.3183,117.7435,868700,-0.007017784521393788
20231010,118.1261,119.7999,117.9061,118.9199,1013300,0.0099917889554193
20231011,118.9678,120.039,118.6521,119.9721,1504000,0.008847523274733815
20231012,120.3068,120.4694,118.193,119.1782,1003700,-0.0066173688858510715
20231013,118.8339,118.8339,115.2088,116.1653,1405700,-0.025280836478100532
20231016,117.9348,119.733,117.0931,118.8721,1382600,0.02330176652285787
20231017,118.1834,119.7999,116.9687,119.1017,1860400,0.0019310939369889812
20231018,118.1165,118.6808,116.4139,116.6913,1635000,-0.020237726295495917
20231019,116.6531,117.7052,113.774,114.1566,2132800,-0.021721331170094227
20231020,114.3479,114.4244,112.3776,112.4828,4043000,-0.014662824410879849
20231023,111.9472,112.7793,110.9907,111.0002,2013700,-0.013180118863145185
20231024,112.1193,113.0854,111.2394,112.9228,1511700,0.017320132080346662
20231025,111.9089,112.4254,110.4742,111.4115,1821400,-0.013383002002430366
20231026,112.4732,113.7645,112.0141,112.435,1754400,0.009186100435172984
20231027,112.0332,112.2341,109.9959,110.4837,1525700,-0.01735425670601143
20231030,111.1054,111.8993,110.149,111.2776,1673900,0.007185323166215785
20231031,111.048,112.7793,110.962,112.7219,1915400,0.012979163104309022
20231101,114.5775,117.5713,113.9175,117.5139,2078900,0.042511975213818554
20231102,118.1165,118.6808,116.9783,118.6425,2244000,0.009604172232489105
20231103,119.8573,121.6364,119.6086,120.2877,1318200,0.01386662839190178
20231106,120.4025,120.5555,119.7616,120.4121,1229900,0.001033656993069787
20231107,119.7616,120.3355,119.4364,119.599,1449800,-0.006751971738077733
20231108,119.7521,120.4407,118.8434,119.599,1234200,0.0
20231109,120.2782,120.6225,118.6426,118.7,1372400,-0.00751743818689421
20231110,119.0634,121.5407,118.4034,121.139,1673100,0.020547952689510263
20231113,120.4503,120.8999,119.513,119.5321,1038700,-0.01326501544817138
20231114,121.512,125.0701,121.3494,124.8693,1678100,0.044650740937659306
20231115,125.5101,127.4136,125.338,126.0362,1702800,0.00934516056127288
20231116,126.2091,127.2276,125.4021,126.1899,1578500,0.0012195654940023726
20231117,127.0258,127.1603,125.8248,126.3052,1425900,0.0009137866978556897
20231120,126.017,126.8048,125.6711,126.1131,1348300,-0.0015214666145658695
20231121,125.8633,126.2091,125.1042,125.5846,853200,-0.004190106274747918
20231122,126.4974,126.9297,125.8248,126.1803,956800,0.004743378883030447
20231124,126.0746,126.3725,125.6519,125.9209,573900,-0.002056025174396958
20231127,125.2291,126.1611,125.1331,125.527,1607100,-0.0031283202655436604
20231128,125.4021,126.1131,124.7295,125.085,1332700,-0.0035207406859947277
20231129,125.8921,126.5742,125.2772,125.3156,1156400,0.0018432285899270262
20231130,125.9978,126.1035,124.6431,125.8633,2234800,0.004370435603714196
20231201,125.5174,127.2852,125.0562,126.824,1368700,0.007633439252632268
20231204,125.7384,126.6799,125.4597,125.8633,2175100,-0.007575611284093453
20231205,125.2003,125.2003,123.7591,124.6046,941700,-0.010000029702098234
20231206,125.6807,126.7088,125.1715,126.0842,1080000,0.011874410634368004
20231207,126.4013,127.6984,125.6903,127.1795,1245200,0.00868697868113455
20231208,126.8433,128.4478,126.3052,128.0923,1445600,0.007176984123746566
20231211,128.8033,130.965,128.467,130.4366,1170400,0.018301641151032166
20231212,130.475,130.7056,129.716,130.1868,1020000,-0.0019151191939723589
20231213,131.8394,132.5888,129.8121,132.4831,1634300,0.017638464111603414
20231214,133.9243,138.1709,133.5303,137.7194,2006000,0.0395241552692962
20231215,136.1917,137.2774,133.6648,136.0668,3172300,-0.011999454439311719
20231218,136.307,136.48,135.3558,135.4519,1318500,-0.004519205699050399
20231219,135.8843,136.4319,135.1349,135.5864,1162500,0.000993130994158431
20231220,134.8082,136.086,132.9923,133.0788,1513000,-0.01849491862965058
20231221,134.0203,134.5488,133.1941,134.3951,1046100,0.009891015828789929
20231222,135.1829,136.0572,134.4719,135.4423,786500,0.007792373821402521
20231226,135.6633,136.2206,135.0004,135.7882,660200,0.0025538659090276195
20231227,135.7305,135.9131,134.7409,135.2502,809200,-0.003962460568674109
20231228,135.6249,135.7978,134.9331,135.5384,626100,0.0021313768410089473
20231229,135.1733,135.6921,134.5488,134.9908,795900,-0.004040687876112559
20240102,133.8282,134.2221,132.6752,133.4727,1367700,-0.011245819653174505
20240103,132.3678,132.7233,131.4743,131.7529,1685000,-0.01288482742891639
20240104,129.7064,129.7448,126.7856,127.266,2634700,-0.03405530427845871
20240105,126.5934,128.0731,126.4013,127.1603,1825700,-0.0008304652517764355
20240108,128.3805,128.9282,127.3237,128.6015,1525900,0.01133378587999223
20240109,126.8913,128.5631,126.8913,127.9386,1270000,-0.005155119286476162
20240110,127.7848,128.2941,127.2756,127.9482,1842400,7.501864284842341e-05
20240111,127.708,128.0154,126.0746,126.9201,2143700,-0.00803491957239244
20240112,127.0642,128.0923,126.3052,126.7568,1973200,-0.0012870533529329986
20240116,126.0266,126.334,123.6534,125.6135,2580500,-0.009019719983968
20240117,124.2587,125.0946,123.4805,124.0666,2045900,-0.012314503644133667
20240118,124.9025,125.354,123.8552,125.3444,2997600,0.010299627541008105
20240119,126.017,127.3429,124.8256,127.3429,2624600,0.015943739007720836
20240122,127.7849,128.8321,127.7849,127.977,3008700,0.0049796636971577435
20240123,128.3997,129.889,128.3325,129.3701,2745900,0.010885703481709363
20240124,137.7674,141.0725,135.9996,137.998,4074200,0.06669134899375484
20240125,138.8531,139.3143,137.2582,138.6033,3641700,0.0043863019645311585
20240126,140.0829,140.1021,137.8443,138.8147,3302400,0.001525071927073185
20240129,137.4311,140.0157,137.0084,139.958,1856800,0.008236346394596472
20240130,140.0925,141.0821,139.4968,139.5353,1233100,-0.003020511348967636
20240131,138.3535,138.9012,136.4223,136.6145,2766500,-0.02093217372514411
20240201,136.9123,137.018,134.7025,136.6721,3586400,0.0004218618953495401
20240202,136.1629,137.9115,135.5096,137.2198,1315000,0.004007170302728236
20240205,136.5568,136.8739,134.7602,135.2694,1632900,-0.01421375859628704
20240206,135.2406,136.2302,134.6161,135.9996,1885500,0.0053981866244092735
20240207,136.2398,136.9027,135.327,136.4223,3090600,0.003108202308370167
20240208,136.6241,137.6329,135.9804,137.4984,1781100,0.007888197757369486
20240209,137.5464,138.7858,137.1429,138.4015,1401700,0.0065681237256685066
20240212,138.2958,139.3239,137.4696,137.6713,2281600,-0.005276020604869758
20240213,135.6537,136.4896,133.8474,135.2213,1953300,-0.017795874901966546
20240214,136.3551,137.3543,135.5864,137.2006,2789900,0.014636872189220718
20240215,137.7698,139.5353,137.7408,138.1267,2587900,0.006750540728343912
20240216,138.175,138.9854,137.297,137.3839,1951800,-0.0053783170946880565
20240220,136.0718,136.4577,134.451,135.2807,2012800,-0.015308785786288803
20240221,135.3096,135.9657,134.8369,135.7824,1789300,0.00370853962336426
20240222,138.4934,138.9564,137.2006,138.5705,1700500,0.020534165191440135
20240223,138.9275,139.2459,137.4321,138.0689,1273500,-0.0036203832488067578
20240226,138.1267,138.6284,137.5961,137.7601,1963800,-0.002236176436685944
20240227,138.7635,139.3423,138.0303,138.5705,2799900,0.005882869620204234
20240228,137.9917,139.0337,137.6444,138.0592,1634300,-0.0036898662413852312
20240229,138.995,139.3809,138.0303,138.503,2693400,0.0032142442679752303
20240301,138.2425,139.0915,137.3067,138.6767,1626700,0.0012539479198478976
20240304,138.5898,139.0336,138.0013,138.0206,2295700,-0.0047308004542976345
20240305,137.2391,138.2618,134.8272,135.3,2254300,-0.019711963723999082
20240306,136.8339,138.2136,136.3612,136.4287,3034400,0.008342827318045476
20240307,136.9979,138.0399,136.7374,137.4417,1874200,0.007425125215384298
20240308,137.818,138.2232,135.4254,135.5797,2069100,-0.013547554661276662
20240311,134.5474,136.477,134.5474,136.0621,2153500,0.003557989923642868
20240312,137.1234,137.1234,135.3,135.5894,1653100,-0.0034744994038332644
20240313,136.0718,136.8725,135.6376,136.4095,1582000,0.006048175182810311
20240314,136.0139,136.3129,134.0071,134.5378,1716200,-0.013721107908180707
20240315,133.2932,134.914,133.2932,134.258,2979100,-0.0020796031151856242
20240318,135.1552,136.5059,134.9719,135.0684,2565400,0.006036325010958965
20240319,134.9333,136.4577,134.8465,135.7148,2137100,0.004785783028460777
20240320,136.0236,136.998,135.1456,136.3516,1772600,0.004691930904231256
20240321,137.6444,139.9116,137.4611,138.9179,3178900,0.018821193569292127
20240322,138.8214,139.352,138.0785,138.2618,1526700,-0.0047228057796238065
20240325,138.9275,138.9275,136.6024,136.6217,1757500,-0.011862323938804487
