datetime,open,high,low,close,volume,return
20230829,102.588,106.4336,102.588,106.1469,1435900,0.02677623950808239
20230830,105.7317,107.0367,104.9507,106.1469,909000,0.0
20230831,105.5532,107.2949,105.5532,106.7506,1621100,0.00568724276108501
20230901,107.8887,108.0371,106.4735,107.3345,624600,0.005469403665046446
20230905,106.7506,106.8595,104.8308,105.5136,1368300,-0.016964651715631995
20230906,104.9198,106.3647,103.7917,104.4844,1463700,-0.009754242969153948
20230907,102.2577,102.9208,97.7945,98.6555,3224300,-0.055787088099952586
20230908,98.4279,99.4967,97.9529,98.6654,1666700,0.00010022445328172758
20230911,99.9519,99.9519,96.5971,97.8737,1404000,-0.008024112081775003
20230912,97.5471,98.7446,96.7752,96.8148,1235000,-0.010818956102590982
20230913,96.033,97.8143,95.9934,96.6466,1620900,-0.0017375494209442843
20230914,97.9034,97.9925,96.508,96.9435,1133200,0.0030716796832754856
20230915,96.1023,96.3398,93.9053,94.4991,3275400,-0.025214272959357298
20230918,94.1428,95.9341,93.935,95.7559,1239500,0.013299897159626095
20230919,95.6669,97.1018,95.1127,96.7752,2014300,0.01064487618079979
20230920,97.3888,97.8836,94.9147,94.9939,1161000,-0.01840699737727647
20230921,94.3902,95.6471,94.222,94.6179,1487800,-0.003958625142959971
20230922,95.6075,96.0429,94.1923,94.41,1019800,-0.002196544665346023
20230925,94.0142,95.8153,93.9548,95.4392,966500,0.010901603376618496
20230926,96.3101,96.607,94.5288,94.8356,1410600,-0.0063251574094769225
20230927,95.845,96.3299,94.509,95.4788,1852700,0.0067827873336483435
20230928,95.3898,99.6253,95.2512,98.6456,1583900,0.03316750035957994
20230929,100.0608,100.4764,99.2196,99.4175,1331200,0.007825020855121156
20231002,99.467,100.5754,98.6258,99.6253,1357800,0.0020904233974552433
20231003,99.0613,99.8035,96.8643,97.5372,1152500,-0.020959645485753575
20231004,98.1211,99.6748,97.3195,99.2295,1002700,0.017349816964425502
20231005,98.7446,99.9024,97.2403,98.5071,1069900,-0.007280293170791485
20231006,97.7352,100.3478,96.9534,99.6253,1242200,0.011352267022359364
20231009,98.3586,98.5071,96.9534,98.0221,953400,-0.0160922425655875
20231010,98.2003,99.5858,97.9727,98.5565,1241800,0.005451760859448651
20231011,98.7149,99.3878,97.5075,98.5269,991500,-0.0003012075473275422
20231012,98.5368,100.417,97.4878,98.3586,1135500,-0.0017074344716849765
20231013,98.4675,98.5071,94.2913,94.608,1532800,-0.03813261214536512
20231016,94.6673,96.2705,94.4298,95.9934,1900700,0.014644221897037069
20231017,94.1626,96.4091,92.9157,95.5184,1540200,-0.0049482401475308135
20231018,93.6381,94.4199,92.1141,93.1037,1410900,-0.025279816993735493
20231019,93.9053,94.222,91.3125,91.7776,1927300,-0.014243287794801551
20231020,91.3719,92.2526,90.5802,90.788,1264000,-0.010782846170286575
20231023,90.0557,91.8469,89.7093,89.9765,1325100,-0.008938243738426777
20231024,90.3427,91.174,89.5015,90.6594,1342900,0.007589073958472747
20231025,89.9171,90.1843,85.6222,86.9978,2722900,-0.04038844716648782
20231026,84.5138,88.8583,83.9002,84.2367,2954300,-0.03173690435589116
20231027,83.9497,84.3753,81.9012,82.97,2015500,-0.015037845949072315
20231030,82.9502,83.3262,81.0996,82.5939,1656300,-0.0045324882423443125
20231031,82.5246,83.1976,81.7923,82.4059,1540200,-0.0022766088006273
20231101,82.4059,82.6335,80.2386,81.9012,2091200,-0.006124651135231085
20231102,82.9106,85.83,82.871,85.0086,2277600,0.03794111049588289
20231103,86.2357,87.4233,85.9586,86.7899,1606700,0.02095456859333944
20231106,87.2155,87.4728,85.7409,86.7009,1250200,-0.0010259562266294875
20231107,86.6712,87.0571,85.8498,86.1269,1284300,-0.006620610348873623
20231108,86.0675,86.4733,85.1669,85.4836,1434400,-0.0074685390086352
20231109,86.0279,86.1071,83.7815,84.0487,2676700,-0.016786276240549514
20231110,85.1175,87.5421,84.3159,87.2056,1798300,0.03756054140234921
20231113,86.5227,86.9978,84.8602,85.7212,1703300,-0.017022257944319663
