datetime,open,high,low,close,volume,return
20230829,108.9355,109.9169,108.3504,108.8411,381300,-0.005089268453662976
20230830,108.9638,109.0487,103.434,103.8492,930900,-0.045864435500270195
20230831,103.8492,103.8492,88.6375,91.1098,5056700,-0.12267143647848122
20230901,92.4781,98.9516,91.8364,98.6874,1922400,0.08316925486786109
20230905,97.1964,97.1964,90.7041,94.4315,1692400,-0.04312488944853532
20230906,95.026,95.1204,92.5159,94.3654,1164600,-0.0006994241485942521
20230907,93.6954,95.696,92.9971,93.8087,1043800,-0.005900069433507293
20230908,95.3469,95.6394,91.6005,92.5253,1327600,-0.013680563891808606
20230911,93.903,96.1961,92.5442,94.9788,1642100,0.026516885618446784
20230912,96.2528,98.1212,94.3654,97.2436,617800,0.02384508777889538
20230913,98.6119,98.6119,94.3654,95.3091,1733600,-0.01989328029253612
20230914,95.3657,97.1775,94.4409,95.0826,1160600,-0.002376173457780628
20230915,95.5733,96.5359,93.0915,94.4692,2453500,-0.00645102534208164
20230918,94.8467,98.5741,94.8373,98.2627,1226900,0.04015579368989841
20230919,98.1023,100.1784,97.1775,99.5555,1279900,0.013156651430300759
20230920,99.7537,99.9708,98.3665,98.8289,812400,-0.007298521627497223
20230921,94.2142,94.2142,83.1135,84.2304,5657400,-0.14771487016920104
20230922,84.6811,85.1808,81.3989,82.0945,1932500,-0.02535775681186958
20230925,81.7418,82.1729,80.0958,80.5073,1315500,-0.01933404242169945
20230926,79.8411,80.3897,78.8025,79.4198,1325200,-0.013508581814976939
20230927,79.6843,80.3995,78.9103,79.1846,1254500,-0.002960697556483094
20230928,79.0769,80.86,78.8025,80.8012,1091600,0.020415576272180935
20230929,80.86,83.2311,80.6641,82.3591,1225400,0.019279788646350937
20231002,82.6432,83.5446,81.1932,83.2801,1166700,0.01118252504314965
20231003,82.7902,83.8483,82.3983,82.7804,1025500,-0.006000082633400017
20231004,82.5256,82.5256,80.3799,81.7418,977300,-0.012545957729027335
20231005,81.683,83.378,80.3604,80.5073,661800,-0.015102302002732437
20231006,80.3309,81.0364,79.312,80.3309,570400,-0.002190716581432106
20231009,79.7725,81.8104,79.7725,81.2421,464100,0.011342903854047792
20231010,81.2813,81.5655,80.3603,80.3995,445300,-0.01037144051937866
20231011,80.3309,80.3309,77.5288,78.6066,1813000,-0.02230073500720431
20231012,78.4694,79.1454,77.8032,78.3126,855300,-0.003739255681774023
20231013,79.0867,79.1062,76.0396,76.0592,1330300,-0.02877522481649053
20231016,76.647,79.116,76.647,78.6752,1014100,0.03439403733167712
20231017,77.9893,79.2728,77.7346,78.2539,1122200,-0.005354869178082811
20231018,77.4015,78.4302,75.2656,75.3146,573100,-0.03756109307987121
20231019,75.1872,76.4217,74.7659,75.0206,1474400,-0.0039026989463746276
20231020,75.05,76.4609,74.7659,76.3923,702000,0.01828385014538636
20231023,75.6379,78.1167,75.5105,77.2447,715200,0.011158215943826821
20231024,78.1559,78.9005,76.8822,78.8711,1121400,0.021055314981297535
20231025,77.1369,78.5282,76.4315,77.0487,471400,-0.023105703209021167
20231026,77.568,80.8306,77.0292,79.4688,1454200,0.03140916286989559
20231027,80.8698,83.672,79.6647,80.3114,912000,0.010602785237628032
20231030,80.7523,81.8202,79.8999,81.2323,548300,0.011467646966899281
20231031,81.1442,81.4871,79.8509,80.3212,652400,-0.01121703690499154
20231101,80.3799,81.3205,79.7725,80.7229,642600,0.005001113712147509
20231102,81.4283,82.5844,80.6739,81.7712,484000,0.012987091543636975
20231103,83.2604,83.7209,82.2317,83.2115,641800,0.017613125536718233
20231106,83.8777,83.8777,82.3297,82.8979,955900,-0.0037677785344997217
20231107,82.702,84.7987,82.3591,83.9267,958800,0.012409993449048917
20231108,84.9261,85.896,82.5648,82.8881,1182500,-0.012374595925253917
20231109,83.8189,84.3578,82.9175,83.1821,938100,0.0035461972104267048
20231110,75.6771,78.1657,75.4419,77.6562,7239100,-0.06643112561212261
20231113,77.1859,78.7241,76.794,78.3518,4245000,0.008957953060715118
20231114,79.361,79.361,77.4407,78.2832,1848100,-0.0008753879848081292
20231115,77.6954,77.7836,74.7169,76.4707,2742500,-0.02315388107409777
20231116,76.4609,76.9312,75.9808,76.5393,1360800,0.000896722652303783
20231117,76.7058,77.0096,75.5399,76.7352,877700,0.00256026771518858
20231120,76.7646,77.3819,74.952,76.2845,1366900,-0.005873329250945414
20231121,76.2943,76.9508,75.9318,76.7254,1059600,0.005779413179586301
20231122,76.6078,77.9305,76.3139,76.8724,912100,0.0019155668945411986
20231124,76.5197,77.6464,75.9318,76.9116,409100,0.0005099338346459259
20231127,76.6862,77.6562,76.5001,77.6268,2219900,0.00929931737618106
20231128,77.6268,77.6268,76.02,76.5981,923200,-0.01325257616906872
20231129,76.4217,76.9704,75.0696,76.1082,1064500,-0.006395607110059265
20231130,75.8436,76.3139,74.7267,75.7653,1397900,-0.004505471273097084
20231201,75.5007,76.6666,74.8443,76.6568,769500,0.011767544375504535
20231204,76.647,76.647,73.9135,73.9723,1217000,-0.035020329305690434
20231205,73.8253,73.8351,71.9442,72.4536,1963000,-0.020529833085714877
20231206,72.7182,73.2473,71.6796,71.6894,1100500,-0.010547726123038781
20231207,71.9442,72.1303,70.8762,71.3269,1075800,-0.0050566829522046275
20231208,70.9938,72.483,70.8664,72.2773,1035200,0.013324261380489144
20231211,72.2773,72.6006,71.3955,71.8168,1104300,-0.006371121046866435
20231212,71.9735,73.2179,71.1603,72.3263,1023100,0.007093889286204469
20231213,72.2283,72.3361,70.8762,72.1401,1328000,-0.0025736428090111785
20231214,73.0807,73.7763,72.7476,73.6098,1800200,0.020372056622830037
20231215,73.4922,74.6287,73.0513,74.4524,2639300,0.011446926927868972
20231218,74.7561,76.0298,74.0997,75.1382,1152400,0.00921175235722349
20231219,74.2662,77.8326,74.2466,77.4309,2130200,0.030512417354291443
20231220,77.1075,78.1657,76.069,76.0886,961400,-0.017335176401813146
20231221,76.3727,77.617,75.922,77.4211,701100,0.01751213917623451
20231222,77.9697,78.1755,76.9214,77.2447,656400,-0.0022778488828834043
20231226,77.1663,78.4008,77.0095,78.1069,1361000,0.01116180493543606
20231227,78.2833,79.361,78.2833,79.3512,735300,0.01593084177913906
20231228,79.3904,80.1938,79.1552,79.7921,1016400,0.005556153804736619
20231229,79.5373,80.1742,78.4694,79.9293,927800,0.0017190788590495387
20240102,79.3806,79.8509,78.2441,78.7143,768400,-0.01519984704796562
20240103,78.3126,78.6458,77.3427,77.7738,1019700,-0.011949215905097121
20240104,78.1559,78.3812,76.9606,77.2741,738400,-0.006424684884573373
20240105,77.1075,77.7346,76.5001,77.0389,1070500,-0.0030431052271467918
20240108,77.4505,78.6262,76.8724,78.4596,1249900,0.018440928026011605
20240109,78.4204,78.8907,77.862,78.6262,650100,0.002122841447246726
20240110,78.7927,79.1258,78.2441,78.8907,563500,0.0033643553575117835
20240111,79.165,80.135,78.3812,79.9488,831700,0.01341287794497692
20240112,79.8509,79.9684,75.3831,75.5595,1687400,-0.05490189716534555
20240116,75.5301,76.0886,74.423,75.3733,1386000,-0.0024638179434324226
20240117,74.7365,75.873,74.6777,74.7757,663300,-0.00792907700053469
20240118,75.5595,75.5987,73.8253,74.3054,947500,-0.0062893582287522065
20240119,74.6581,76.5001,74.5013,75.9808,1056900,0.022547379406322232
20240122,76.3825,77.5386,75.8338,75.8436,878500,-0.001805109070178501
20240123,93.5088,93.9791,84.9946,87.8164,11818000,0.15786062498076148
20240124,87.7576,88.4336,85.4551,86.1312,2702500,-0.01918999793836229
20240125,86.6798,87.689,85.0338,85.7393,1833300,-0.004550203576191292
20240126,85.9842,85.994,84.0247,84.7889,1341800,-0.011084429849539279
20240129,83.28,83.6132,80.7914,81.056,2950800,-0.04402584652163344
20240130,80.7327,84.2304,80.7327,83.2801,1938300,0.027438661090701588
20240131,83.5152,83.7699,81.7418,81.9966,970600,-0.015411678774475246
20240201,82.7608,84.0541,82.0945,83.8287,989400,0.022344268698428538
20240202,84.2304,84.2304,82.0064,83.3682,855600,-0.00549319332578424
20240205,83.1429,84.152,82.5844,83.8189,1003100,0.005406030671420092
20240206,85.171,86.0626,84.2598,85.4061,1183700,0.01893610541260693
