datetime,open,high,low,close,volume,return
20230829,541.0225,552.1452,539.7547,550.1049,1291400,0.01874586303807635
20230830,552.4423,557.5629,549.4412,553.6605,773500,0.006463611451918316
20230831,555.0472,558.3058,551.6302,551.7787,1192100,-0.0033988985328690102
20230901,558.0679,560.4549,551.5013,551.8974,1015500,0.00021514672785616362
20230905,553.9378,554.3439,536.5257,536.8328,1404900,-0.027296081179462695
20230906,535.7533,540.2301,530.8803,531.5736,1217900,-0.009796636176721885
20230907,530.1275,533.5841,525.6011,526.5817,1079200,-0.009390878855733753
20230908,524.9376,527.5721,507.8821,513.3196,1834900,-0.025185122852307118
20230911,510.4869,512.6758,507.9415,510.0214,1555900,-0.0064253303923115235
20230912,510.0808,510.0808,504.4946,506.1091,1568000,-0.007670899795786168
20230913,494.4218,521.2926,493.253,506.0199,2359100,-0.0001761919882451446
20230914,510.5593,513.6219,502.0456,511.0648,1598300,0.009969809290729437
20230915,511.0648,529.4502,504.791,510.9558,5179500,-0.00021329738408548682
20230918,510.9359,510.9359,502.7987,503.2249,1300100,-0.01513020366720419
20230919,500.7373,504.8901,498.8442,504.226,1181100,0.0019893054290032186
20230920,506.8326,507.3777,499.6866,500.4101,1271300,-0.007567811559500925
20230921,497.9719,499.3397,495.1274,497.1394,1606900,-0.006536081640553748
20230922,498.4378,502.66,497.1196,498.3288,1198000,0.0023924105834012277
20230925,496.7827,501.55,495.9203,501.1733,961500,0.005708227518530062
20230926,498.5369,501.9464,496.3961,497.1394,1190000,-0.00804898270952048
20230927,498.1603,500.093,490.5287,493.8687,1344300,-0.00657896029186511
20230928,497.5953,502.8979,495.9005,498.5567,1443300,0.009492376950732018
20230929,504.6918,506.456,500.2912,501.6788,1380500,0.0062622167368246995
20231002,498.6162,502.4915,486.3262,491.3909,1652100,-0.020507012252744428
20231003,488.5265,498.0413,488.2292,495.1769,1559400,0.00770480693702158
20231004,496.7628,498.7252,491.4404,497.9918,1022100,0.005684533387797508
20231005,492.9767,495.9996,488.3283,493.6011,917500,-0.008816845245445348
20231006,491.4206,497.7043,488.695,494.1263,1108400,0.0010640941937589687
20231009,490.6079,493.2443,486.0388,491.7279,1182500,-0.004853895533411867
20231010,491.1926,495.1076,488.5562,491.7477,1304900,4.021612692750587e-05
20231011,492.8082,494.2057,487.4264,488.2589,1207100,-0.007094509745098954
20231012,487.4759,491.4603,466.4343,478.2783,2026200,-0.020441308912300893
20231013,475.3744,479.9732,471.7766,478.5658,2004300,0.0006011272300043835
20231016,478.5657,487.6841,476.0185,484.2052,1247700,0.011784032337425865
20231017,474.7499,485.6126,473.4614,480.4687,1355200,-0.007716918423462005
20231018,476.7123,476.7123,462.7275,463.114,2134800,-0.036120179646883854
20231019,468.1093,472.4703,463.2825,465.5027,2014500,0.005157716268407109
20231020,465.3441,467.0191,459.1396,460.2397,1599300,-0.01130586233759645
20231023,457.6529,465.3044,455.8986,457.7124,1897500,-0.005491429823323624
