datetime,open,high,low,close,volume,return
20230725,160.7797,163.2853,160.2312,162.6035,193500,0.013961639460252417
20230726,160.5549,163.0272,160.3205,162.1938,201600,-0.002519803618224792
20230727,163.8607,164.6306,159.9484,161.5109,216900,-0.004210250421137984
20230728,161.6669,163.1488,160.6625,161.6852,141300,0.0010787185866198978
20230731,163.4821,165.6598,161.9787,161.9852,274500,0.0018555710401437775
20230801,160.827,160.827,157.2428,159.7549,198900,-0.013768642976768386
20230802,165.278,165.278,157.4352,157.5761,342000,-0.013638219642501559
20230803,160.77,174.1026,160.77,173.2692,355500,0.0995906131429285
20230804,175.2877,188.4859,173.6746,184.1316,553500,0.06269113203708909
20230807,184.2435,189.7946,184.2435,187.7643,347400,0.01972860264529186
20230808,185.0554,190.4044,183.3079,189.8334,282600,0.011019541871357896
20230809,191.5045,193.0799,189.3333,191.4583,270900,0.008559495600003908
20230810,193.5692,196.4835,192.3895,195.5157,259200,0.021192105971209463
20230811,196.9804,206.2319,193.6176,202.7111,308700,0.036802344811030174
20230814,201.8863,206.4244,199.9828,201.754,293400,-0.004721535183547898
20230815,201.6346,201.6346,197.4008,198.8214,300600,-0.0145354586459433
20230816,198.5751,202.9315,198.0805,199.8473,215100,0.005160031585671243
20230817,203.3628,206.903,203.3628,205.235,273600,0.026959133383837708
20230818,205.5049,205.5049,199.6011,205.1543,342900,-0.00039315157904107334
20230821,206.8363,208.0568,200.4904,201.7895,283500,-0.01640156801843362
20230822,203.1477,205.0199,200.2216,202.4024,171000,0.003037549465097822
20230823,202.553,203.8822,199.914,201.7755,163800,-0.0030974818325344433
20230824,200.6883,204.8586,200.6883,202.9466,154800,0.005803883810704846
20230825,205.7792,205.7792,201.7755,204.5554,194400,0.007927110253921121
20230828,206.3846,206.7008,203.4854,206.3932,135000,0.008984509620505898
20230829,208.0568,208.0568,204.4909,207.9708,127800,0.007643841012365371
20230830,209.5247,210.7754,208.0869,208.9042,248400,0.004488107333639801
20230831,211.1211,211.1211,201.9736,203.0228,596700,-0.028153832657925815
20230901,203.2426,206.1962,200.5959,205.5628,499500,0.012511179755435808
20230905,204.8508,205.1686,192.9048,194.7554,507600,-0.05257484821031244
20230906,196.2634,199.9043,194.6057,197.2297,283500,0.012704676597441233
20230907,197.3934,200.8167,195.7884,197.8135,261000,0.002960239121529318
20230908,199.8214,200.0487,198.0451,199.2246,273600,0.0071334199533041875
20230911,199.7255,199.7255,186.0808,187.7655,300600,-0.057518524461403375
20230912,190.8689,196.5866,190.7999,195.085,210600,0.03898198847806755
20230913,195.7356,195.9177,190.9023,190.9766,237600,-0.021059374630917782
20230914,193.9119,194.9687,191.9342,193.2387,247500,0.011844826445583712
20230915,191.7684,193.1762,188.2244,190.7827,661500,-0.012709636032334548
20230918,190.6944,197.4376,190.6944,196.0038,180900,0.027366734233715384
20230919,198.0117,199.3819,194.4915,197.7284,279900,0.00879870047471032
20230920,197.7715,205.677,197.5431,201.351,360000,0.018321036479397756
20230921,201.6957,203.0702,197.2674,201.4846,348300,0.0006636233608154907
20230922,204.3424,204.3424,198.2509,198.2767,202500,-0.015921093536708564
20230925,199.7697,201.5815,198.4792,200.3492,153900,0.01045245729558375
20230926,200.0358,200.7876,197.7586,199.0254,342900,-0.0066078008470165095
20230927,201.1108,206.25,200.2027,201.477,299700,0.01231833046264419
20230928,202.188,205.0705,202.188,203.7456,481500,0.011259544268334531
20230929,205.0964,205.0964,196.4315,196.4315,450900,-0.03589799162998797
20231002,197.1252,197.4602,184.6632,188.3924,328500,-0.040925525514561634
20231003,187.1386,192.5331,187.1386,192.0656,303300,0.019497610939856802
20231004,190.27,191.5755,187.6212,189.2262,325800,-0.01478373212690276
20231005,187.4477,192.8121,187.4477,190.4779,259200,0.006614720854425604
20231006,190.479,195.0107,190.2204,190.3949,411300,-0.00043538662251974003
20231009,192.6096,199.1977,192.6096,194.8739,595800,0.02352448439510968
20231010,193.5199,199.8333,193.5199,197.6951,477000,0.014476885787653604
20231011,196.2893,200.3341,195.1324,199.0157,414000,0.006679997280054639
20231012,199.2904,200.9072,198.3101,200.6767,528300,0.008346437736387102
20231013,203.0497,208.0048,201.9489,201.9489,463500,0.006339176751029241
20231016,202.5219,206.7305,202.5219,205.7459,258300,0.018802153696433344
20231017,206.8349,215.4373,206.8242,208.7836,385200,0.014763977271926576
20231018,210.3843,213.3907,209.8877,213.1021,291600,0.02068408464062177
20231019,212.1843,212.1843,209.6443,211.6694,331200,-0.006722967786578882
20231020,209.082,211.1286,206.1466,206.1466,401400,-0.02609140277469002
20231023,203.0713,205.2192,199.5963,199.9625,439200,-0.029998686160832455
20231024,200.8954,201.8217,194.945,195.2024,525600,-0.023804818133771777
20231025,194.4322,200.8954,194.4322,200.2501,324900,0.025858870772949683
20231026,198.3101,201.5524,193.4164,199.9506,421200,-0.0014957031965254775
20231027,198.7927,198.7927,193.2548,196.0017,288000,-0.01974967269446104
20231030,197.0843,198.741,194.7985,197.8103,428400,0.00922759653145766
20231031,197.2458,201.1248,197.2221,198.8433,283500,0.005222122242154015
20231101,201.7787,203.6228,198.4975,198.4975,759600,-0.0017387243251738571
20231102,198.2885,202.2957,193.0879,193.6566,415800,-0.024387767142616146
20231103,193.3863,198.6828,192.2046,194.8642,376200,0.00623560008481272
20231106,196.0157,197.5238,188.5325,189.5289,395100,-0.027379720013593678
20231107,188.1845,188.1845,178.1893,182.7781,315900,-0.03561857195625073
20231108,183.3684,184.0148,177.2619,177.7951,361800,-0.027262822444157897
20231109,178.0881,180.6195,175.3165,178.646,646200,0.004786225995277338
20231110,180.5365,180.5365,175.5007,176.7664,196200,-0.010521836524140848
20231113,177.3868,181.2636,176.1631,178.9606,214200,0.012413160275400958
20231114,181.2162,186.5656,181.2162,183.5473,167400,0.025629582854757027
20231115,183.1433,185.6962,180.6324,181.2679,228600,-0.012418286743801632
