datetime,open,high,low,close,volume,return
20230829,197.2945,199.9076,195.8373,199.8881,798300,0.010608720406129812
20230830,200.1116,201.0053,199.1596,200.0435,709400,0.0007774886909175382
20230831,200.7943,201.8083,200.1021,200.1216,941500,0.0003899297439964311
20230901,201.3402,201.7205,199.5268,200.0923,858400,-0.00014624290687592634
20230905,199.5658,200.0241,193.989,195.5197,960900,-0.02285238561796432
20230906,196.4265,199.2929,196.0267,199.0881,994200,0.01825087276552484
20230907,199.6926,201.779,196.9139,201.3403,1008400,0.011312412444496767
20230908,201.4963,201.8472,199.5073,200.7845,844600,-0.002760204670908095
20230911,201.7595,205.5131,200.843,205.1329,1556300,0.021656762508820204
20230912,204.4504,206.2834,202.2275,203.2415,1270300,-0.009220306364640107
20230913,202.6467,204.4114,201.116,202.13,1248300,-0.005468843963730485
20230914,202.3055,203.2317,195.159,196.9919,1837800,-0.025419665789246593
20230915,196.3387,199.4976,195.8609,197.4209,1611900,0.002177681253583419
20230918,197.3332,200.3848,196.5825,198.6299,754100,0.006123892579603218
20230919,198.2106,198.6786,195.6172,198.0254,973300,-0.0030433862102193787
20230920,199.3611,199.9948,195.8317,196.2022,647600,-0.009206805688271591
20230921,195.4612,195.9682,192.975,193.0628,795300,-0.016000784551185476
20230922,193.3455,196.6994,193.3455,195.432,753600,0.012271504811198763
20230925,194.34,196.6019,194.34,196.1339,598300,0.003591865288655516
20230926,194.8177,195.783,191.7173,192.3608,949800,-0.019237450864854844
20230927,194.4082,195.3832,192.5265,195.0517,1466100,0.01398867050080832
20230928,195.6075,202.8222,195.6075,199.0783,1550800,0.02064397240440119
20230929,200.4725,200.882,197.6451,197.8304,1326800,-0.006268664541292046
20231002,197.5769,198.4739,192.8093,193.1408,1493400,-0.023705107253275237
20231003,193.3553,195.1687,189.9624,191.3468,1109100,-0.00928827766552709
20231004,192.0293,196.1535,191.3176,195.3735,1005000,0.021043600345674873
20231005,196.9237,197.1186,194.4375,195.7927,1127400,0.0021458144785424516
