datetime,open,high,low,close,volume,return
20230718,167.1141,168.7262,165.795,168.2499,3040500,0.0015265744485026822
20230719,168.1675,169.1659,167.6545,168.2407,3686000,-5.432404921124068e-05
20230720,165.4744,166.8667,164.2195,164.8058,7154600,-0.02041706629662632
20230721,166.7111,169.9812,166.1248,168.8362,17251600,0.02445561449201028
20230724,169.0743,170.146,167.9018,168.4422,4318500,-0.002333244885063035
20230725,169.459,172.3169,169.2758,170.4483,6267800,0.011909288052547318
20230726,162.0303,162.7723,159.5754,161.2151,11905100,-0.05417010056310834
20230727,163.331,165.9233,161.4349,162.7906,8300400,0.009772567811262345
20230728,164.6539,165.604,163.2057,164.534,7540400,0.010709610464012087
20230731,164.6631,166.4065,164.4971,166.0376,4065200,0.00913835880313818
20230801,165.1151,165.5487,163.9067,164.534,4028700,-0.009055605431525282
20230802,162.5784,162.9751,158.3906,159.064,6914500,-0.03324551217627092
20230803,157.2283,158.8979,156.4811,158.4736,4515200,-0.00371147889723511
20230804,156.4443,157.625,154.1474,155.3742,6052800,-0.019557612053312412
20230807,156.2321,156.6472,153.9906,155.8539,4315700,0.003087127204961071
20230808,154.3227,154.4334,151.6753,153.7969,4628000,-0.013198400123907827
20230809,153.7876,155.8723,153.4648,154.295,4701400,0.003238738824545395
20230810,155.5679,157.3113,153.9814,154.5625,4975300,0.0017338029066020777
20230811,152.9298,153.4648,151.869,153.308,5454800,-0.008116663876111985
20230814,153.308,157.3759,152.8468,157.256,5933600,0.0257521729207697
20230815,156.6011,156.9608,154.6178,155.116,3920900,-0.013608478537789126
20230816,154.5902,155.4942,152.4778,152.8652,4558400,-0.014509998347380648
20230817,152.8652,154.1935,152.404,152.9021,3987800,0.00024116166455856458
20230818,151.8044,153.8983,151.4354,153.5755,4456000,0.004404031218913973
20230821,153.7969,155.5034,153.2065,154.9222,3941800,0.008769342186565998
20230822,156.4719,156.4719,153.2618,154.1474,3035600,-0.005001583770840146
20230823,151.2141,157.2744,151.2141,156.6564,4152900,0.01627674676503732
20230824,158.1784,158.1784,152.57,152.7453,6003200,-0.024966118398688453
20230825,153.5755,155.3927,151.9243,154.7931,3947500,0.013406469885665961
20230828,156.0937,156.7394,154.581,155.6141,3995100,0.005303849300297037
20230829,155.0421,157.9755,154.7285,157.4497,3981700,0.01179585979029496
20230830,153.6032,157.0623,152.4963,156.103,5120400,-0.008553273877073941
20230831,155.7248,157.09,154.9684,155.0237,6026500,-0.006913634744570185
20230901,156.7948,156.8317,155.4572,156.6564,2611200,0.010531775993920967
20230905,155.9646,157.6434,155.1713,156.5734,2882200,-0.0005297744129185711
20230906,156.5365,156.8409,153.9537,155.0145,4244000,-0.009956442695027268
20230907,152.9114,153.474,151.251,151.9336,6272100,-0.019875027438643222
20230908,152.3026,152.5793,151.1126,151.8875,3301100,-0.0003035014445443851
20230911,153.6032,153.76,151.3709,152.9759,3191900,0.007166194984838947
20230912,151.8967,153.2065,150.7529,150.8082,3739900,-0.01417026501606411
20230913,151.1956,152.6992,150.8451,151.6107,3331900,0.005321465852679452
20230914,153.5109,153.7139,150.9466,153.1696,4071600,0.010282246478221957
20230915,153.3172,153.5847,149.8304,150.0057,9427900,-0.020656546914886942
20230918,149.4338,150.9004,149.2124,150.1994,3180100,0.0012914550352709497
20230919,149.8581,150.8266,148.8895,150.4853,3244400,0.0019036989808876026
20230920,151.2602,151.8137,148.5114,149.526,5035700,-0.006374739447265743
20230921,147.9487,150.264,147.9118,147.9579,4492700,-0.01048734108365279
20230922,149.2678,149.4799,147.7826,147.8749,3715300,-0.0005611263117912824
20230925,147.5428,148.4376,146.8787,148.4191,3107600,0.0036803765258286436
20230926,147.2292,147.3306,145.1629,145.7072,4164000,-0.018272205798518404
20230927,146.8971,147.1369,143.7977,145.8732,4232000,0.0011395880120199653
20230928,145.8732,148.8619,145.8086,146.7495,4271400,0.006007250877018366
20230929,148.3638,148.6589,146.03,146.6757,3664600,-0.0005029438383192808
20231002,147.1369,148.1793,145.5872,147.5428,2922300,0.005911549487601642
20231003,145.8455,147.9579,144.2128,145.0522,3510700,-0.016880220870783225
20231004,145.4304,146.1868,144.3512,145.7164,4129900,0.004578618268208157
20231005,146.1684,146.8141,142.7738,143.0782,4389200,-0.018104503737721545
20231006,142.3034,145.8363,141.6485,144.8216,5016200,0.012184785047653968
20231009,143.7424,144.674,142.7,144.5634,2747000,-0.0017833680854448808
20231010,144.5633,146.8694,144.1575,145.4304,3657400,0.005997928669560837
20231011,144.1944,145.9931,143.6594,145.126,4452400,-0.0020931852498323744
20231012,145.781,145.9931,142.2665,142.9768,5643300,-0.014809516454615257
20231013,143.2719,143.4195,140.3939,140.9013,4319100,-0.014516346952004655
20231016,141.464,142.7277,141.2149,142.3311,4872200,0.01014749018475647
20231017,140.9659,142.8937,140.108,142.2942,5098900,-0.0002593320682273692
20231018,141.0581,142.082,139.7021,140.0435,4837500,-0.015817247321559758
20231019,140.9843,141.5562,138.7981,139.2317,6041100,-0.005796540554864005
20231020,139.6745,140.0342,136.16,136.3445,5391500,-0.020736709025009903
20231023,135.8556,137.147,134.6841,134.9701,5398200,-0.010080497146653267
20231024,135.4497,136.16,134.6288,135.5235,7024400,0.004100550365286004
20231025,130.4501,133.3742,129.2602,130.7914,12349200,-0.034917085966612804
20231026,131.142,135.256,130.9944,132.8392,7888800,0.015657150337039516
20231027,133.6418,133.8355,131.308,132.0183,5327500,-0.006180051283329546
20231030,131.1339,131.6366,129.84,130.7895,6640800,-0.009307727239786678
20231031,131.0688,133.154,130.352,132.1951,6570300,0.01074734282681944
20231101,132.7816,133.4053,131.0874,133.275,7503200,0.008168484456875014
20231102,134.9227,137.5943,134.5131,137.1289,6297900,0.028916769489149008
20231103,138.9813,141.1131,138.7765,139.8471,5818700,0.019822236356411782
20231106,139.242,139.8191,136.4772,137.3057,6601400,-0.01817225216276197
20231107,136.6541,137.0637,135.4533,136.4586,5193000,-0.006169383499502357
20231108,136.319,136.682,134.4851,135.1833,6901400,-0.00934601803229873
20231109,135.8442,136.3748,133.275,133.3681,7061200,-0.013427926945611901
20231110,134.9692,137.3802,133.1912,137.0172,7214700,0.027361076581198907
20231113,136.1235,136.291,135.1554,135.7884,4345400,-0.008968149427432737
20231114,139.8377,140.6569,138.6183,139.5678,7051600,0.027833045998517214
20231115,140.5731,143.0214,139.7726,141.3737,5957000,0.012939402384222642
20231116,141.4575,142.4163,140.3869,141.3923,5599400,0.0001315694890895447
20231117,141.774,144.7528,141.4016,143.9336,7524200,0.017973653950855262
20231120,143.3751,145.4789,143.3099,144.7901,5836900,0.005950173616963816
20231121,143.9709,143.9709,141.9322,142.8259,3877600,-0.013565763417090704
20231122,143.8219,145.3672,142.6863,143.2913,3159800,0.0032588921903251578
20231124,143.6544,143.7567,142.5745,142.9748,1604800,-0.0022088781075825237
20231127,142.0253,142.7514,140.9362,142.0533,4130700,-0.00644557303486859
20231128,141.5971,142.4535,140.9548,142.3325,3883800,0.001965712390282537
20231129,144.1012,145.0786,142.379,142.6118,3647100,0.001962177561470879
20231130,143.9895,144.0174,140.8152,142.1556,6641400,-0.003198410477835645
20231201,142.528,144.5759,141.4109,144.4829,4095500,0.01637096310213737
20231204,143.8964,146.6518,143.3751,146.5401,6572000,0.014238613877175288
20231205,145.6465,146.838,144.1384,146.3819,4935600,-0.0010796934332897301
20231206,148.1319,148.5788,145.1717,145.2648,4952200,-0.007631277009132353
20231207,146.0002,147.7223,143.9895,146.7821,6495400,0.010445296958826233
20231208,146.4191,147.3779,145.4882,146.1771,4732100,-0.004122245676860592
20231211,147.6106,150.0868,147.0707,148.9139,7585500,0.01872261181269863
20231212,148.8487,148.8487,146.5587,147.0055,4714400,-0.012815061039714193
20231213,147.0986,151.0642,147.0428,150.6267,5940900,0.02463277786168061
20231214,152.3581,157.5246,151.8834,157.115,11428500,0.04307524177500999
20231215,158.4461,159.2653,156.1469,156.9846,16337400,-0.0008294901068663929
20231218,156.8078,157.2918,154.3968,155.849,5015200,-0.007234345235769379
20231219,156.6309,157.2267,155.5325,156.8543,4379400,0.006450834064539501
20231220,156.4354,156.9381,153.6614,153.7638,5098700,-0.019703383544406594
20231221,155.2532,155.9886,154.2199,155.2811,4040100,0.009868253266676286
20231222,155.7,157.2453,155.2904,156.6123,3492400,0.008572589508873518
20231226,157.2639,159.6749,156.8078,159.0047,3202200,0.015275712254709362
