datetime,open,high,low,close,volume,return
20230829,382.45,391.74,379.54,391.59,168500,0.019102137509149353
20230830,392.01,398.88,392.01,397.96,143300,0.01626700165162287
20230831,399.07,401.99,396.52,398.43,170400,0.001181026311174227
20230901,401.0,401.0,393.79,396.66,195400,-0.004442409071126807
20230905,396.27,396.66,392.0,392.13,160800,-0.011420356823159117
20230906,390.6,394.04,390.27,390.64,158500,-0.003799735332215337
20230907,389.05,393.46,387.72,390.91,187500,0.0006911453091020814
20230908,390.18,393.55,389.41,392.17,140000,0.0032232732696042543
20230911,393.64,394.37,386.47,387.67,273900,-0.011474615207491379
20230912,384.35,388.05,380.94,382.31,151800,-0.013826232835880137
20230913,381.21,382.25,376.58,378.61,148900,-0.009678041983362418
20230914,379.22,382.35,376.25,381.42,140400,0.007421959760418373
20230915,381.55,381.55,374.32,375.38,439400,-0.015835583693266875
20230918,375.63,390.56,375.63,390.16,332700,0.039373431155212746
20230919,388.39,393.34,388.01,392.65,201600,0.006381972039685158
20230920,392.87,395.41,391.63,392.53,162800,-0.00030560325748818506
20230921,389.8,391.71,384.16,384.27,254700,-0.021043002550919065
20230922,386.41,391.06,385.28,388.58,237700,0.011216065999992475
20230925,385.86,390.04,383.36,389.04,214900,0.0011838540031723355
20230926,386.37,388.86,378.42,380.84,366500,-0.021077555076406518
20230927,381.37,386.79,381.22,385.31,241800,0.011737215795835754
20230928,383.59,389.95,380.93,389.58,232700,0.011081957490663097
20230929,391.63,397.29,385.8,386.14,233900,-0.008829950311603163
20231002,386.19,386.75,380.19,382.36,233000,-0.009789271128288868
20231003,380.29,385.93,378.74,380.84,201600,-0.003975282644375855
20231004,383.48,385.51,379.32,384.58,214700,0.009820371469221323
20231005,383.56,385.31,378.74,381.8,120500,-0.007228662115454365
20231006,379.63,390.46,378.0,388.24,203800,0.016867476813274163
20231009,385.78,393.08,385.01,392.95,129800,0.012131728031965272
20231010,392.65,395.48,390.56,392.0,155800,-0.002417641372996604
20231011,392.84,394.73,389.24,392.42,168200,0.00107146282585302
20231012,394.16,394.16,385.89,387.06,152700,-0.01365887489356521
20231013,386.24,386.24,374.68,375.16,239600,-0.030744571827479916
20231016,377.55,387.49,376.85,383.98,270100,0.02350998837328766
20231017,382.51,388.13,382.35,387.57,215600,0.009349435478865242
20231018,386.43,386.79,379.24,379.4,166500,-0.021080097203960868
