datetime,open,high,low,close,volume,return
20230718,53.17,55.01,53.12,54.79,5569300,0.027376692937266744
20230719,54.58,55.12,54.03,54.8,8730600,0.00018248441989654474
20230720,55.83,57.56,54.65,56.57,22003300,0.03229927887602302
20230721,57.24,58.23,56.4,57.61,11419700,0.018384318917054943
20230724,57.07,57.27,55.69,56.06,8119000,-0.026905037678163768
20230725,55.13,55.16,53.32,54.22,12127000,-0.032821978371633254
20230726,54.3,54.89,53.59,54.57,5921400,0.006455154301757027
20230727,53.94,54.28,52.82,53.26,7710000,-0.02400588932778136
20230728,53.87,54.69,53.71,54.17,6036100,0.0170859909142016
20230731,54.24,54.44,53.98,54.31,3804200,0.0025845155820212184
20230801,53.55,53.62,52.26,53.26,6147900,-0.019333511788018343
20230802,52.5,52.94,52.21,52.67,4778200,-0.011077735095409325
20230803,52.05,52.48,51.56,52.16,5985000,-0.009682899929051136
20230804,52.45,52.59,51.82,52.37,4409700,0.004026056079121654
20230807,52.98,53.8,52.43,53.68,5672500,0.025014347909284362
20230808,53.02,54.91,52.95,54.86,6648900,0.02198212180453374
20230809,54.77,54.91,52.94,53.13,5550600,-0.0315348071999455
20230810,53.47,53.78,52.49,52.95,4642500,-0.0033879221072292687
20230811,52.59,52.69,51.82,52.26,4063300,-0.013031207393092159
20230814,52.09,52.54,51.72,52.31,3273100,0.0009568131145003544
20230815,51.8,51.93,51.22,51.34,4262100,-0.0185433224094389
20230816,51.36,52.07,50.61,50.72,4356800,-0.012076332879666252
20230817,50.63,50.71,49.5,49.53,5527100,-0.023462192680715255
20230818,48.79,49.41,48.55,49.1,4903300,-0.008681613482201755
20230821,49.41,49.73,48.93,49.63,3512200,0.010794350518635643
20230822,49.84,50.14,49.0,49.43,2870700,-0.0040298359587975785
20230823,49.29,50.63,48.66,50.39,4779500,0.01942138536406479
20230824,50.04,50.4,48.94,49.4,4674200,-0.019646713152628115
20230825,49.47,49.54,48.52,48.94,4235900,-0.009311799290713463
20230828,49.06,49.84,48.91,49.19,4459400,0.0051082960158392865
20230829,49.31,50.66,49.08,50.28,4165300,0.022158979122151257
20230830,50.18,50.58,49.93,50.1,3075000,-0.003579958423744034
20230831,50.52,50.54,49.48,49.81,4160000,-0.005788365462323863
20230901,50.13,50.16,49.12,49.72,3266700,-0.0018068691047286034
20230905,48.98,49.33,47.38,48.47,12327600,-0.025140787797879316
20230906,47.9,49.71,47.9,48.34,6623800,-0.0026820933534391633
20230907,48.15,48.25,47.49,47.68,5505300,-0.013653286001836684
20230908,47.6,47.98,47.05,47.44,4862200,-0.005033592217505545
20230911,47.6,47.96,46.99,47.69,4113500,0.0052698146550798075
20230912,47.91,48.2,47.33,47.6,3416200,-0.0018871913436685483
20230913,46.12,46.77,45.39,45.79,9290900,-0.03802516001293155
20230914,46.29,46.37,45.31,45.42,7128900,-0.008080426712910649
20230915,45.31,46.45,45.19,45.7,5875100,0.006164742520522237
20230918,45.35,45.42,44.49,44.63,5493200,-0.02341355967092107
20230919,44.45,45.3,44.39,45.24,4191900,0.013667949714376348
20230920,45.5,45.75,44.32,44.36,4419000,-0.019451835443545007
20230921,44.01,44.5,43.57,43.69,6039500,-0.015103741533453285
20230922,43.39,43.71,42.9,43.07,5091800,-0.014190866362393084
20230925,42.75,43.08,42.14,42.93,5129400,-0.00325050825726525
20230926,42.7,43.38,42.51,42.65,5139200,-0.006522217034858002
20230927,42.8,42.87,41.62,42.03,5258000,-0.01453699236577588
20230928,42.0,43.08,41.74,42.31,6091900,0.006661970072006307
20230929,42.57,42.99,41.85,42.3,6662700,-0.00023640122679791098
20231002,42.32,42.6,41.44,41.62,6398900,-0.016075657622707684
20231003,41.48,41.55,40.35,40.53,7045900,-0.026189336390223916
20231004,40.9,41.71,40.4,41.41,7731100,0.021712338875389925
20231005,41.88,42.13,41.13,41.32,6480500,-0.0021733917633306454
