datetime,open,high,low,close,volume,return
20230718,460.5598,474.7626,458.8374,470.6025,8816400,0.032887046417786614
20230719,477.6992,484.4005,472.9367,474.0849,4956500,0.0073999873676309225
20230720,476.8709,478.7722,471.1013,474.5932,2963100,0.0010721080360467372
20230721,475.3556,480.4005,474.8568,476.7486,2887300,0.00454156423797869
20230724,475.6191,479.8075,474.9038,478.7721,2279000,0.004244436310667066
20230725,480.0145,482.3676,477.4545,480.8899,2730600,0.004423266737440867
20230726,481.464,485.53,476.8427,478.1321,3697200,-0.00573462067894126
20230727,478.6686,480.4852,473.5485,475.525,3028300,-0.005452711656548259
20230728,475.5062,477.6427,468.0424,473.3414,2930000,-0.004591963909135188
20230731,473.4261,478.0192,469.7178,476.598,2441600,0.006879941345358631
20230801,477.6615,480.0522,472.946,475.0638,2161200,-0.0032191506229396483
20230802,479.7228,480.4569,473.4167,475.1203,3220500,0.00011897046352671303
20230803,473.3226,476.2497,471.5813,475.1767,2442900,0.00011882784870009822
20230804,480.0146,480.8617,472.2496,473.172,2411200,-0.004218850780936978
20230807,476.005,483.4028,474.9791,480.711,2430900,0.015932833108705413
20230808,473.4261,478.2922,470.6213,476.118,2422600,-0.009554697333115425
20230809,474.3673,475.9956,471.4308,472.5884,1916900,-0.0074131010914190165
20230810,474.8097,481.9346,473.219,473.8779,2179700,0.0027285035340167685
20230811,475.9015,480.6452,474.6027,478.1416,2029600,0.008997470445544664
20230814,479.2145,483.3088,478.3674,480.8899,2127200,0.005747796236650338
20230815,481.5017,483.45,476.5039,476.8992,1817500,-0.008298493971144016
20230816,478.1322,480.4852,473.2662,473.9532,1454100,-0.006177308258067948
20230817,466.3483,471.7602,462.9035,464.9176,3009500,-0.019064357232542406
20230818,465.6894,471.4873,464.4847,469.1342,2364400,0.00906959312730038
20230821,468.2589,470.8378,467.0448,468.4189,1533500,-0.0015247917543633749
20230822,466.2918,467.5812,462.4422,463.3929,2079400,-0.010729844276077594
20230823,464.0141,464.9553,459.2422,460.6634,2011400,-0.005890167820950087
20230824,462.5364,466.2918,458.5645,459.4022,2311100,-0.0027377907068411034
20230825,461.1152,462.2728,456.155,460.3622,1923500,0.00208965362714042
20230828,461.6517,464.0706,460.3716,462.3952,1344500,0.004416197971673919
20230829,462.574,463.9576,459.2798,463.854,2113700,0.0031548795595919277
20230830,464.9459,467.506,461.4634,462.6305,2283400,-0.0026377063718057148
20230831,463.4116,464.7858,448.2865,448.5594,4927700,-0.030415429239412428
20230901,450.8372,452.3902,445.5288,448.2395,3165900,-0.0007132751569134399
20230905,449.896,456.1079,449.463,452.5407,3443300,0.00959591871165344
20230906,453.7455,454.7526,448.3712,448.8983,2596100,-0.008048834518916026
20230907,451.6843,458.4703,450.4607,456.3056,2928000,0.01650096876168461
20230908,453.7167,456.3434,452.3561,454.2647,1858400,-0.0044726465720377195
20230911,455.408,457.1654,451.6474,452.9513,2059200,-0.0028912329542916115
20230912,451.0616,456.9765,446.0916,453.4427,2195200,0.0010848717059368518
20230913,454.8883,457.3544,453.0269,453.386,2197800,-0.00012504702723914463
20230914,456.0221,458.5166,452.3844,456.9387,2334300,0.00783586931880298
20230915,458.9607,462.8158,457.4489,459.8678,5334300,0.006410353165832383
20230918,461.4835,461.7953,456.9387,459.2631,1997500,-0.0013150221236413184
20230919,457.0898,458.9512,450.2679,454.1607,3230700,-0.011109810187059255
20230920,456.1355,467.8141,452.7245,464.9984,3724800,0.02386301946271918
20230921,466.9448,477.2912,465.896,473.5117,4703900,0.018308247906240638
20230922,471.4896,481.3446,470.5731,478.1982,4558500,0.009897376461802665
20230925,480.2392,482.7714,478.699,482.1478,2758500,0.00825930516792428
20230926,480.8817,481.3352,476.5731,477.5841,2420200,-0.009465397819953258
20230927,478.3211,478.4439,473.4267,475.9589,2593700,-0.0034028617573432784
20230928,478.0754,485.8044,477.1683,481.9777,2922000,0.012645562495840368
20230929,481.7415,481.7698,476.025,476.3935,3006200,-0.011585945941496645
20231002,477.6597,486.4564,475.4014,486.2013,3550400,0.02058753798654145
