datetime,open,high,low,close,volume,return
20230829,142.6367,144.8183,142.3504,144.6667,3261200,0.017235067501466084
20230830,144.9194,145.509,144.0265,144.8857,2713300,0.0015137840096437483
20230831,144.9025,145.4585,142.603,142.6873,3549800,-0.015173515035814322
20230901,143.6307,143.7654,140.9521,141.5081,3286600,-0.008264328473718718
20230905,141.0869,141.5249,137.8103,138.1135,4897500,-0.023988254312761748
20230906,138.0377,138.3494,135.9909,136.7153,3883500,-0.010123728816555433
20230907,136.4458,137.0017,135.2076,136.6564,3013200,-0.0004310376578694486
20230908,136.808,136.808,135.275,135.6456,3561500,-0.007396566647818736
20230911,136.1173,136.69,135.0559,135.5192,3638000,-0.0009316432366603955
20230912,132.5543,133.085,130.6423,131.8805,6232500,-0.026850423250332378
20230913,131.872,133.1271,131.2824,132.9502,4071900,0.008111380901681509
20230914,134.5674,135.5108,133.9525,135.3844,2796400,0.01830948703917268
20230915,135.3844,136.0078,134.4747,135.1823,4382300,-0.0014931437449527962
20230918,134.6938,134.8959,133.1524,133.4556,2729200,-0.012773120967588092
20230919,133.3377,133.6577,131.8299,133.0934,2348900,-0.0027141097347334053
20230920,133.5904,134.281,132.5375,132.7817,2300300,-0.0023415552219065994
20230921,132.2426,132.8996,130.7518,130.9202,3801200,-0.014019446599763952
20230922,130.9118,131.2656,129.303,129.5304,3206200,-0.010615633799911373
20230925,128.8144,130.8865,128.7218,129.9768,2900500,0.003446498694472444
20230926,128.8734,129.7242,127.8627,127.9469,3461800,-0.015617864511146884
20230927,128.4354,128.7049,126.8013,128.3764,3419500,0.0033573136910933776
20230928,128.5617,131.0297,128.3933,130.9792,5571600,0.020274261708694175
20230929,131.8215,132.5206,130.6086,131.2908,5034600,0.002379584640972876
20231002,130.6844,130.9118,129.4125,130.6254,3243600,-0.005068293361545684
20231003,129.9347,131.7036,128.8903,129.5051,3687600,-0.00857631670799519
20231004,130.0527,130.8781,128.4102,129.4799,2600400,-0.00019488057908989553
20231005,128.9071,129.6988,128.5365,129.1935,2922100,-0.0022122196498890467
20231006,128.7724,130.6844,128.2838,129.9432,2383500,0.005802884978226119
20231009,129.2525,130.3896,128.486,130.0021,1765800,0.00045373654510849626
20231010,130.1453,131.7794,129.9516,131.0213,2083400,0.007839720538663997
20231011,131.215,131.6025,129.2693,130.8107,2209800,-0.001607269549386836
20231012,130.9792,131.0213,129.3451,130.8781,2340300,0.0005153502159327417
20231013,131.5014,132.5543,130.2043,130.6254,2759600,-0.0019308100553220298
20231016,132.0236,133.4977,131.5014,131.9478,3349700,0.010123625866579555
20231017,130.7181,132.7986,130.5749,132.3942,2937000,0.003383239664761284
20231018,130.9792,131.2235,129.4125,129.5641,2974700,-0.021376487926303755
20231019,130.1116,130.676,127.8458,128.0816,3035100,-0.011441961561227454
20231020,128.3175,129.1598,127.9805,127.9974,5022500,-0.0006579136257396367
20231023,127.3994,127.6773,124.5692,124.7966,4552700,-0.025006328652544485
20231024,125.2852,126.5234,124.9482,125.7737,2802300,0.007829326825349758
20231025,125.2852,125.42,122.9857,123.7606,3565800,-0.016005787419810957
20231026,120.0292,123.2215,116.1798,116.4157,10581400,-0.059347966131473306
20231027,116.6009,117.7465,112.6,113.5686,6594600,-0.024455669417466575
20231030,114.4783,117.2748,113.1306,116.8958,5665500,0.02929623116031932
20231031,116.761,119.0352,116.4241,118.9763,3996900,0.017797821308161543
20231101,119.0858,119.726,116.2809,117.755,3566800,-0.010265185892654016
20231102,119.5238,120.7704,119.3722,119.5996,3904600,0.015664966587248808
20231103,120.6441,121.9749,120.2903,120.3324,3272000,0.006127331215637355
20231106,120.6356,120.863,119.01,119.8354,2931300,-0.0041300492530881305
20231107,119.17,119.6922,118.4288,119.4817,2952600,-0.0029521102886859163
20231108,119.7175,120.8041,119.1532,119.5659,2896600,0.000704949331766791
20231109,120.3998,120.3998,117.8139,117.8813,3411100,-0.014089309802229999
20231110,118.2051,118.2988,116.3388,117.6938,5683900,-0.0015905832501020845
20231113,117.3188,118.0688,116.7564,117.7449,3211500,0.00043458080843450375
20231114,119.3385,122.5171,119.2277,122.0058,4258800,0.03618724058942546
20231115,122.7131,126.0366,122.6705,125.4145,4766700,0.02793870310459079
20231116,125.4997,126.2922,124.1107,125.1929,3729300,-0.001766603134248368
20231117,125.8491,126.1644,124.5879,126.1048,3320200,0.007283436507631302
20231120,125.994,128.0648,125.1589,127.4597,4733300,0.010744819210441348
