datetime,open,high,low,close,volume,return
20230718,237.6133,237.6915,232.3156,235.3359,7674000,-0.013197318154259063
20230719,235.805,237.1148,234.7005,235.9712,4835500,0.0026996093878663974
20230720,235.7171,236.157,233.6743,234.2119,4695000,-0.007455669099404316
20230721,234.3292,234.9254,233.342,233.8502,5427400,-0.0015441085979831515
20230724,234.2705,235.8344,232.8141,235.3066,6010000,0.006227746396749723
20230725,234.6028,235.3652,233.1758,233.3028,4997500,-0.008515437208823418
20230726,226.1969,233.4592,222.5413,231.7487,7551400,-0.006661462739543933
20230727,232.0615,233.2735,227.7022,229.1488,8160100,-0.011218811733011091
20230728,229.2856,230.5563,228.4352,230.4292,6794800,0.0055878168213563395
20230731,230.6735,233.0389,230.6735,232.3645,4799600,0.008398488405849225
20230801,231.7878,235.2968,231.651,234.3682,4627300,0.008623322581596371
20230802,233.2442,233.4006,231.4457,232.1983,4868200,-0.009258341143346893
20230803,230.6735,233.6547,229.9405,233.3712,5033800,0.005051273378658294
20230804,232.6284,236.4501,232.472,233.5961,5169700,0.0009633052176973855
20230807,233.8209,236.7141,233.8111,236.0592,5649800,0.010544354084091045
20230808,234.9938,235.9126,232.0322,233.8893,5080600,-0.009192085466065647
20230809,235.072,236.5088,234.0848,234.3486,4055000,0.001963965820053204
20230810,235.6315,238.8925,235.1125,235.1811,4778000,0.003552026975949696
20230811,235.0244,235.7294,233.4771,235.0635,3607100,-0.0004997785610504346
20230814,235.7295,238.2854,235.279,237.8643,4351100,0.011914802627671417
20230815,236.9927,237.639,234.3879,234.8579,3770100,-0.012638921391122993
20230816,231.6263,236.0722,231.1269,234.3291,3218600,-0.0022516757139976473
20230817,235.0244,235.3965,231.5872,232.4489,4177600,-0.008023642131456565
20230818,230.696,234.0941,230.4218,233.2323,4344800,0.0033702092955048
20230821,234.4172,235.5434,232.8308,234.4956,3573600,0.005416315862368792
20230822,235.0244,236.4247,233.7219,235.5826,3848400,0.004635440803826052
20230823,236.317,237.5117,235.7294,237.2767,4947700,0.0071912041209034605
20230824,237.2277,238.5106,234.3977,234.5054,4570700,-0.011679683141625818
20230825,236.3757,238.3637,235.23,237.5411,3541500,0.012945143014198246
20230828,237.972,240.1459,237.5705,238.775,3741500,0.005194414103440792
