datetime,open,high,low,close,volume,return
20230725,217.3387,218.8837,216.6541,217.3387,755200,-0.001572276785764326
20230726,216.9671,219.3629,216.4194,218.5219,717900,0.005444375843981053
20230727,219.9203,220.4875,211.7548,213.4661,1461800,-0.023136287534163857
20230728,215.7349,216.5857,214.092,215.3242,753000,0.00870425041478673
20230731,215.9207,216.5856,214.669,215.6273,688900,0.001407647542742918
20230801,215.6664,219.7931,215.2361,219.0206,1127700,0.015736853468574896
20230802,218.2579,222.414,217.3876,218.1503,1389200,-0.003973530511294121
20230803,214.7179,221.5534,207.9997,221.1916,1385100,0.013941120254402861
20230804,222.6096,224.1742,219.1967,221.0058,888200,-0.0008398862280112329
20230807,222.8051,224.6729,220.82,223.6657,773200,0.012035347541908159
20230808,221.7783,223.3723,219.7834,221.8272,724000,-0.008219861791600724
20230809,221.9054,221.9054,217.7885,218.4437,591400,-0.015252929871961585
20230810,218.2187,220.2723,217.6222,219.3531,542100,0.004163335876887775
20230811,218.874,221.3774,218.6784,218.9718,570700,-0.0017385102986839929
20230814,218.5317,220.2626,217.4756,220.155,365600,0.005403631669734343
20230815,219.6172,220.3995,218.1699,219.1869,369000,-0.004397536220864917
20230816,218.893,220.588,217.874,218.0014,400200,-0.005408701413910366
20230817,218.6284,219.4024,208.713,209.0167,826500,-0.04121359252861545
20230818,207.3609,208.7032,204.0591,207.5177,1209000,-0.007171786553790804
20230821,208.2427,208.762,204.5097,208.2721,856400,0.003635325926748978
20230822,208.6248,210.8392,208.5857,210.2415,1001700,0.009455781719837963
20230823,209.9377,213.367,209.9377,212.6713,778800,0.011557376894507199
20230824,212.1422,213.8177,210.6236,210.6334,578600,-0.009582620514767659
20230825,210.8,211.574,207.6353,210.4865,571500,-0.0006975479476377666
20230828,211.1821,213.3278,210.3591,210.7608,434600,0.001303351205268255
20230829,210.359,214.2096,209.3205,214.1704,624900,0.016177470434396657
20230830,214.3076,215.6988,213.0044,213.8275,414100,-0.0016010408760582795
20230831,213.3964,214.2488,212.3088,213.8373,530300,4.581330279873619e-05
20230901,214.9836,219.4416,214.6211,218.4129,677100,0.021397542849709517
20230905,217.4037,217.6976,210.1435,211.8679,827400,-0.02996589679755457
20230906,211.8581,212.6713,207.7038,210.8489,657500,-0.004809514975034901
20230907,209.3107,211.623,207.841,211.2017,762500,0.0016729390725098714
20230908,210.702,213.6903,210.1827,211.8777,648900,0.003200852404681598
20230911,213.2102,213.5238,210.1925,212.2109,363300,0.0015724184240426542
20230912,210.9175,211.5837,209.2127,210.4276,540300,-0.008403193367353956
20230913,209.781,210.9763,207.5471,209.4185,612500,-0.004795735989135741
20230914,211.1233,211.6916,207.165,210.6236,649200,0.005754694105001512
20230915,210.4766,210.4766,205.0388,206.3322,1457900,-0.020374938747099614
20230918,206.773,208.3309,204.8723,207.4099,496500,0.005223342619801619
20230919,206.7339,207.4981,203.6476,205.6365,656500,-0.008550178899661365
20230920,206.7339,207.6255,203.7063,205.3132,974700,-0.0015723557450791903
20230921,204.4706,204.6665,197.2006,198.2588,1581800,-0.03435920615984478
20230922,197.6611,198.778,195.7603,196.5637,1021600,-0.008549854241721055
20230925,195.9563,198.5625,195.584,197.955,624700,0.007078327445789068
20230926,197.23,199.0915,196.1326,197.279,938500,-0.00341527648461859
20230927,198.5428,200.2966,196.6715,199.4834,1050000,0.011174445663249655
20230928,199.4639,204.0395,199.4639,200.8846,1123300,0.007023832535004271
20230929,202.1387,203.6475,197.1516,197.9354,717600,-0.014680932387362677
20231002,197.279,199.5717,195.2998,196.8674,853700,-0.005395510833228312
20231003,195.8681,198.8858,194.9373,195.9465,895400,-0.004678146366757452
20231004,197.1222,202.5208,196.554,200.8846,1336700,0.025201323080363824
20231005,200.1791,203.432,199.8068,202.7658,949800,0.009364480767892758
20231006,202.7168,210.4178,202.413,208.1056,1228000,0.02633481073084698
20231009,206.2342,207.6745,204.1277,205.9991,774400,-0.010122297283128301
20231010,206.0088,209.2127,205.1956,206.7338,541500,0.003566869431720132
20231011,206.7926,210.5452,206.7535,210.4178,455800,0.017820043358279802
20231012,210.9273,210.9273,204.4412,206.3714,538400,-0.0192306813741
20231013,207.3021,208.4485,204.4314,205.0584,491900,-0.006362038552571003
20231016,207.4491,209.634,206.6065,208.7326,581400,0.017917719471246762
20231017,207.6549,211.1429,207.0278,210.4472,569000,0.008214482123943379
20231018,207.2727,207.694,199.3267,199.6206,779400,-0.05144560175274282
20231019,200.1791,203.7357,198.3273,198.5919,837100,-0.005153665957873921
20231020,198.5135,198.9642,196.2894,197.4749,750000,-0.005624162307309555
20231023,196.7695,200.3457,196.3874,198.4057,705400,0.004713439127633556
20231024,200.9336,202.6188,199.8264,201.0021,844700,0.013086340871193203
20231025,199.797,202.2464,198.9838,199.2581,772700,-0.008676692925675411
20231026,195.1626,198.1412,186.9521,190.0482,2527900,-0.04622103216590412
20231027,188.9704,192.1253,186.6581,189.7738,1569300,-0.001443597180826539
20231030,191.0574,193.8399,190.4695,192.0274,1091600,0.01187479185122986
20231031,191.9587,195.1528,191.851,192.5172,1224000,0.002550953717230575
20231101,193.1149,200.5808,191.7432,199.6794,1717700,0.03720299143808803
20231102,201.8546,206.1754,201.8546,202.6384,1207900,0.014818521294699183
20231103,205.0878,206.0284,202.7266,203.579,961300,0.004641678769353508
20231106,204.0688,204.0688,202.2171,202.9519,1138500,-0.0030802553577862213
20231107,203.1185,204.6175,201.9427,203.0205,670400,0.00033810364978270613
20231108,204.0689,205.1466,202.609,204.2158,555800,0.005887719283477644
20231109,205.0584,207.1748,203.8827,204.9997,826800,0.00383823680058315
20231110,206.4134,208.22,204.764,207.8076,839600,0.013697279122711903
20231113,207.1989,207.8567,205.844,206.6589,605700,-0.005527694313166354
20231114,209.4963,215.3085,209.4963,212.5988,1068600,0.02874228842291382
20231115,213.3842,214.0224,206.9142,207.032,918500,-0.026184407636846152
20231116,207.8174,209.565,206.2171,208.4065,803300,0.006639127455916993
20231117,208.6421,210.2032,208.1021,208.485,713100,0.0003768452016263968
20231120,207.9745,208.8581,205.5789,206.5509,552800,-0.009277131580825215
20231121,207.6407,208.9072,205.8538,206.0207,746700,-0.0025666864575745185
20231122,207.6701,209.5846,206.9338,208.0432,511800,0.009816857413192048
20231124,208.1021,208.6127,206.8847,207.8272,172500,-0.0010382622675718656
20231127,207.4345,209.9578,206.7865,208.976,657400,0.0055273930622274925
20231128,208.9759,210.105,206.4134,207.3167,802200,-0.007940010432663458
20231129,208.4359,209.997,208.3181,208.809,609400,0.007198212723525499
20231130,208.6225,209.9185,205.7851,209.673,808500,0.00413789142260601
20231201,210.3504,213.4136,210.3504,211.7053,653400,0.009692651936729302
20231204,210.7628,212.3533,209.5945,210.8905,830900,-0.00384898170497594
20231205,210.0657,210.9199,207.0712,208.161,836300,-0.012942339498891453
20231206,209.7418,212.1472,207.8076,208.0727,717900,-0.0004244232644936563
20231207,208.4851,210.3505,207.0222,210.2719,485200,0.010569546529354268
20231208,209.8399,212.8835,208.7992,212.0981,563600,0.008684592973155159
20231211,212.6871,215.2889,212.4515,214.8766,880600,0.01310008922264938
20231212,216.5751,218.0379,214.4347,216.8794,619800,0.009320948860791933
20231213,217.066,220.6397,215.6031,219.599,512000,0.01253963774630007
20231214,220.787,221.1993,217.2918,220.6691,917600,0.0048731763718381504
20231215,219.923,222.7113,219.1768,220.2666,1092500,-0.0018239810568179138
20231218,220.4924,220.4924,217.6256,218.6466,832700,-0.007354769301428865
20231219,220.3353,221.1306,219.7757,220.6004,503100,0.008935862969849273
20231220,219.599,220.2764,216.8499,217.1543,540900,-0.01562162150945512
20231221,219.1277,219.5695,217.4685,219.2161,614600,0.009494622604174996
20231222,219.9721,220.8557,219.0688,220.836,470000,0.007389737240948602
20231226,221.2582,221.8277,220.8066,221.543,302800,0.0032010588755624347
20231227,220.9048,221.9553,220.3746,221.7099,461700,0.0007534933958095458
20231228,221.7786,221.9946,220.9833,221.3368,427200,-0.0016828654742033766
20231229,221.4448,223.1924,221.0324,222.8782,559200,0.006964173035560961
20240102,221.1895,222.1026,218.519,219.5303,720200,-0.015021415740586463
20240103,218.0379,218.0379,214.3954,215.338,744500,-0.019096574821880763
20240104,215.6227,217.8219,214.4053,216.6634,862800,0.006155087834165629
20240105,216.1234,219.6972,215.5834,217.5863,618700,0.004259590275629277
20240108,216.8892,220.031,216.2216,219.923,662200,0.010739048745362467
20240109,217.9299,219.4321,216.3689,219.3535,406200,-0.002589213308770155
20240110,219.2456,222.1026,218.6859,221.9946,519600,0.01204016206958003
20240111,222.0829,222.3971,219.5008,220.2764,640100,-0.007739693571315764
20240112,218.5485,219.9328,217.8416,219.8837,711000,-0.0017827608631622027
20240116,219.2259,219.4714,216.8794,218.3325,637700,-0.007054814958744826
20240117,216.8696,218.2343,216.4867,217.2329,553000,-0.005036468180968701
20240118,217.6452,221.1208,217.3016,221.0226,469900,0.01744563105179875
20240119,222.1124,222.1222,218.8626,221.9651,495800,0.0042641532698204365
20240122,222.6917,225.6174,222.456,223.1433,722200,0.005307937433253862
20240123,222.7015,224.0956,218.735,218.7448,856200,-0.019711338643993992
20240124,219.9721,220.1881,215.7307,215.7994,823000,-0.013464952889162163
20240125,218.4111,219.4812,216.9874,219.3438,655600,0.016424170550432216
20240126,219.3437,220.2175,217.9594,218.3128,691600,-0.004700063228208706
20240129,218.0478,225.3032,218.0478,225.1953,696900,0.03152547466861444
20240130,224.6356,227.7872,224.5276,226.8447,753300,0.007324508706772814
20240131,226.3439,227.6105,221.5528,221.8964,706500,-0.0218136165796724
20240201,223.1335,226.4618,219.8248,226.1673,702700,0.01924708513882556
20240202,224.8124,231.145,224.5865,230.173,1036900,0.017711394008553594
20240205,228.1701,230.0453,223.5164,225.4702,1064900,-0.020431741820160276
20240206,225.6862,228.3272,225.0284,227.3651,818000,0.008404205296928646
20240207,229.741,233.2067,229.2599,232.2151,822400,0.021331697067687783
20240208,232.6569,234.8954,230.7228,234.1002,882000,0.008117646138887658
20240209,233.4129,235.7398,233.0791,235.6318,1050200,0.0065424372289668575
20240212,236.751,239.0092,235.7594,235.7594,910400,0.000541821222568073
20240213,231.7046,233.7074,230.2613,232.8042,859600,-0.012535006436589113
20240214,234.4438,238.1354,233.5209,236.7117,1024800,0.016784759575160457
20240215,239.0386,240.1481,235.2783,238.047,1187500,0.00564095949363197
20240216,252.0867,256.063,248.7584,250.506,2202400,0.05233839615657043
20240220,248.6112,250.1919,244.9491,246.8047,1115300,-0.014775573587227031
20240221,247.0501,249.2395,246.1174,248.8173,650100,0.008154951686565104
20240222,250.8595,252.5384,249.9562,252.2635,717000,0.01385006573761749
20240223,253.2256,253.2256,251.0264,252.5482,786800,0.0011285154508384743
20240226,253.1372,256.6914,252.8427,256.3281,855800,0.01496719593189444
20240227,257.0546,258.8808,256.5343,258.763,727400,0.009499058201941413
20240228,258.5666,260.275,256.4165,257.5259,1066800,-0.00478067069262289
