datetime,open,high,low,close,volume,return
20230718,211.4128,212.7328,210.1716,212.2403,398700,0.0006967779791970941
20230719,213.5996,214.5551,210.3489,211.797,538800,-0.002088662771261185
20230720,211.2552,212.7722,209.6791,210.4081,469500,-0.006557771049469641
20230721,211.2059,211.9841,210.211,210.6937,468100,0.0013576466742115656
20230724,211.4029,212.191,208.5758,208.7137,388900,-0.009397362678205234
20230725,208.2606,209.3737,207.6203,207.8962,517300,-0.0039172368657308665
20230726,207.7287,208.7827,206.5171,207.6893,653800,-0.000995105720991818
20230727,209.9648,210.4671,205.6798,206.3201,564600,-0.006592695313576202
20230728,205.207,211.2552,202.8822,205.1676,653300,-0.005585963751806311
20230731,205.1084,207.9257,205.1084,207.7976,517700,0.0128191865139764
20230801,206.4678,209.2359,205.7192,208.2409,532800,0.0021333175113997793
20230802,206.458,206.458,203.5521,204.7834,488500,-0.016603604030049124
20230803,204.9213,205.4631,204.0643,205.0198,419900,0.0011544121000091057
20230804,207.0391,207.0391,201.8183,202.0449,444000,-0.01451022861636908
20230807,201.6608,203.9559,201.6608,202.1828,497500,0.0006826412832960926
20230808,201.8578,202.173,199.2868,200.1733,430000,-0.009939054753214549
20230809,200.8333,202.9413,200.2718,201.5524,367400,0.006889399971444998
20230810,202.764,203.8969,200.2029,200.922,388800,-0.003127806338405148
20230811,200.6166,203.6703,200.0453,202.8822,341400,0.009756278714844635
20230814,203.3649,205.1873,202.3601,205.1479,329400,0.011167192761180056
20230815,204.8523,206.3792,202.4389,203.0497,386500,-0.010227623494094673
20230816,202.3601,204.6061,201.6213,201.8085,316400,-0.006112693228198185
20230817,201.6411,202.3798,198.0653,198.1047,435100,-0.018353024507849147
20230818,197.0999,199.5626,197.0999,198.3313,305000,0.0011436502685437944
20230821,198.0948,199.7793,197.7895,198.9124,222000,0.0029302565549746973
20230822,199.0208,201.2963,199.0208,199.9566,286600,0.00524941651628108
20230823,200.6757,203.5619,200.6757,202.1237,322400,0.010837922901361985
20230824,202.8133,203.4634,199.5035,199.5429,307600,-0.012768620558975319
20230825,200.3014,202.9512,199.6512,202.6655,374900,0.015648941879335077
20230828,202.9512,204.8228,202.6655,203.4437,261400,0.003839740542891157
20230829,203.3551,204.35,202.764,204.2515,280400,0.003970483209711606
