datetime,open,high,low,close,volume,return
20230718,25.404,25.9862,25.3894,25.9862,2468300,0.024875744270605793
20230719,26.025,26.5975,25.9474,26.5199,3692300,0.020537587457178264
20230720,26.5005,26.6945,26.4034,26.5587,1512600,0.0014637463852253951
20230721,26.7333,27.6746,26.5587,27.5193,4584000,0.036170822441182304
20230724,27.5193,27.6358,27.2767,27.4611,1939700,-0.0021156001809530256
20230725,27.5873,27.6843,27.2428,27.267,2748800,-0.007067113511738388
20230726,27.3641,27.6988,27.2476,27.5679,2838700,0.011031853866846353
20230727,27.529,27.6649,27.2379,27.267,2048800,-0.01091148001386244
20230728,27.3447,27.5096,26.7625,26.8983,1875000,-0.013523217754269345
20230731,27.17,27.7086,27.0196,27.2282,2792900,0.012265591412107701
20230801,27.1409,27.529,26.9274,27.0633,2377800,-0.006058589882451226
20230802,26.8304,27.2379,26.7256,27.1603,1935100,0.0035856083732792587
20230803,27.1409,27.4708,26.8789,27.1118,4245100,-0.0017861881831239268
20230804,27.1797,27.9948,27.073,27.694,4728100,0.02147451180796689
20230807,27.8201,28.1404,27.7425,27.8493,3243200,0.005606064560998103
20230808,27.7134,28.0239,27.5484,27.9657,4245500,0.004181143098730411
20230809,28.6644,29.8579,28.3247,29.4115,7461000,0.05170030445884888
20230810,29.5377,30.0665,29.5377,29.7803,5922500,0.012537001996223873
20230811,29.7123,29.9355,29.1786,29.2466,4828700,-0.017921039289493956
20230814,29.1495,29.4406,29.0331,29.4212,4458700,0.005972103012548802
20230815,29.1398,29.4212,29.0962,29.3436,3258400,-0.002638474532681956
20230816,29.3824,29.528,29.1253,29.1786,3004500,-0.0056217614323818
20230817,29.1107,29.5425,28.5964,28.8293,3470700,-0.011972142266309826
20230818,28.7226,29.1981,28.6935,28.9749,3267500,0.005048937258052666
20230821,29.0622,29.1301,28.8584,29.1107,3002900,0.004688444832915417
20230822,29.0137,29.0234,28.6061,28.7808,3676900,-0.01133327580634269
