datetime,open,high,low,close,volume,return
20230725,43.0443,43.2762,42.1535,42.1999,13537400,-0.02024968539349925
20230726,43.1278,43.4525,42.7845,43.0906,19520900,0.021108076621015437
20230727,43.202,43.768,42.2927,42.469,19509600,-0.014427288352334977
20230728,42.7288,42.8958,42.2834,42.8123,12616400,0.008083995442372371
20230731,42.9979,43.3133,42.5525,42.8308,11696600,0.0004334854259793186
20230801,42.6917,42.8308,42.07,42.4133,12699200,-0.00974879516103222
20230802,41.8473,41.9122,41.3462,41.8473,13911700,-0.013344826603057913
20230803,41.8099,42.4458,41.6229,42.2214,12145400,0.008938545041585089
20230804,42.1746,42.7357,41.8099,41.9408,10840800,-0.006644516471429496
20230807,42.2494,42.5112,42.0063,42.1372,10860300,0.0046823275424547894
20230808,41.1272,41.6603,40.5662,41.5948,14520000,-0.012872066407315197
20230809,41.3517,41.3797,40.7438,40.8841,11973800,-0.01708601943152621
20230810,41.1459,41.5106,40.7906,40.8373,11982200,-0.001143827622872573
20230811,40.6877,41.0057,40.5662,40.8935,7316000,0.0013741836376772731
20230814,40.7064,41.0618,40.4633,40.9028,10677000,0.00022854528778792904
20230815,40.3324,40.4539,39.762,39.9583,13835900,-0.023090856490872502
20230816,39.8929,39.9583,39.4066,39.4814,10076700,-0.011935556795352187
20230817,39.7152,39.977,39.5188,39.7152,12686000,0.005921363023660531
20230818,39.3692,40.0144,39.3224,39.7432,10797300,0.0007063616152687135
20230821,39.8835,40.0892,39.3879,39.7339,12600400,-0.00023525567905868794
20230822,39.7058,39.8087,38.7427,38.8081,13634500,-0.0232995369336082
20230823,38.8642,38.939,38.5463,38.911,11927400,0.0026505623094463804
20230824,38.7613,39.444,38.7052,38.7426,10363300,-0.004325960527742478
20230825,38.939,39.0886,38.1255,38.5556,12534700,-0.004827418888571189
20230828,38.7239,39.3411,38.6117,39.1635,10314500,0.015765315632815025
20230829,39.1541,39.6217,38.9484,39.2757,14404800,0.0028652508078241823
20230830,39.3318,39.3972,38.7801,38.8455,12536300,-0.010952339974370284
20230831,38.9764,39.0045,38.4434,38.6117,21534900,-0.006018392402012851
20230901,38.8549,39.2663,38.8175,38.9484,12890300,0.008718876187630897
20230905,38.9484,39.5375,38.6304,38.8455,14337200,-0.0026410167282675534
20230906,38.5369,38.7146,37.9665,38.3592,18775400,-0.012518071576898104
