datetime,open,high,low,close,volume,return
20230718,29.367,29.8557,29.2959,29.6247,5126500,0.009996994431439754
20230719,29.6335,29.8379,29.4914,29.6069,5400500,-0.0005999926473698736
20230720,29.9001,29.909,29.5625,29.8557,4864300,0.008403458248902318
20230721,29.989,30.1845,29.7935,30.0778,4344700,0.007440563557829627
20230724,30.2022,30.451,30.1667,30.1756,5640600,0.003249447919800419
20230725,30.1578,30.3089,29.9712,30.1933,4576000,0.0005888491589178813
20230726,30.0334,30.5132,29.9357,30.2733,4586900,0.002648893500103444
20230727,30.2555,30.5754,30.1311,30.2555,7467900,-0.000587136870116356
20230728,30.4066,30.4066,30.0068,30.2644,5400300,0.0002938985044020903
20230731,30.4333,30.7798,30.3266,30.611,6831200,0.011450039865053219
20230801,30.6465,30.6465,30.0334,30.3,5521100,-0.010159535551271137
20230802,30.1311,30.1489,29.5625,29.9268,6000500,-0.01231657332610181
20230803,30.2378,30.9575,30.1845,30.6021,8534700,0.022565029548282656
20230804,30.6821,31.1619,30.5221,30.531,7617900,-0.002322631279152443
20230807,30.6909,30.922,30.4955,30.6287,4119700,0.003201529227331079
20230808,30.3089,30.9575,30.2111,30.9486,5682200,0.010443643265765967
20230809,31.073,31.5084,31.073,31.3307,8472600,0.012345562601041582
20230810,31.3662,31.4995,30.9842,31.153,5949600,-0.0056719978088811684
20230811,31.1797,31.464,31.1441,31.4373,4572100,0.009127270743575888
20230814,31.4462,31.4729,31.0819,31.1263,5002300,-0.009892600619649583
20230815,30.9664,31.0286,30.762,30.8864,4711800,-0.007707746829709317
20230816,30.7887,30.8864,30.611,30.6287,6196900,-0.008342729147005845
20230817,30.8331,31.1441,30.7531,30.7531,4924500,0.0040612680619380725
20230818,30.4955,31.0108,30.451,30.8953,4328400,0.004622817053019812
20230821,30.9397,31.0819,30.6465,30.9486,5960600,0.001725764564819432
20230822,31.073,31.2241,30.762,30.7709,5780800,-0.005742145071931493
20230823,30.6376,30.8864,30.3533,30.8331,6137000,0.002021345307267941
20230824,30.6998,31.0908,30.6643,30.6732,4446700,-0.005187427739317796
20230825,30.8598,31.0641,30.6998,30.8064,4247500,0.00434528388485389
20230828,30.922,31.1974,30.7798,30.9842,4003800,0.005768831186199197
20230829,31.0019,31.0552,30.7798,30.993,3932000,0.0002866794048272947
20230830,31.0552,31.1086,30.922,31.0997,4164200,0.003440336201890437
20230831,31.1263,31.1619,30.6821,30.6821,10242300,-0.013428610171720257
20230901,30.993,31.1619,30.7087,30.8242,5250200,0.0046335278910267785
20230905,30.8331,30.9842,30.5843,30.6021,6534700,-0.007206588647679868
20230906,30.4688,30.5043,29.8113,30.0689,8081700,-0.017421448597673583
20230907,30.0956,30.531,30.0512,30.3799,6450200,0.010342670006092014
20230908,30.4862,30.7563,30.4232,30.4502,6114500,0.002311864296962396
20230911,30.6302,30.7473,30.2071,30.3331,5282500,-0.003843990173045375
20230912,30.4232,30.7833,30.3691,30.7563,4599200,0.01395088426025981
20230913,30.8013,30.8823,30.5672,30.8463,4134900,0.0029272271316660436
20230914,31.0894,31.3685,31.0174,31.2605,4744200,0.013426859159702209
20230915,30.9364,31.3595,30.8733,30.9184,10848800,-0.010944992600142145
20230918,31.0444,31.0984,30.6933,30.9994,4554900,0.002621263592048395
20230919,31.2335,31.2335,30.6933,30.8733,5109500,-0.00406623870673839
20230920,30.7833,31.0894,30.7833,30.8733,4624500,0.0
20230921,30.9634,30.9904,30.036,30.117,5504300,-0.02449704306514211
20230922,30.2521,30.5132,30.1531,30.2701,5599700,0.005082266292159687
20230925,30.1801,30.6392,30.1531,30.5762,4871000,0.010112819884649626
20230926,30.3241,30.4952,30.1531,30.2341,7772700,-0.011189623439210039
20230927,30.4412,30.8643,30.3421,30.7023,5594800,0.015485478318683743
