datetime,open,high,low,close,volume,return
20230829,399.2526,409.0385,398.4693,408.8997,267900,0.022411232246926316
20230830,411.1207,412.1915,405.3205,405.6378,309600,-0.007977489372763769
20230831,405.489,408.0272,403.2284,403.4366,428300,-0.005426371985785661
20230901,406.9168,406.9168,401.2157,404.2199,258000,0.001941555745388568
20230905,402.9608,403.1988,399.2626,400.2342,264000,-0.009860195305899877
20230906,400.5811,402.6831,397.1109,401.4041,394800,0.002922940554141773
20230907,401.8404,402.5939,398.4991,400.4225,230200,-0.0024453348228558047
20230908,399.8871,399.8871,388.6535,389.8136,304300,-0.026494307427495256
20230911,390.4085,396.7441,389.0303,393.7696,210300,0.01014850221694874
20230912,391.3009,393.0162,387.3647,390.468,239400,-0.008384611288980381
20230913,387.1068,392.1535,386.1847,391.9056,280000,0.0036816358073901156
20230914,394.6124,395.5345,388.604,394.5132,219600,0.006653811933098774
20230915,394.7214,397.1902,389.8928,390.8248,648100,-0.009349281874714288
20230918,389.9227,392.9566,388.1777,391.2414,229000,0.0010657829104299132
20230919,391.8759,395.4651,388.9411,389.2683,291400,-0.005043136232617984
20230920,391.3603,391.3603,380.2259,381.0687,286000,-0.02106417578616604
20230921,378.7783,378.7783,368.903,371.114,362000,-0.026122904576955985
20230922,370.8166,373.1962,368.209,369.3393,381400,-0.004782139792519624
20230925,368.8832,372.6112,367.2176,372.403,201300,0.008295138091590992
20230926,372.403,374.9809,370.3209,372.2047,235500,-0.0005326601383294216
20230927,375.7146,375.8534,365.3139,371.9866,295500,-0.0005858284610634756
20230928,373.3449,377.0332,372.3832,375.8534,194800,0.010394808281193102
20230929,377.1423,377.1423,371.6693,372.0163,228500,-0.010208864706722443
20231002,370.1623,370.1623,362.5377,367.4258,345700,-0.012339716942197376
20231003,367.049,371.4611,364.2431,365.6906,262300,-0.0047223348347693594
20231004,367.3464,371.0248,363.7969,370.5985,301600,0.01342073417474543
20231005,369.5972,371.6595,362.6964,369.5575,360800,-0.002808847432976158
20231006,367.0987,375.5263,365.78,374.3464,310100,0.012958496526038088
20231009,370.9456,379.8491,370.8564,379.6508,189100,0.01416979657906392
20231010,379.3435,386.8193,376.9738,383.9836,210800,0.011412495692461277
20231011,384.1323,389.2881,380.0177,388.8716,349000,0.012729790679422592
20231012,389.1592,391.0728,379.3931,381.6834,289700,-0.018484845964063967
20231013,382.9524,387.8702,380.9001,381.7825,201700,0.0002595346190876757
20231016,384.3406,387.2457,380.1169,382.5262,393000,0.0019480029492620066
20231017,379.1551,387.3646,378.0248,383.2896,322200,0.0019957528821381576
20231018,380.1466,381.7726,371.0249,371.8577,344500,-0.029825709889316876
20231019,372.5419,373.6623,365.1057,366.1864,367400,-0.015251250017029094
20231020,366.1666,366.5136,359.008,360.5647,348400,-0.015352193984314089
20231023,359.5832,369.6963,355.6668,367.3961,392600,0.018946366660028247
20231024,368.2685,370.2317,361.8437,366.5731,281800,-0.0022400009834839807
20231025,359.0577,361.1596,349.9954,354.9529,572100,-0.03169956843511501
20231026,325.2082,329.66,313.8755,324.534,1037700,-0.0856983727070948
20231027,322.9575,325.6444,316.2947,318.1884,486700,-0.01955280680588245
20231030,321.3414,321.3414,307.7778,317.1375,732100,-0.0033030579397546056
20231031,319.7749,325.6842,315.1546,315.5809,674400,-0.004908025050134879
20231101,315.6503,320.9944,311.7438,318.942,565500,0.010650465972391832
20231102,321.5992,328.8271,320.1913,324.9702,500400,0.01890070434745006
20231103,329.3625,337.3737,329.3625,332.1486,334300,0.02208914296446718
20231106,335.7675,335.7675,329.2237,330.1954,289100,-0.0058804591466029565
20231107,331.1874,331.1874,326.7032,327.7846,436000,-0.007301030828361421
20231108,331.3165,343.1818,328.241,342.5667,534100,0.045097006325200084
20231109,341.8821,341.8821,333.3701,333.38,813900,-0.02681727744278828
20231110,334.0546,340.6519,332.5169,338.9456,413400,0.016694317824396343
20231113,335.1459,339.1836,331.6438,335.4534,492800,-0.01030300269174056
20231114,344.402,348.0529,340.0964,344.7294,281600,0.027652129881569065
20231115,343.906,350.0073,342.2691,343.2413,406800,-0.00431662522608478
20231116,345.2453,351.5848,340.7214,341.5052,357600,-0.005058088442663533
20231117,342.7254,343.529,338.5587,340.0369,353900,-0.004299562072704544
20231120,340.404,346.4854,340.2056,346.2672,275400,0.018322472646649768
20231121,347.2989,350.791,345.4338,349.6997,566500,0.009913027675624297
20231122,353.6978,355.6522,347.6858,348.3902,502000,-0.003744754869136946
20231124,349.3625,351.5451,347.5271,350.4637,114800,0.005951708340450557
20231127,349.3525,352.4478,348.3703,351.0985,339900,0.0018113034706128683
20231128,349.5609,353.9657,347.9636,349.6303,468200,-0.004181734295853667
20231129,352.6165,353.1522,345.7909,346.158,378300,-0.009931318707696146
20231130,345.4735,348.5688,343.8267,347.9835,640500,0.005273604489008266
20231201,347.537,352.3586,346.1977,349.0053,271800,0.0029363159188979804
20231204,346.4953,351.2176,344.0647,348.1025,435700,-0.0025867844633088444
20231205,345.662,346.2473,337.7055,340.7512,366200,-0.021118257349261094
20231206,342.279,344.3524,338.7174,340.2154,276100,-0.001572310286783618
20231207,340.4039,341.8722,334.7987,338.4892,389500,-0.005073833134541572
20231208,337.8939,339.5606,335.622,339.5309,470700,0.0030772795485598525
20231211,340.3344,343.6877,337.6161,341.4059,628700,0.0055225055899617015
20231212,341.9417,347.2295,338.6876,345.0171,339300,0.01057745605263305
20231213,345.2354,358.4896,345.2354,356.8329,425300,0.034246807378448096
20231214,358.8765,366.0394,353.5887,355.1761,712200,-0.004642982770701631
20231215,356.7634,361.0691,353.4598,355.3646,1081800,0.0005307426014378169
20231218,357.6067,358.5194,352.805,353.3903,253800,-0.005555628550845126
20231219,355.1661,359.2039,352.3188,355.4736,371600,0.005895218039128958
20231220,355.3149,358.8567,346.1382,346.7235,445100,-0.024615475748959503
20231221,349.2335,353.5193,347.9041,350.9597,320300,0.012217910853690617
20231222,352.4776,357.5173,350.1065,352.1204,479600,0.00330714607198046
20231226,352.4181,355.7217,350.8506,354.5114,236300,0.006790179577009781
20231227,354.4121,356.5153,351.0887,353.0629,223000,-0.004085781175053538
20231228,354.4419,355.9697,350.8902,352.1204,197100,-0.0026695098565886477
20231229,352.7256,353.7177,348.0628,349.3327,254500,-0.007916950540552747
20240102,346.8624,353.3804,343.4695,345.9298,730200,-0.009740949824725953
20240103,343.2116,344.5509,334.3324,335.5923,509000,-0.029883209537107103
20240104,333.9454,339.8384,333.9454,337.6261,503600,0.006060187201785361
20240105,336.1181,338.886,334.6994,336.7927,427900,-0.002468334132971872
20240108,338.0626,349.4319,338.0626,349.0648,422300,0.03643821361751298
20240109,346.5053,351.0193,342.0806,346.5747,670800,-0.007133754152876204
20240110,349.3029,354.3427,349.0847,354.3328,258700,0.02238503560937466
20240111,352.1304,355.0075,346.6144,351.8229,337600,-0.00708350526411794
20240112,353.2217,355.3646,343.7572,344.025,351400,-0.022164140239190888
20240116,342.279,345.3048,339.8583,343.7572,381700,-0.0007785851731550997
20240117,340.8305,342.8246,336.6737,336.8225,228900,-0.020173052142466896
20240118,337.1499,341.4655,335.4534,340.1559,314800,0.009896528957458628
20240119,340.7313,340.7313,337.1003,340.0269,385800,-0.0003792313974528838
20240122,342.1103,347.1203,340.771,344.3623,304800,0.012750132337079112
20240123,345.7314,349.2335,344.2929,348.8466,323500,0.013021992785577918
20240124,351.1779,352.805,345.91,345.9496,421600,-0.00830434419370829
20240125,347.0608,351.7336,346.2474,351.4161,382100,0.01580132035083026
20240126,356.1384,361.575,355.1662,358.4995,503200,0.020156830930379677
20240129,357.6066,368.6088,357.3685,367.5672,557600,0.025293273449000564
20240130,367.7657,377.5231,367.7657,373.3144,605700,0.015635926980754
20240131,372.4906,376.3122,368.3911,370.2771,688700,-0.008136180473313992
20240201,370.6642,378.8236,365.7507,378.6846,484300,0.022705973236000654
20240202,376.5107,382.2679,374.4957,378.2081,620100,-0.0012583070507745653
