datetime,open,high,low,close,volume,return
20230718,219.886,221.0027,218.028,219.8282,590000,-0.005617389286492469
20230719,219.241,220.7716,217.9028,218.259,669400,-0.007138225357129935
20230720,219.5586,223.5923,219.1062,223.4479,981000,0.0237737125400872
20230721,224.8245,226.23,223.804,224.8726,561300,0.006376247714147354
20230724,225.3155,225.5657,222.4467,223.5826,538600,-0.005736551156212855
20230725,222.3793,225.0652,222.3793,224.3047,469800,0.003229368271850941
20230726,224.3047,225.017,222.6392,224.2373,662600,-0.00030047557726076146
20230727,208.6418,212.5985,203.3182,204.329,1787100,-0.08878200589522878
20230728,204.2424,205.1666,198.7551,201.2966,1166300,-0.014840966336335581
20230731,201.6817,205.1184,200.7767,203.4434,896500,0.010664732792694531
20230801,203.1064,205.8982,202.3266,204.666,623900,0.006009586537446099
20230802,204.5023,206.0715,202.9813,205.2051,461800,0.00263416304896702
20230803,204.1846,208.0738,203.2219,205.8115,615300,0.0029553131576796066
20230804,205.8116,206.9764,204.4734,204.82,653000,-0.0048176665815297115
20230807,206.8609,206.8609,202.7117,203.7033,667500,-0.00545217477593074
20230808,199.8429,201.4795,195.6938,195.8478,928600,-0.03856336291383178
20230809,195.7901,197.5421,194.269,194.7407,963400,-0.0056527881941074165
20230810,195.6842,196.8683,193.1716,193.6529,870000,-0.00558596227957342
20230811,192.671,196.4928,192.1511,196.2617,726300,0.013471736443027682
20230814,196.0981,198.0619,193.701,194.3749,663200,-0.009614055438373348
20230815,192.979,193.8455,188.9839,189.1668,844400,-0.026793861657117723
20230816,189.1476,190.736,188.002,189.1091,939200,-0.00030539062857315447
20230817,190.6686,191.7853,188.2137,189.0705,563300,-0.00020373663477590842
20230818,188.3582,192.6325,188.3582,191.5157,1610100,0.012932851023402137
20230821,192.0164,193.7877,190.5146,193.4219,700900,0.00995285222675557
20230822,193.3833,193.7299,191.458,193.0079,811500,-0.0021402488589546964
20230823,193.1234,196.358,193.1234,195.2028,1055600,0.01137207578864552
20230824,194.6156,198.1005,194.6156,197.494,799300,0.01173752977355802
20230825,198.447,199.1113,196.3388,197.9272,493500,0.002193469240862722
20230828,198.2352,199.1113,197.7154,198.7936,414300,0.004377259834880798
20230829,198.8417,199.9392,197.2533,199.8814,436100,0.0054723100833458105
20230830,200.6323,201.8068,200.2184,200.7671,289700,0.0044310324953069635
20230831,200.8345,201.6239,198.7936,199.0439,692300,-0.00858318245584222
20230901,200.0933,201.4795,199.2654,200.1125,447600,0.005368682577639117
20230905,200.074,200.1414,196.5024,196.5024,387900,-0.018040236613117377
20230906,196.3292,197.7732,194.7985,196.9068,290100,0.00205762035871615
20230907,197.0126,197.3496,195.2028,196.2521,445100,-0.0033245041005524056
20230908,196.7431,196.7431,193.5277,195.2509,380700,-0.005101550509346464
20230911,194.9525,196.4735,194.3845,195.0103,478900,-0.0012325759540154912
20230912,194.4615,197.1185,194.4615,195.9826,312200,0.004985839808065551
20230913,196.9452,196.9452,193.8936,195.6167,490400,-0.0018666428317722916
20230914,196.4447,197.6384,195.1547,197.571,500800,0.009990219142228307
20230915,198.2545,199.3327,197.1185,197.417,1057300,-0.0007795018432558143
20230918,197.417,200.8345,196.1174,200.5746,694100,0.015994456605080254
20230919,201.0174,205.8115,201.0174,205.3976,795300,0.024046062128490586
20230920,206.4373,208.8248,205.696,206.7646,670700,0.0066554802239993105
20230921,205.9656,207.6695,202.9043,204.3964,620600,-0.011453577521640113
20230922,204.3675,206.3218,204.0017,205.0029,651100,0.002967154807155037
20230925,204.021,206.2448,203.3182,205.9175,477500,0.004461234664203451
20230926,204.8007,207.6695,203.8862,205.2821,993600,-0.0030855856540126236
