datetime,open,high,low,close,volume,return
20230718,3.47,3.48,3.14,3.46,5795300,-0.0028818416083016274
20230719,3.45,3.87,3.44,3.78,8099200,0.0924855288192934
20230720,3.86,4.04,3.41,3.44,7803400,-0.08994706792135387
20230721,3.5,3.73,3.24,3.65,6029100,0.061046521701704215
20230724,3.41,3.63,3.26,3.41,5211700,-0.06575342555233088
20230725,3.44,3.86,3.42,3.46,8132900,0.014662742245680649
20230726,3.61,3.74,3.42,3.64,7815800,0.05202314010771003
20230727,3.72,3.77,3.3,3.34,6744800,-0.08241763244200817
20230728,3.45,3.55,3.36,3.42,5835100,0.023952144964210387
20230731,3.46,3.46,2.83,2.92,12198900,-0.1461988271479283
20230801,2.83,2.86,2.62,2.78,8212700,-0.04794524015282309
20230802,2.85,3.03,2.74,2.85,6283100,0.02517983236086274
20230803,2.81,2.89,2.71,2.73,4468800,-0.0421052244121225
20230804,2.76,2.76,2.6,2.63,3900200,-0.03663000144099138
20230807,2.58,2.58,2.22,2.41,6399300,-0.08365019735255674
20230808,2.49,2.77,2.4,2.75,7965300,0.1410787975354444
20230809,2.82,2.88,2.57,2.58,6250700,-0.06181820956143469
20230810,2.56,2.77,2.44,2.51,6879800,-0.027131757873173123
20230811,2.46,2.64,2.43,2.55,5332100,0.01593623984263237
20230814,2.45,2.56,2.11,2.52,7867300,-0.011764694882648974
20230815,2.5,2.65,2.3,2.31,3873300,-0.08333334910175805
20230816,2.16,2.24,2.08,2.11,6624700,-0.08658010936704308
20230817,2.03,2.12,1.96,2.0,6584600,-0.05213265429609393
20230818,1.85,2.03,1.83,1.97,7301200,-0.014999985694885254
20230821,2.0,2.17,1.97,1.99,5232200,0.010152274434545472
20230822,2.0,2.06,1.83,1.87,5229200,-0.06030150964487013
20230823,1.87,2.12,1.86,2.08,7247800,0.11229942160545336
20230824,2.1,2.11,1.87,1.88,4005800,-0.09615381529345202
20230825,1.88,1.99,1.86,1.9,2662900,0.01063828775385156
