datetime,open,high,low,close,volume,return
20230725,105.194,105.9212,103.9336,105.5237,1270000,0.012370862520955761
20230726,105.8824,106.8325,104.8256,106.1926,1003900,0.006339509154558387
20230727,106.6677,107.7051,104.4378,104.8547,1997800,-0.012599217753152536
20230728,106.0084,106.2799,104.7868,105.6594,1661300,0.007674529794529317
20230731,105.6788,106.2023,105.0777,105.6594,1359900,0.0
20230801,105.4849,106.8325,104.845,105.8145,2699100,0.0014681217140197766
20230802,104.5347,104.5347,101.2674,101.9558,1905300,-0.03646689239270562
20230803,101.0735,103.5943,99.0181,102.3921,1614200,0.004279177634623821
20230804,103.3325,103.5555,100.8796,101.0056,1939400,-0.01354046656464547
20230807,102.1497,102.4308,101.0444,101.8297,1650500,0.008158917610990635
20230808,100.0264,100.7439,99.3575,99.9295,1618200,-0.018661159522641246
20230809,101.7231,101.7231,98.1164,98.4558,3398400,-0.014747339203155074
20230810,99.9295,103.4101,99.6192,101.0444,4171000,0.02629247296896442
20230811,100.8214,100.8214,96.5749,97.4863,3148100,-0.03521395761658308
20230814,96.9627,97.4669,96.2259,96.8658,1971400,-0.0063649080375697276
20230815,95.7702,95.7799,92.2217,92.5804,3222100,-0.044239822834665876
20230816,92.5804,93.3173,91.3976,91.9212,2645500,-0.007121229089826042
20230817,92.1539,93.0652,91.3879,91.9018,1810500,-0.00021081831619407243
20230818,91.0074,92.1545,90.4047,91.2602,1805900,-0.006981384055072093
20230821,91.3768,91.9504,90.1325,91.5712,2026000,0.0034085590010008993
20230822,92.5433,93.3016,91.2699,92.3878,2296400,0.008917447932397016
20230823,91.8629,93.8071,91.2602,93.3988,1298600,0.01094277067442162
20230824,93.4474,94.7305,92.7475,92.8252,1494000,-0.006140924902019451
20230825,92.9516,93.6321,91.8143,92.8155,1706200,-0.00010462907636277219
20230828,93.4279,94.1473,93.2238,94.089,1209800,0.013720090975171795
20230829,93.6321,95.7318,93.6126,95.3333,1082900,0.013224564276834716
20230830,94.8861,97.1705,94.7986,96.6164,1263500,0.013459703957898528
20230831,97.2677,99.2605,96.5581,98.5509,2924300,0.020022021989455574
20230901,99.0758,99.9215,97.8607,98.8036,1946900,0.0025648630255072913
20230905,97.6566,97.6566,93.6807,94.6917,3084700,-0.04161751113286938
20230906,93.9529,94.5264,92.8252,93.1558,1896200,-0.016220213840036246
20230907,91.9115,92.2031,89.3063,91.824,3111300,-0.014296020732325831
20230908,92.3489,93.0586,91.7657,92.067,1466700,0.002646575085237135
20230911,92.6017,93.2627,91.2505,92.66,1068600,0.006440654032746629
20230912,92.8155,94.4486,92.3295,92.6503,1292600,-0.00010498035014860907
20230913,92.0962,92.9905,91.9504,92.6211,1260800,-0.0003147270780160527
20230914,93.7293,95.1388,92.7572,94.9833,2066800,0.02550380217253112
20230915,95.5277,96.6845,93.8946,94.332,3658700,-0.006856899591554777
20230918,94.332,95.6929,94.1376,94.4972,1268300,0.001751739122135998
20230919,94.0598,94.5653,91.4351,92.0767,2036900,-0.025614682709261594
20230920,92.2031,92.7475,90.8616,91.0755,1061300,-0.010873930630861839
20230921,89.9187,89.9867,87.6829,87.8384,2358400,-0.03554294314353812
20230922,88.4022,90.8713,88.2467,89.0049,2611300,0.013280286767614946
20230925,87.4885,88.9369,87.4398,88.1203,1387800,-0.009938837068544037
20230926,87.5079,89.1021,87.5079,88.1495,1454000,0.00033099263331437534
20230927,88.8397,89.7243,87.6731,89.6368,2050000,0.016872355715531917
20230928,89.4229,90.0353,88.48,88.8202,1290400,-0.00910947102917381
20230929,89.9673,91.6296,89.2188,89.8312,1326800,0.01138213058153581
20231002,90.327,91.3282,89.7729,90.0451,1712300,0.002380682625985342
20231003,89.0924,89.9284,87.3232,87.712,1315300,-0.025909339510615914
20231004,88.0425,88.2467,84.1833,85.7484,2289300,-0.02238732814147637
20231005,84.9707,87.4593,84.9707,86.9927,1513600,0.014510710934882987
20231006,86.8469,91.2796,86.2733,89.8312,2470600,0.0326293703448004
20231009,90.8908,91.0171,87.0996,90.4728,1622800,0.007142047877955804
20231010,90.8908,92.3198,90.5408,91.3671,1674800,0.0098850212004995
20231011,91.5518,93.0877,91.5032,92.0864,2029400,0.007873214254102479
20231012,91.8532,92.3878,90.3659,90.9394,1105400,-0.012456218768006955
20231013,90.5506,90.6186,87.5759,87.7606,1500700,-0.034954670073489846
20231016,88.4119,88.898,87.3426,87.7995,1479800,0.0004429293565493264
20231017,87.4107,88.5189,87.0705,87.7801,1355000,-0.0002213231806791338
20231018,87.0996,87.3621,84.1153,84.3,2029600,-0.03964552291506218
20231019,86.3705,87.7412,85.1165,85.7581,2179400,0.017296915326115103
20231020,85.729,86.0984,84.6888,85.1554,1106400,-0.0070279860600370725
20231023,85.136,88.7036,84.8152,87.3329,2371400,0.025570687643792445
20231024,87.887,89.8798,87.7995,88.8688,1335000,0.01758694800984517
20231025,87.7412,88.9466,86.3122,86.458,1518500,-0.027127506414288072
20231026,86.5164,87.2746,84.6013,85.0971,2183400,-0.015740948359047158
20231027,85.9331,86.7497,84.6305,84.8444,1587500,-0.002970006671240921
20231030,85.9525,86.215,84.3389,85.622,1343100,0.009165863361365156
20231031,85.3693,85.6901,84.3972,85.3304,1471700,-0.003405879769405651
20231101,84.8346,85.5929,83.4445,84.5138,1773400,-0.009569465689260093
20231102,85.7095,88.548,85.6415,87.2454,1839800,0.03232112520276642
20231103,88.9174,90.7644,87.9065,90.1714,1866100,0.03353760194301336
20231106,90.4436,93.2335,90.4436,92.485,2470600,0.025657609178480367
20231107,91.8337,91.8337,90.0548,90.5797,1994000,-0.020601300292455216
20231108,90.5019,91.3963,89.7145,90.3075,2621400,-0.0030048524893275808
