datetime,open,high,low,close,volume,return
20260330,15.52,15.6,10.75,11.0,220300,-0.3137866794251587
20260331,12.0,12.07,10.3,10.7,107100,-0.027272744612260258
20260401,11.06,11.51,10.02,10.46,77000,-0.022429885551058404
20260402,10.55,11.8,9.75,11.59,94900,0.10803060328105896
20260406,11.77,11.8,11.0,11.52,53400,-0.006039662976931814
20260407,11.69,11.69,10.15,10.55,57400,-0.08420140872260962
20260408,11.3,11.3,10.25,10.52,35300,-0.0028435765335376173
20260409,10.6,10.75,10.2,10.75,16900,0.021863073405723243
20260410,11.06,13.03,10.9,12.44,79300,0.1572092632914699
20260413,12.97,17.8,12.97,16.0,205300,0.28617367682475514
20260414,17.5,22.1,16.65,20.48,260800,0.2799999713897705
20260415,24.0,38.5,22.35,34.43,362900,0.6811523962278454
20260416,42.44,57.0,36.5,44.5,622000,0.29247747910447797
20260417,52.25,54.35,37.32,41.52,617400,-0.06696628184800735
20260420,40.91,43.91,36.25,37.35,217700,-0.10043357267985875
20260421,36.54,36.54,28.5,31.28,173200,-0.16251668100284766
20260422,36.4,47.95,33.15,47.0,242800,0.5025575117735177
20260423,46.39,46.39,38.0,39.5,147300,-0.15957446808510634
20260424,44.0,47.6,40.87,42.22,184800,0.06886079039754756
20260427,43.25,43.25,36.5,39.04,117500,-0.07531975872176022
20260428,36.5,39.49,33.4,37.56,113300,-0.03790982345104632
20260429,38.0,40.0,36.0,38.71,37300,0.030617616324141173
20260430,38.7,44.0,37.71,39.45,121200,0.019116551174593654
20260501,41.25,52.27,39.77,48.89,218500,0.239290201372498
20260504,19.0,21.95,16.39,19.06,1555500,-0.6101452300288228
20260505,19.5,20.11,17.93,18.43,391700,-0.0330534721101291
20260506,18.53,20.4,17.01,20.05,745400,0.08790010336732412
20260507,20.5,26.63,19.69,23.53,1149600,0.17356616369104416
20260508,25.01,25.05,20.55,21.5,768600,-0.08627286984303562
20260511,20.56,21.65,19.5,20.17,319100,-0.06186046156772351
20260512,21.11,21.11,19.1,19.36,301100,-0.040158624832846934
20260513,19.99,21.36,18.75,20.38,250200,0.05268587387696977
20260514,20.84,21.25,19.72,20.74,218800,0.01766440751600218
20260515,19.3,19.7,18.56,18.78,461100,-0.09450333202038341
20260519,17.4,17.4,16.01,16.1,423500,-0.14270501635718968
20260520,16.39,20.22,16.38,19.46,392600,0.20869556667030364
20260521,20.5,21.48,19.1,19.9,496700,0.022610511549751244
20260522,20.48,22.33,20.21,20.93,746300,0.05175882946683097
20260525,21.96,22.07,21.05,21.85,198100,0.043956046960325956
20260526,22.15,25.22,22.1,24.78,815900,0.13409612146554561
20260527,26.56,26.6,23.0,23.69,488300,-0.043987091298803516
20260528,24.0,24.55,22.28,23.83,437000,0.005909640628634305
20260529,24.47,24.47,22.26,22.49,352500,-0.05623164737213704
20260601,22.5,22.75,21.6,22.3,321800,-0.008448223032070379
20260602,22.05,24.0,21.79,23.42,473800,0.050224254598720375
20260603,23.1,23.1,20.26,20.53,674400,-0.12339877797753451
20260604,20.08,20.79,19.6,20.15,223300,-0.018509549703153216
20260605,19.49,19.49,17.62,18.06,544500,-0.10372209390346054
20260608,18.67,18.98,17.83,18.2,258600,0.0077520100297392425
20260609,18.18,18.2,16.52,16.73,393800,-0.08076929445500236
20260610,17.07,17.32,16.38,16.52,275400,-0.012552246874992123
20260611,16.28,17.44,16.25,17.4,293100,0.053268712856060496
20260612,17.64,17.64,16.41,16.46,271200,-0.054023020383089926
20260615,17.79,19.85,17.7,19.55,479600,0.1877278447422761
20260616,19.07,19.41,17.95,18.91,260500,-0.03273654294754158
20260617,18.74,20.34,18.74,19.2,277900,0.015335849702136972
20260618,19.79,20.0,17.92,18.84,269100,-0.01875003104408457
20260619,18.33,18.98,18.33,18.6,60100,-0.012738841251293542
20260622,18.41,19.1,17.72,17.83,316800,-0.04139787322428157
20260623,17.26,18.42,17.12,17.45,269700,-0.02131234786273717
20260624,17.36,17.36,16.65,16.83,232000,-0.03553013250006065
20260625,17.24,17.99,16.3,17.25,228800,0.02495544136648209
20260626,16.64,16.8,15.6,15.84,612600,-0.08173912158910779
20260629,16.01,16.05,15.12,15.62,152500,-0.0138889056129754
20260630,15.55,17.22,15.52,17.17,299700,0.09923176709929815
20260702,17.0,17.48,16.2,16.46,226400,-0.041351251523962684
20260703,16.56,16.97,16.56,16.75,40100,0.017618525617107306
20260706,16.75,17.42,16.52,16.84,161200,0.005373143438083039
20260707,16.64,17.0,15.9,16.12,171500,-0.04275530325597099
20260708,15.6,16.1,15.5,15.87,116600,-0.01550874321705098
20260709,16.02,16.37,15.79,16.02,119900,0.009451831965108237
20260710,16.0,16.0,15.6,15.88,108400,-0.008739097335974555
