datetime,open,high,low,close,volume,return
20230725,95.0374,95.9692,94.567,95.5983,14116100,0.0015163910022031324
20230726,95.0826,95.6344,94.6575,95.0645,15159600,-0.005583045902410433
20230727,95.8877,96.7833,94.7479,95.3631,17677900,0.003140293572385877
20230728,95.0826,95.1279,92.5588,94.2233,17566400,-0.01195222597768264
20230731,95.155,97.5703,95.155,97.0094,24197000,0.029569880501533863
20230801,96.7471,97.0818,95.4626,96.4486,14177400,-0.005781338304592709
20230802,96.1229,96.2315,94.5942,95.2455,13484100,-0.012474260802196824
20230803,95.7882,97.5884,95.2545,96.9009,16280400,0.017380466140100026
20230804,97.6607,98.8186,97.0908,97.1723,14279600,0.002800489693994823
20230807,97.6065,98.0769,96.3491,96.9732,12410800,-0.0020480409077425765
20230808,95.9239,97.4708,94.8384,97.4527,14065600,0.004944188955300355
20230809,98.3392,99.8861,97.9774,99.1081,19919600,0.016986813138635926
20230810,99.678,100.9806,98.9996,99.6147,15837200,0.00511135310367794
20230811,99.8409,101.3787,99.5514,101.1616,14047000,0.015528660543218553
20230814,101.0259,101.2973,100.2117,101.243,12973400,0.0008047845728733627
20230815,101.0059,101.1062,98.4704,98.6437,14909600,-0.02567339255409895
20230816,98.7532,99.7108,96.9291,96.9839,13695100,-0.01682695858773675
20230817,97.9688,100.4586,97.9688,98.8626,16709500,0.01937173985758811
20230818,98.1695,100.5042,98.1512,100.3583,16224000,0.015129202008408837
20230821,100.6502,101.2156,98.6255,99.1453,11092400,-0.012086514043270657
20230822,99.5649,100.0665,98.4522,98.589,10518800,-0.00561123561456689
20230823,97.6223,97.8594,96.4184,97.7226,11435600,-0.008788015221488421
20230824,97.0568,98.288,96.7376,96.993,10818500,-0.007466411298510667
20230825,97.978,99.346,97.2392,98.7258,13579300,0.01786571952531979
20230828,98.9082,100.3583,98.8991,99.5557,10382100,0.00840644534585655
20230829,100.0117,100.3401,98.8808,100.1485,9665000,0.005954415869266594
20230830,100.7231,101.3615,100.3036,101.1244,11922100,0.009744207784609493
20230831,101.3433,101.6169,100.8873,101.4071,17479800,0.002795788534664112
20230901,102.3283,103.8057,102.3283,103.5321,14843500,0.02095513298739138
20230905,104.0611,105.6389,103.5139,103.5413,18304000,8.813452807210354e-05
20230906,103.4957,104.508,103.2677,104.435,13325500,0.008632075193643063
20230907,104.5627,105.6571,103.6963,103.9243,13248500,-0.004890452276431256
20230908,104.4533,105.8395,104.2617,105.4382,14283200,0.014567781707330862
20230911,105.9581,106.4141,103.5777,104.1158,14383600,-0.012542183423707165
20230912,105.192,107.317,105.1282,107.1528,20145800,0.02916968235984907
20230913,107.0799,107.5815,105.7027,106.1952,13472800,-0.00893701256655699
20230914,107.2076,108.2199,107.0069,108.0922,15210700,0.017863357285824888
20230915,107.5268,108.0831,106.2499,106.4323,34568400,-0.015356160956937481
20230918,107.1893,107.8369,106.4323,107.2896,14045300,0.008054880540203424
20230919,108.1834,108.3841,106.3503,107.0069,12562900,-0.002635204073650921
20230920,106.2864,107.6362,106.0858,106.1587,11879900,-0.00792628627204095
20230921,106.6877,107.0434,104.5171,104.663,14400600,-0.0140893211720573
20230922,105.5295,106.4141,104.7086,104.8272,13197300,0.0015684780594580339
20230925,104.964,106.3868,104.7269,106.0037,11316000,0.011223289583171203
20230926,105.3379,106.4597,105.2194,106.1679,11805400,0.001548712915782069
20230927,107.5177,109.898,107.0708,109.6244,23976200,0.0325572614862879
20230928,109.4238,110.0804,107.7913,108.9586,16808100,-0.00607320458070959
20230929,108.6212,108.6941,106.4597,107.2349,18813600,-0.015819987736519603
20231002,107.1893,107.4264,104.4715,105.4565,14395000,-0.01658447461295387
20231003,105.2832,106.1952,104.9093,105.6389,13297100,0.001729874250419261
20231004,104.0155,104.052,100.7778,101.6899,19622200,-0.037382541751397436
20231005,100.1394,101.1427,99.1362,99.4007,20128800,-0.022511209463673576
20231006,96.4275,98.7441,95.8621,97.7408,25367500,-0.016698586069713417
20231009,100.7231,102.2097,99.8841,101.1609,22369900,0.034991017156388304
20231010,101.2521,101.6442,100.4313,100.7322,13892000,-0.004237459105306818
20231011,97.5493,97.7408,95.6067,97.1207,57939000,-0.035853194402103994
20231012,98.1239,98.3519,96.7559,97.1024,31183000,-0.0001876698917241404
