datetime,open,high,low,close,volume,return
20230718,106.668,107.3331,106.4173,106.9186,1017700,0.002531001187667581
20230719,106.6294,107.6127,106.3884,107.4488,1182600,0.004958956155249439
20230720,107.9694,109.7143,107.6416,109.4636,1257700,0.018751189776031296
20230721,109.8107,110.4951,109.2901,109.6757,1297400,0.0019374647328169736
20230724,109.9167,110.7265,109.0491,109.8588,1264400,0.0016698649513675612
20230725,109.454,110.2445,109.0395,110.2348,1205900,0.0034224297522005287
20230726,109.9456,110.7265,109.3383,109.7335,1131300,-0.004547537148670844
20230727,109.8974,110.8422,108.6153,108.837,1226600,-0.00817006528682418
20230728,109.454,109.5697,107.7862,108.5671,1265500,-0.002480112136398649
20230731,108.9912,109.1262,108.114,108.6924,971200,0.0011543836924874373
20230801,108.3936,109.0587,107.5356,107.9019,1246600,-0.007272647636115792
20230802,110.8614,113.1269,107.7862,108.0465,2105700,0.0013401050603336628
20230803,107.5163,107.7573,104.2387,104.499,1932800,-0.03283371960518788
20230804,104.5086,104.5086,101.7901,101.8672,1918500,-0.025184554709402174
20230807,101.8672,103.3228,101.5491,103.1108,1607200,0.012207741842999997
20230808,102.0118,102.1853,100.7875,101.3659,1643700,-0.016922169209261373
20230809,98.5413,99.8524,97.6834,98.6474,2877600,-0.02681889041227037
20230810,98.8113,100.132,98.3293,98.7534,1618800,0.0010751041577241605
20230811,98.5606,98.8595,97.7605,98.6474,1415200,-0.0010739495500977636
20230814,98.657,99.4186,98.2232,98.4353,1011000,-0.002149744275095511
20230815,97.8376,98.1365,96.8833,97.3845,1113300,-0.010674839797571112
20230816,97.1725,97.452,96.112,96.4205,1115700,-0.00989894852756723
20230817,96.8736,96.9796,95.765,95.9289,1307400,-0.005099211649408741
20230818,95.3601,96.7483,94.8685,95.8807,1137300,-0.0005023228055508477
20230821,95.8325,96.623,95.0034,96.3145,773700,0.00452445049331307
20230822,96.7097,97.2978,95.2541,95.9192,833700,-0.004103648472623678
20230823,96.0156,97.0857,95.5336,96.9507,1012500,0.010753617846561037
20230824,96.8061,97.7605,96.0542,96.0638,896800,-0.00914772939655839
20230825,96.6615,97.8858,96.0253,97.5291,973800,0.015253175213322256
20230828,97.7412,98.6378,97.7027,98.1558,803600,0.006425082902844492
20230829,97.8665,98.7245,97.4809,98.6088,1117300,0.004615998901245089
20230830,98.87,100.4657,98.87,100.0885,1001300,0.015005735459530767
20230831,100.3207,100.8042,99.9725,100.1369,2080900,0.00048327572518980233
20230901,100.6979,100.7365,98.6475,99.2085,1200800,-0.009271745188338842
20230905,97.7191,98.0769,93.6378,94.5275,2679700,-0.04718293265511342
20230906,94.5566,95.0305,93.9376,94.5952,1514400,0.0007163893267676524
20230907,94.218,94.218,91.9936,92.5546,1807100,-0.021572513504748536
20230908,92.4965,92.9414,91.1329,92.0904,1690800,-0.005015697392714458
20230911,92.8157,94.1503,92.3612,93.483,1617400,0.01512294429039085
20230912,92.9704,94.0536,92.9221,93.4153,1582400,-0.0007242303277693596
20230913,93.7442,93.7442,91.7228,91.8873,1740600,-0.016357710557561633
20230914,92.6126,93.3573,92.1484,93.1542,1906700,0.013788118216038647
20230915,92.6997,93.0575,91.9356,92.4095,3608600,-0.00799432592050231
20230918,92.2064,93.2993,91.8002,92.3418,1854000,-0.0007326436762630228
20230919,92.1097,92.835,90.9878,91.7228,1695500,-0.0067030607697358136
20230920,92.2935,92.7093,90.3979,90.4946,1752100,-0.013390786585191328
20230921,89.895,90.0981,88.3089,88.4152,2044800,-0.022977651368634944
20230922,88.2992,88.7441,87.5739,87.9124,1699800,-0.00568775114306852
20230925,87.4771,88.2315,86.9645,87.9994,1702000,0.0009897725814163039
20230926,87.4094,87.864,86.5584,86.5777,1322400,-0.01615553116829227
20230927,87.158,88.0187,86.7034,87.3417,1320200,0.008824971501365075
20230928,87.4578,88.8795,87.4578,88.0574,1453500,0.008193966888879078
20230929,88.8311,88.9472,87.5062,88.0381,1833900,-0.00021963527202106814
20231002,88.5216,90.3979,88.2798,88.8021,1978100,0.008678322401297844
20231003,88.2992,88.8601,87.0419,87.1677,1309800,-0.01840539289206411
20231004,87.0419,88.5797,86.5584,88.2218,1614400,0.012093662802707073
20231005,88.1058,88.512,86.6067,87.1773,1131000,-0.011839670519421919
