datetime,open,high,low,close,volume,return
20230725,77.58,78.25,76.79,76.87,3362600,-0.003500086144706871
20230726,76.16,77.845,75.76,77.41,4235200,0.007024858803603484
20230727,78.83,79.44,75.4,75.77,5911900,-0.02118598296676888
20230728,78.315,78.98,77.35,78.36,6225700,0.03418244796137482
20230731,79.38,81.47,79.16,80.53,7815000,0.02769267677441345
20230801,79.88,79.9,77.78,78.76,6731500,-0.02197934521168088
20230802,77.135,77.135,73.87,74.49,10439800,-0.05421539051097468
20230803,73.36,73.88,71.51,73.55,13742600,-0.012619074224311633
20230804,67.68,70.398,63.2,63.52,33476000,-0.1363698460615418
20230807,64.16,65.15,63.28,64.01,16331200,0.007714132162083498
20230808,62.8,63.58,62.32,62.38,11439300,-0.02546478696635812
20230809,63.63,64.547,62.41,62.71,12169200,0.0052901252117179
20230810,63.06,64.26,61.81,62.24,8642500,-0.007494776157989658
20230811,61.6,62.36,60.53,60.57,7740700,-0.0268316506845524
20230814,60.06,60.49,59.64,60.15,7408100,-0.00693409560940117
20230815,60.09,60.36,58.13,58.36,9501100,-0.029758950459165212
20230816,58.14,58.95,57.44,57.49,8309200,-0.014907452412371125
20230817,57.07,57.52,56.08,56.1,10195200,-0.024178172965097278
20230818,55.03,57.27,54.725,56.88,9841100,0.013903789932435684
20230821,56.84,57.56,55.99,57.56,9422900,0.01195499810841194
20230822,57.81,58.0,55.63,56.07,10494000,-0.025886060509341613
20230823,56.3,57.4,55.9,57.22,12207300,0.020510104015303954
20230824,57.57,57.57,55.31,55.63,7952700,-0.027787488966578344
20230825,55.4,56.63,54.97,55.86,7741000,0.00413445151573355
20230828,56.01,56.45,55.26,55.87,5333600,0.00017898892631507124
20230829,55.57,57.9,55.46,57.76,7329800,0.03382852023950589
20230830,57.33,58.21,56.98,57.72,6813200,-0.000692470602360884
20230831,57.8,58.5,57.17,57.65,7392900,-0.001212745899927481
20230901,58.39,59.04,57.85,58.17,5752300,0.009019889493549815
20230905,58.16,59.195,57.785,58.74,5987000,0.00979892603513588
20230906,57.68,59.72,57.49,57.64,10491600,-0.018726630190438076
20230907,56.22,56.5,55.14,56.04,9075800,-0.027758474862309535
20230908,56.0,56.0,52.78,53.08,20691100,-0.05281939750383746
20230911,53.955,55.2,53.27,53.94,10420000,0.016201898379573088
20230912,53.785,55.729,53.65,54.33,10233100,0.007230315429644696
20230913,54.075,54.58,53.61,54.15,5735300,-0.003313092197852585
20230914,54.61,54.73,53.57,53.85,8090000,-0.005540222406354656
20230915,53.68,54.08,52.26,52.83,11915100,-0.018941442376392836
20230918,52.81,52.81,51.24,51.25,11564000,-0.029907283291554343
20230919,49.94,50.63,49.37,49.8,17971800,-0.028292697813452783
20230920,49.99,50.06,47.52,47.57,15313500,-0.04477910795984086
20230921,46.51,46.93,45.27,45.62,19540800,-0.04099223828987364
20230922,45.89,46.18,44.6,44.71,11866500,-0.019947388617234107
20230925,44.62,45.74,44.33,45.59,8841300,0.0196824219667866
20230926,44.94,45.74,44.56,44.81,10168200,-0.017108988301957728
20230927,45.26,45.36,43.75,44.14,11656100,-0.014952063448092967
20230928,44.03,44.56,42.77,44.35,16585100,0.004757568812334467
20230929,45.21,45.63,44.21,44.26,11965300,-0.002029315798971365
20231002,44.32,44.72,42.98,43.19,10433200,-0.024175321631307978
20231003,42.57,43.29,41.49,41.9,11399900,-0.02986795882953175
20231004,42.0,42.22,41.24,41.9,11048000,0.0
20231005,41.51,42.815,40.77,42.64,15916700,0.01766104622484277
20231006,42.15,44.05,42.15,43.83,13244300,0.02790812519793673
20231009,43.12,43.815,42.89,43.71,7787600,-0.0027379133371837616
20231010,44.3,46.54,44.3,46.0,15783400,0.05239077930662406
20231011,46.34,47.535,46.02,46.69,15563000,0.014999970145847419
20231012,47.05,47.225,45.121,45.45,13843000,-0.026558104524342152
20231013,44.63,44.87,43.14,43.17,13495900,-0.0501650727331403
20231016,43.84,44.95,43.595,44.76,9192200,0.03683113782783698
20231017,44.18,46.38,44.09,45.9,11581300,0.02546924144537477
20231018,45.275,45.88,44.55,44.58,8206400,-0.028758162329907355
20231019,44.38,45.57,43.96,44.17,10885100,-0.009197031073779893
20231020,44.515,44.56,43.7,43.98,9985900,-0.004301531233536826
20231023,43.58,44.565,42.81,43.9,9641600,-0.0018189635559362483
20231024,44.78,46.15,44.711,45.35,11482200,0.033029542092098074
20231025,43.56,43.65,41.3,41.72,20833400,-0.08004404356241424
20231026,41.66,42.89,41.545,41.68,11861500,-0.0009587946873667041
20231027,40.36,40.52,38.91,40.02,19872600,-0.039827251325762925
20231030,40.37,40.86,38.85,39.22,15531800,-0.019989985704893964
20231031,39.48,40.38,38.885,40.25,9734500,0.026262079225871204
20231101,39.95,41.095,39.34,40.96,11957100,0.017639728806774002
20231102,43.71,44.1,42.78,43.98,30573900,0.07373048157387552
20231103,50.8,52.13,48.4,48.68,49424200,0.10686677607683448
20231106,49.19,49.921,48.152,49.52,22090200,0.017255549451970387
20231107,49.705,51.63,49.705,51.05,22098700,0.03089658249502314
20231108,50.96,53.05,50.63,52.27,19517500,0.023898163348403
20231109,52.795,53.35,50.98,51.05,16380500,-0.023340371341472155
20231110,50.99,51.7,50.87,51.5,9510200,0.008814902442011663
20231113,50.95,52.21,50.86,52.02,9727500,0.010097096267255745
20231114,53.96,55.33,53.82,55.1,15519200,0.0592079582709375
20231115,55.52,57.27,55.45,56.3,14683100,0.02177859884157818
20231116,56.02,56.45,55.49,56.28,9462600,-0.000355247922463664
20231117,56.44,58.4,56.4,58.19,12031000,0.033937453604116374
20231120,57.92,59.535,57.476,59.27,10463400,0.018559921920310307
20231121,58.67,59.335,58.06,58.67,8125100,-0.010123203714937135
20231122,59.13,59.73,58.339,59.02,7702100,0.005965609335976119
20231124,58.97,60.04,58.68,59.65,5162600,0.01067436569347513
20231127,59.11,60.78,59.0,60.31,10451600,0.011064540327392569
20231128,60.5,64.0,60.39,63.34,15851200,0.05024040308907618
20231129,63.58,65.11,63.58,63.73,13983700,0.006157236954671852
20231130,64.09,64.2,62.68,63.43,9036600,-0.004707347233883552
20231201,63.5,65.17,63.39,65.04,11954200,0.02538232070953006
20231204,65.0,65.33,64.19,65.0,8865200,-0.0006150202177779285
20231205,64.32,64.94,63.38,64.89,8606200,-0.0016923170823317513
20231206,65.79,69.95,65.79,68.0,20160600,0.047927271376237535
20231207,67.029,68.88,66.88,68.47,12668300,0.0069117826573990016
20231208,67.85,70.667,67.6,69.17,11485300,0.010223410774973463
20231211,68.925,70.26,68.24,68.56,8109700,-0.008818861160898916
20231212,69.21,69.57,68.33,69.57,6414700,0.01473165362013451
20231213,69.73,70.54,66.73,70.06,16628000,0.007043235100171907
20231214,71.8,75.44,71.775,74.76,20563600,0.06708542308620458
20231215,74.83,75.49,73.66,74.21,11130100,-0.007356915944913611
20231218,74.0,74.87,73.4,73.88,7546000,-0.00444686477733347
20231219,74.6,77.76,74.6,77.31,11958300,0.04642664364767679
20231220,77.03,79.1,76.0,76.11,12378200,-0.015521885734541718
20231221,77.17,77.85,75.83,76.9,8829400,0.010379725518224525
20231222,77.08,77.55,76.25,77.14,7045400,0.0031209084396282005
20231226,77.3,78.64,77.3,78.18,6135500,0.013481992789163844
20231227,78.0,79.73,77.96,79.6,7418800,0.018163189606067442
20231228,79.77,80.29,79.21,79.51,6830500,-0.0011306072816054114
20231229,79.32,79.77,76.855,77.35,8244900,-0.02716643949283859
20240102,75.5,75.9,71.47,72.22,15249500,-0.06632187918057042
20240103,69.0,70.6,68.14,68.63,15374100,-0.04970927591532659
20240104,68.0,69.065,66.86,68.15,10021000,-0.006993963962531824
20240105,67.53,68.57,66.595,66.96,11150700,-0.01746151745799107
20240108,67.68,69.34,67.365,69.31,9210800,0.03509555714235413
20240109,68.76,70.64,68.76,69.53,8077100,0.0031741628690311607
20240110,69.95,69.95,67.48,67.9,8705700,-0.023443078987990917
20240111,68.61,68.8,66.11,67.87,7617700,-0.00044180822713890677
20240112,68.0,68.67,66.43,66.48,6612400,-0.02048032022097479
20240116,65.48,65.98,64.2,65.16,9984100,-0.019855590074764118
20240117,63.72,63.965,62.07,63.9,9588300,-0.019337048272192847
20240118,64.51,65.23,63.43,64.47,8226600,0.00892018280458684
20240119,64.76,66.06,63.75,65.85,8642500,0.021405261785148122
20240122,67.13,69.36,66.26,66.69,10438400,0.012756324779799044
