datetime,open,high,low,close,volume,return
20230829,268.34,274.72,268.01,273.49,280800,0.013226054494089645
20230830,272.4,279.83,268.97,279.11,391000,0.020549180291283387
20230831,279.88,279.88,274.77,275.01,372800,-0.014689462223192229
20230901,276.96,278.76,275.0,275.95,311900,0.00341806628132324
20230905,275.74,276.98,271.7,273.25,417300,-0.009784425032043687
20230906,273.25,275.02,270.19,272.38,327200,-0.0031838796603385067
20230907,268.61,268.81,256.82,264.24,498100,-0.029884773120331
20230908,262.97,263.13,254.94,256.37,435000,-0.029783512746147878
20230911,257.79,258.13,254.15,254.77,358400,-0.006240944241525659
20230912,254.28,254.58,250.76,251.31,387600,-0.013580902994243083
20230913,251.4,253.02,248.86,250.18,407600,-0.004496458134535808
20230914,251.29,255.1,250.18,254.79,444100,0.018426735731525312
20230915,255.11,256.18,249.38,251.38,535200,-0.013383525621788683
20230918,250.53,253.52,249.01,253.2,220000,0.007240003302084963
20230919,252.94,253.72,250.62,252.17,245000,-0.0040679257176587935
20230920,245.09,245.49,235.63,235.83,824900,-0.06479754315159802
20230921,232.93,234.33,228.52,228.68,676200,-0.030318488316832592
20230922,228.64,229.79,224.57,227.15,482200,-0.006690566854556823
20230925,225.75,230.76,225.75,228.15,314500,0.004402377402024982
20230926,225.97,226.65,222.58,223.96,355400,-0.018365054984477713
20230927,224.16,226.98,222.58,225.91,364600,0.008706898061195067
20230928,226.3,239.01,226.3,236.87,611800,0.04851485670139177
20230929,238.69,241.66,235.97,236.53,390000,-0.0014353710680933274
20231002,236.53,236.7,232.24,233.63,246000,-0.012260575451109368
20231003,230.97,232.89,228.16,230.33,313300,-0.014124911110681482
20231004,232.05,232.05,227.79,230.94,487500,0.0026483767008302905
20231005,227.38,228.48,219.42,222.54,448400,-0.036373123176893896
20231006,220.85,225.02,219.33,223.85,384000,0.005886639960928086
20231009,221.17,223.46,220.18,222.58,266600,-0.005673460968652622
20231010,222.98,227.54,221.76,222.4,361900,-0.0008087336377459176
20231011,222.04,223.27,215.32,217.16,822600,-0.0235611078155602
20231012,218.33,218.33,208.01,210.87,597200,-0.028964857427009605
20231013,210.59,210.59,205.19,206.92,460900,-0.018731906101894902
20231016,207.32,216.0,206.84,214.97,425300,0.038903939314677505
20231017,212.29,216.57,212.29,212.99,355800,-0.009210567596853902
20231018,211.08,211.13,207.75,209.12,346400,-0.01816991537708923
20231019,209.4,213.74,205.1,205.99,517500,-0.014967433517150908
20231020,204.84,205.15,201.01,204.55,860400,-0.006990642278778103
20231023,203.81,208.73,202.7,205.29,482800,0.0036176495885349436
20231024,206.49,207.5,203.11,205.91,348200,0.0030201685238129272
20231025,203.83,205.23,196.13,198.91,577900,-0.03399543429413332
20231026,200.0,207.38,198.86,204.83,735500,0.02976219425847315
20231027,204.6,207.56,201.16,207.18,565000,0.011472883970703007
20231030,207.5,211.21,204.47,209.77,970000,0.012501263096059922
20231031,213.9,215.0,203.09,209.43,914200,-0.0016208780557493974
20231101,209.57,212.5,194.59,197.99,822900,-0.05462439756815274
20231102,200.46,207.23,198.19,207.0,758500,0.04550731984876388
20231103,210.87,217.14,210.87,214.3,540800,0.035265715225883065
20231106,213.86,213.86,205.21,206.02,373800,-0.038637417925267536
20231107,204.5,208.26,202.6,208.04,613300,0.009804819783424845
20231108,208.0,210.37,204.04,206.44,525900,-0.007690784927713246
20231109,207.59,208.15,201.43,202.52,486900,-0.018988559012723005
20231110,202.92,207.21,202.46,206.18,602300,0.018072231513467374
20231113,204.4,205.38,202.01,202.61,411200,-0.017314929635503074
20231114,209.0,216.5,208.5,215.66,542700,0.06440947145967812
20231115,215.65,224.21,215.65,216.96,501600,0.006028021096552649
20231116,216.22,217.49,212.4,215.48,275700,-0.006821584349782972
20231117,218.46,218.7,215.27,218.02,340600,0.011787676792668789
20231120,218.84,221.78,216.6,220.54,330600,0.011558521990131743
20231121,218.49,223.04,217.38,222.41,360500,0.008479234755169207
20231122,223.4,227.0,221.59,225.86,550100,0.015511878474151253
20231124,225.83,229.65,225.83,228.92,195200,0.013548204862855684
20231127,227.65,233.62,227.65,231.5,528600,0.011270320861834993
20231128,230.72,234.42,229.65,233.89,424900,0.010323971445565627
20231129,236.13,240.06,235.65,236.62,372900,0.011672135339959588
20231130,237.72,238.26,235.35,236.98,492400,0.0015214293710608118
20231201,235.4,241.9,232.78,241.22,419600,0.017891828718061387
20231204,239.43,243.0,236.77,239.37,302800,-0.007669372747506786
20231205,238.39,238.39,232.57,234.36,243300,-0.020929918573893147
20231206,237.67,238.72,233.84,234.13,222300,-0.000981377909797243
20231207,235.17,236.97,232.99,233.23,319100,-0.003844057303650228
20231208,232.29,237.8,232.29,236.13,229900,0.012434117430852432
20231211,235.94,239.76,235.94,239.65,363100,0.014906995895836328
20231212,240.0,241.43,238.22,239.38,238400,-0.0011265972065431784
20231213,238.64,245.31,235.79,244.43,303500,0.02109611366847841
20231214,248.56,274.44,247.11,272.16,1165900,0.11344766115961047
20231215,269.17,280.33,268.07,270.18,1025000,-0.007275172544406461
20231218,271.05,271.05,264.4,266.68,485000,-0.012954327096307394
20231219,268.61,271.79,265.68,269.42,467000,0.010274564373804917
20231220,269.61,270.98,261.35,261.61,332800,-0.028988299632264458
20231221,264.76,266.15,261.67,265.31,282500,0.014143237698129196
20231222,266.77,269.83,265.89,269.41,225900,0.01545364344067024
20231226,270.0,276.08,269.29,275.5,220000,0.02260493766047622
20231227,276.5,276.65,273.27,275.79,275700,0.0010526625949978108
20231228,274.11,276.39,272.78,275.35,193900,-0.001595425605618317
20231229,274.73,276.31,272.77,273.33,251300,-0.007336188438254787
20240102,268.56,270.74,265.39,267.98,452900,-0.019573321072560157
20240103,264.12,265.55,252.38,252.52,404800,-0.05769089514163772
20240104,251.1,255.41,250.53,252.97,358100,0.0017820249510080988
20240105,252.21,257.16,252.15,252.69,293500,-0.001106845783870547
20240108,252.11,262.28,251.36,261.09,399500,0.0332422882398451
20240109,255.82,259.66,255.0,256.44,326600,-0.01780992746449994
20240110,256.0,256.93,252.5,255.27,276900,-0.00456246356967116
20240111,254.01,256.87,248.43,255.03,380900,-0.0009402024881384197
20240112,256.77,259.17,243.56,248.87,625600,-0.024154035570694732
20240116,246.53,247.04,240.22,243.52,498300,-0.021497130830124278
20240117,240.0,240.34,236.19,239.17,463200,-0.01786303394873734
20240118,240.4,250.12,237.75,249.59,482200,0.043567329718273484
20240119,250.44,251.32,245.14,249.09,397600,-0.0020032854174295567
20240122,251.85,258.22,250.37,254.57,357600,0.022000124721566428
20240123,255.85,257.44,252.62,256.09,211800,0.005970809482422679
20240124,259.14,259.14,251.67,254.17,522100,-0.007497357165064833
20240125,257.98,260.75,255.47,256.99,334200,0.011094905322205806
20240126,256.98,258.42,251.62,252.17,268300,-0.01875556344055984
20240129,250.72,256.04,249.71,255.93,493200,0.01491055452328971
20240130,255.98,255.98,250.56,250.91,302100,-0.019614696039285007
20240131,250.0,250.0,238.48,239.55,482600,-0.04527520005001329
20240201,239.55,242.87,233.95,242.6,474100,0.012732218797337325
20240202,240.21,247.94,237.06,246.48,418600,0.015993361609265122
20240205,242.92,244.1,239.04,242.07,336200,-0.017891871469338794
20240206,241.15,243.5,241.15,242.49,497100,0.0017350277037120332
20240207,243.67,247.62,240.38,247.11,522900,0.01905231148719544
20240208,247.22,249.75,245.68,247.12,318700,4.0445578128212034e-05
20240209,248.36,253.77,248.36,253.09,328600,0.02415830907520089
20240212,253.09,260.0,253.09,259.4,395800,0.024931833141952797
20240213,251.78,253.11,243.49,245.8,692200,-0.05242864751243492
20240214,249.47,255.36,248.27,252.96,567200,0.02912938801144649
20240215,276.57,294.99,273.28,283.75,1184700,0.1217188190580678
20240216,282.41,283.0,271.71,275.46,658200,-0.029215889145099094
20240220,269.86,272.39,267.38,271.93,523800,-0.012814923723224458
20240221,269.73,276.23,268.65,274.43,375000,0.009193542703399782
20240222,278.27,283.9,277.04,279.48,302400,0.01840184544447032
20240223,278.21,279.83,274.99,274.99,269300,-0.01606562392819133
20240226,273.89,279.41,272.4,278.06,336900,0.011164069359768991
20240227,279.56,281.04,274.48,275.78,194600,-0.008199664818080987
20240228,272.29,274.22,270.83,272.8,212900,-0.010805754585244576
20240229,276.05,282.0,275.76,279.48,400900,0.0244868896344268
20240301,279.68,289.94,278.75,289.64,413200,0.03635323909661081
20240304,290.65,293.57,286.01,291.65,442500,0.006939577221353854
20240305,289.76,289.76,282.17,284.54,306700,-0.024378486200435368
20240306,289.25,289.58,283.52,287.27,182100,0.009594364190507187
20240307,289.42,290.69,285.32,288.59,246600,0.004595006003762947
20240308,290.47,290.99,282.43,282.59,328600,-0.020790741453750927
20240311,282.3,283.54,279.19,280.23,268800,-0.008351269974683384
20240312,281.11,286.9,278.45,285.44,316100,0.018591839741719518
20240313,284.07,286.16,282.33,284.5,286200,-0.0032931699599435538
20240314,282.08,285.32,279.05,281.77,375300,-0.009595820690081247
20240315,277.5,286.36,277.5,285.86,539300,0.014515372457540865
20240318,288.53,288.6,283.68,285.97,329300,0.00038485928348919174
20240319,283.98,287.52,283.5,285.19,306000,-0.0027275545545593083
20240320,284.93,287.07,278.84,285.81,358500,0.002173972130439239
20240321,289.02,296.44,287.88,295.06,227400,0.032364158283524125
20240322,293.87,293.87,290.16,291.44,201800,-0.012268674666645163
20240325,291.4,299.52,291.3,297.94,449800,0.022303046752502054
20240326,300.0,301.52,291.01,291.38,290600,-0.022017847569440918
20240327,293.15,299.55,292.64,299.16,405000,0.02670052388263855
20240328,300.24,302.63,298.04,301.44,376900,0.007621335577572941
20240401,302.59,304.56,298.07,301.0,416900,-0.0014596683845627956
20240402,293.99,297.67,292.96,296.5,461500,-0.014950166112956853
20240403,294.08,296.24,291.25,292.75,399300,-0.012647554806070826
20240404,295.78,303.88,291.9,292.96,390700,0.0007173064221284164
20240405,291.91,292.19,287.57,290.38,216700,-0.008806617447834064
20240408,295.11,299.34,293.76,296.87,232800,0.022349990100021255
20240409,299.42,306.96,299.42,306.17,364500,0.03132690559339202
20240410,297.38,304.81,296.42,299.91,287600,-0.020446188362932438
20240411,300.24,300.46,292.25,297.54,270500,-0.00790235433379416
20240412,293.85,295.03,287.87,289.68,221000,-0.026416668829106205
20240415,292.32,293.41,281.52,283.0,199500,-0.02305990349584719
20240416,280.65,283.29,278.22,280.42,245500,-0.009116560326026923
20240417,283.52,284.49,275.75,276.14,175600,-0.015262814971656269
20240418,274.0,277.03,271.51,273.03,376100,-0.011262459999142438
20240419,273.03,274.87,266.75,268.07,351500,-0.018166470634193965
20240422,271.74,274.87,267.21,271.63,305100,0.01328010393303014
20240423,271.55,277.45,271.55,276.56,245800,0.018149661624856872
20240424,275.28,280.92,274.24,277.53,322600,0.0035073807827092907
20240425,274.36,293.29,271.63,292.53,674700,0.05404821124194448
20240426,293.5,299.15,292.78,297.21,461400,0.01599833417191565
20240429,298.45,303.84,298.2,300.01,560700,0.009421010030108867
20240430,320.0,322.95,304.21,314.56,907700,0.04849834111980322
20240501,311.61,315.52,303.49,309.05,580100,-0.01751656220876796
20240502,312.23,315.17,303.21,312.71,507800,0.01184275620991504
20240503,315.65,317.07,308.93,309.59,475200,-0.009977279915712844
